,NewsFullContent
2683,tên người thực hiện giao dịch võ anh nhuệ mã chứng khoán stb số lượng cổ phiếu nắm giữ trước khi giao dich cp tỷ lệ % chức vụ hiện nay tại tcny phó tgđ số lượng cổ phiếu đăng ký bán  cp số lượng cổ phiếu đã bán  cp số lượng cổ phiếu dự định nắm giữ sau khi thực hiện giao dịch  cp tỷ lệ % phương thức thực hiện giao dịch khớp lệnh thời thực hiện giao dịch 
5998,tên tổ chức sở hữu cổ phần ngân hàng tmcp ngoại thương việt nam tên tổ chức phát hành cổ phần  ngân hàng tmcp quân đội địa chỉ tòa nhà mb số cát linh phường cát linh quận đống đa hà nội ngành nghề kinh doanh huy động vốn; cho vay ngắn hạn trung hạn và dài hạn  vốn điều lệ thực góp  đồng hai mươi mốt nghìn sáu trăm linh tư tỷ năm trăm mười ba triệu tám trăm mười nghìn đồng mệnh giá  đồngcổ phần giá khởi điểm  đồngcổ phần số lượng cổ phần đưa ra đấu giá  cổ phần số cổ phần người nước ngoài được phép mua cổ phần thời gian và địa điểm đăng ký và nộp tiền đặt cọc + thời gian từ h ngày  đến h ngày  + địa điểm tại các đại lý đấu giá file phụ lục danh sách các đại lý đấu giá thời gian và địa điểm nộp phiếu tham dự đấu giá + thời gian chậm nhất giờ phút ngày  + địa điểm bỏ trực tiếp vào thùng phiếu tại trụ sở và chi nhánh của các đại lý đấu giá nơi nhà đầu tư làm thủ tục đăng ký thời gian và địa điểm đấu giá + thời gian h ngày  + địa điểm sở giao dịch chứng khoán hà nội thời gian nộp tiền mua cổ phần từ ngày  đến giờ ngày  thời gian hoàn tiền đặt cọc từ ngày  đến ngày  tài liệu đính kèm quychebandaugiacophan_nganhangtmcpquandoidoc dieulecuambpdf dieulecuavcbpdf congvanchapthuanviecthoaivoncuanhnnpdf giaychungnhanchaobancophieumbdoubcknncappdf bancaobachchaobanmbpdf nqhiquyetpheduyetchaobanraccphanvdtcuavcbtaimbpdf giaydkkdcuambbpdf giaydkkdcuavcb_giayphepdkkdlan_moinhatpdf baocaotaichinhhopnhatnamdaktcuambpdf baocaotaichinhrienglenamdaktcuambpdf baocaotaichinhhopnhatnamdaktcuambpdf baocaotaichinhrienglenamdaktcuambpdf baocaotaichinhhopnhatdasoatxetcuambpdf baocaotaichinhriengledasoatxetcuambpdf xacnhansohuucophanmbcuavcbdombphathanhpdf dondangkydaugiazip phulucdanhsachcacdailydaugiadoc
7310,top cổ phiếu kéo chỉ số lên stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vcb ~% vcs ~% vea ~% sab ~% pvi ~% sdi ~% bid ~% acb ~% tid ~% vjc ~% mbg ~% vgi ~% hvn ~% shb ~% acv ~% top cổ phiếu kéo chỉ số xuống stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vnm ~% pvs ~% gvr ~% vhm ~% hhc ~% vif ~% msn ~% net ~% oil ~% tch ~% cdn ~% vcw ~% vic ~% php ~% hna ~%
8617,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy ctg hose    vgt upcom    tdt hnx    acm hnx  
8636,trái phiếu bid_ mã ck bid của ngân hàng thương mại cổ phần đầu tư và phát triển việt nam công bố bản cáo bạch niêm yết và các phụ lục như sau tài liệu đính kèm _quyetdinhsuadoibosunggiayphepthanhlapvahoatdongpdf _dieulebidvpdf _nqhdqtveviecphathanhvaniemyettppdf _bctcbidvrienglekiemtoanpdf _bctcbidvhopnhatkiemtoanpdf _bctcbidvquyiiirienglepdf _bctcbidvquyiiihopnhatpdf _gcndkdnpdf _giayphepthanhlapvahoatdongpdf _camketthuchiennghiavucuatochucnytpvoinhadautupdf _bidv_bancaobachniemyettraiphieupdf _bctcrienglepdf _bctchopnhatpdf
8723,top cổ phiếu kéo chỉ số lên stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp bid ~% vcs ~% qtp ~% pdr ~% cdn ~% htm ~% vnm ~% pvs ~% hnd ~% kbc ~% nvb ~% mpc ~% pgi ~% nbw ~% nqn ~% top cổ phiếu kéo chỉ số xuống stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vhm ~% acb ~% vgi ~% vcb ~% vcg ~% vea ~% vre ~% dgc ~% gvr ~% nvl ~% php ~% mch ~% tcb ~% shn ~% vif ~%
8932,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy bid hose    nlg hose    evfvn hose    vnm hose    ctg hose    vhm hose    gas hose    ssi hose    hdb hose    msn hose    thông tin chi tiết xin vui lòng truy cập tại
8969,top cổ phiếu kéo chỉ số lên stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp vcb ~% cdn ~% gvr ~% vjc ~% vcg ~% mch ~% sab ~% idc ~% hnd ~% vnm ~% idv ~% ncp ~% plx ~% btw ~% snz ~% top cổ phiếu kéo chỉ số xuống stt hose hnx upcom mã đóng góp mã đóng góp mã đóng góp bid ~% shb ~% vgi ~% msn ~% acb ~% vsf ~% hpg ~% php ~% tis ~% hvn ~% pvi ~% mpc ~% pow ~% pvs ~% bsr ~%
9019,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy mwg hose    vcb hose    evfvn hose    vhm hose    vnm hose    stb hose    ssi hose    gas hose    vtp upcom    sab hose    thông tin chi tiết xin vui lòng truy cập tại
9058,stt mã ck sàn giá % thay đổi khối lượng giao dịch tích lũy fpt hose    tcb hose    ctg hose    hpg hose    vpb hose    mbb hose    vnm hose    stb hose    mwg hose    bsr upcom    thông tin chi tiết xin vui lòng truy cập tại
