,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
118799,118898,134305,BID,BIDV chậm niêm yết và những hệ lụy,tháng trước khi nh đầu tư và phát triển vn bidv thông báo chốt danh sách cổ đông để lưu ký ck cũng như nộp hồ sơ niêm yết tại hose nđt đã tin chắc nh này sẽ chính thức chào sàn trong tháng  vì thế nhiều người rất ngạc nhiên trước thông tin bidv sẽ hoãn niêm yết đến quý iii lời hứa gió bay dễ thấy một số hệ lụy sẽ xuất hiện khi bidv không niêm yết bao gồm những người đã tham gia đấu giá bidv trong đợt ipo từ cuối năm ngoái sẽ phải tiếp tục ôm thêm cp này một thời gian nữa đồng nghĩa với việc vốn sẽ tiếp tục bị chôn do vậy thời điểm hiện nay ai đang giữ bidv và muốn bán trên thị trường otc không phải là chuyện dễ năm ngoái gần  triệu cp của bidv đã được bán ra bên ngoài với giá bình quân  đồngcp tương ứng với số tiền thu về khoảng  tỷ đồng nhưng do bidv chưa lên sàn nên dòng tiền này không thể bổ sung lên thị trường riêng với bidv hệ lụy không chỉ dừng ở mức này mà còn có nhiều điều đáng bàn một điều khá trùng hợp là ngân hàng tmcp được nhà nước sở hữu cổ phần chi phối gồm vietcombank vcb vietinbank ctg và bidv khi tiến hành lên sàn đều không trúng thời điểm thuận lợi vcb và ctg niêm yết vào năm  năm ttck phục hồi khá mạnh nhưng giai đoạn cuối quý ii đầu quý  thời điểm vcb và ctg chào sàn hose  ttck lại đang ở “quãng nghỉ” sau một giai đoạn tăng mạnh chưa kể mức giá niêm yết của vcb lúc đó chỉ  chưa bằng một nửa mức giá bình quân gần  trong đợt ipo năm  còn theo lời của lãnh đạo ctg mức giá chào sàn  của ctg lẽ ra có thể cao hơn trong tháng gần đây ttck diễn biến thiếu sức sống khiến không ít nđt chán ngán nói như vậy để thấy rằng việc chọn thời điểm “đẹp” để lên sàn rất quan trọng nhưng cũng không đến mức bị lệ thuộc cũng phải ghi nhận nỗ lực của bidv về ý định sớm niêm yết nếu giả sử tháng này bidv niêm yết quãng thời gian từ khi ipo đến niêm yết mất khoảng tháng trong khi vcb lên đến tháng nhưng cũng có ý kiến cho rằng bidv niêm yết sau vcb và ctg sẽ có nhiều lợi thế hơn trong việc học hỏi những kinh nghiệm nên việc chủ động niêm yết nhanh cũng là lẽ thường tình và nếu đã rút được kinh nghiệm bidv phải có kế hoạch lộ trình chỉn chu hơn để đừng đẩy cổ đông và cả chính mình vào thế khó thực tế việc bidv hoãn niêm yết đến quý iii vẫn đúng lộ trình đưa ra trong đợt ipo cuối năm ngoái là sẽ niêm yết không muộn hơn quý iii nđt tham gia đấu giá bidv ban đầu ắt hẳn cũng xác định được mốc thời điểm có thể thanh hoán cho khoản đầu tư của mình trễ nhất vào ngày  nhưng sự khẩn trương của bidv rốt cuộc lại gây ra ít nhiều thất vọng nhiều ý kiến cho rằng nếu bidv cứ từ từ và niêm yết đúng hẹn vào quý tới hiệu ứng sẽ tốt hơn thay vì công bố niêm yết sớm nay lại điều chỉnh xuống thành đúng hẹn không sai hẹn so với ban đầu nhưng rõ ràng bidv ít nhiều cũng khiến nđt thất vọng bởi lẽ đây là ngân hàng lớn và ông trần bắc hà chủ tịch hđqt cũng được tiếng là mạnh mẽ dám nói dám làm gặp khó vì giá chào sàn tại đhcđ của bidv diễn ra cách đây tháng ông trần bắc hà có nhắc đến khả năng giá chào sàn của bidv không thấp hơn giá đấu bình quân của đợt ipo nếu khả năng này xảy ra mức giá chào sàn thấp nhất của bidv sẽ ở khoảng  đồngcp so giá của ctg và vcb  những ngân hàng cùng tầm vóc với bidv  sẽ có nhiều kịch bản khác nhau nếu bidv chào sàn lúc này giá chào sàn sẽ cao hơn ctg hiện  và xấp xỉ vcb hiện  trong một thị trường không có diễn biến thuận lợi việc nđt có thể định giá hợp lý cho bidv không đơn giản bởi giữa cp mới chưa rõ vùng giá và một cp quen đã nắm bắt đầy đủ cp mới có thất thế cũng là điều dễ hiểu tâm lý này có thể lan sang những người nắm giữ và dẫn đến suy nghĩ “bán ra cầm tiền cho chắc” đặt ra một kịch bản xấu nhất là nếu bidv chào sàn ngày đầu trong giai đoạn hiện nay và giảm sàn luôn theo quy định của hose ngày đầu chào sàn được phép biến động  mức giá đáy sẽ về khoảng  chỉ tương đương ctg chứ chưa rẻ hơn cần nhắc lại một điều là nđt thường hay so thị giá cp ngân hàng bởi trong nhiều thời điểm ngân hàng có vị thế lớn sẽ có thị giá cao và ngược lại với kịch bản xấu vừa nêu lúc này cả bên mua lẫn bên bán đều gặp khó bên bán giữ cp từ khá lâu nhưng lãi  bán không đành giữ lại thì sợ cp xuống nữa khi thị trường xấu ngược lại bên mua cũng sẽ lừng khừng tại mức giá này ở đây có thể nđtnn cũng ra tay mua vào tuy nhiên nhìn vào trường hợp của gas tổng ctcp khí việt nam khối ngoại mua vào rất nhiều nhưng mua rất nhẹ nhàng thay vì đẩy giá vì thế dù khối này có mua bidv cũng không phải là cơ sở để cp này tăng giá phải chăng cục diện cũng như mức giá của nhóm cp ngân hàng cũng là nguyên nhân khiến bidv gặp khó khi niêm yết nhưng liệu bidv có chắc rằng ttck những quý tới có thể “bùng” như cuối quý và đầu quý vừa rồi và giả sử thị trường có tốt trở lại cũng chưa chắc nhóm cp ngân hàng sẽ có nhiều thay đổi có lợi cho bidv trong khi càng lâu niêm yết hình ảnh của doanh nghiệp có thể bị ảnh hưởng trong mắt cổ đông và cổ đông càng thiệt thòi hơn chưa kể trong trường hợp cổ đông sử dụng vốn vay để tham gia ipo  điều khá bình thường nếu kỳ vọng mức lợi nhuận cao hơn lãi suất vay và mua cp tốt  thì doanh nghiệp càng lâu niêm yết áp lực xả hàng càng lớn và giá cp có thể bị “đè” một cách thái quá nếu nđt bức xúc cho rằng bidv hứa hão hay nói mà không làm coi thường cổ đông thiết nghĩ cũng là điều dễ hiểu,2012-06-25 21:04:00,BID
124965,125066,143314,BID,Phát hành thành công 2.030 tỷ đồng trái phiếu,ngân hàng tmcp đầu tư và phát triển việt nam bidv vừa có thông cáo báo chí về việc thực hiện thành công giao dịch phát hành trái phiếu đợt  với tổng mệnh giá trái phiếu phát hành đạt  tỷ đồng kỳ hạn năm và năm ngày phát hành trái phiếu là ngày  loại trái phiếu được quy định là trái phiếu không có bảo đảm và không phải là nợ thứ cấp của tổ chức phát hành bidv sẽ sử dụng số tiền trái phiếu phát hành để bổ sung vào nguồn vốn trung dài hạn cơ cấu lại nguồn vốn nhằm đáp ứng nhu cầu cho vay các dự án trung dài hạn và đảm bảo các chỉ tiêu an toàn vốn theo quy định của ngân hàng nhà nước việt nam bên cạnh việc phát hành trái phiếu trong nước bidv cũng sẽ khởi động lại kế hoạch phát hành trái phiếu quốc tế dự kiến  tới bidv sẽ tổ chức đấu thầu chọn tổ chức tư vấn thu xếp phát hành ngày  trung tâm lưu ký chứng khoán việt nam vsd cũng cấp mã chứng khoán cho bidv  bid  để chuẩn bị cho việc niêm yết cổ phiếu trên sở giao dịch chứng khoán tphcm số lượng chứng khoán đăng ký là hơn  triệu cổ phiếu tương đương  tỷ đồng theo báo cáo tài chính riêng lẻ vừa đựợc ngân hàng công bố lợi nhuận sau thuế tháng đầu năm của bidv đạt  tỷ đồng tăng  so với cùng kỳ tại thời điểm  nợ xấu ngân hàng mẹ bidv là  tăng trưởng tín dụng so với cuối năm là ,2012-08-04 13:24:00,BID
126698,126799,145873,BID,"BIDV nợ xấu cuối tháng 6 chiếm 2,97%",ngân hàng tmcp đầu tư và phát triển việt nam bidv vừa công bố báo cáo tài chính riêng lẻ tháng đầu năm  theo đó tỷ lệ nợ xấu của ngân hàng tại thời điểm cuối tháng  chiếm  cụ thể trong kỳ bidv cho khách hàng vay  tỷ đồng tăng  so với đầu năm  trong đó nợ xấu  tỷ đồng chiếm  tổng dư nợ nợ có khả năng mất vốn chiếm gần  tỷ đồng dự phòng rủi ro cho vay khách hàng tăng  chiếm  tỷ đồng tiền gửi của khách hàng đến cuối tháng  đạt  tỷ đồng tăng  so với cuối năm  đối với hoạt động kinh doanh trong kỳ thu nhập thuần từ lãi của bidv đạt gần  tỷ đồng tăng  so với cùng kỳ năm  hoạt động chứng khoán cũng mang lại khoản lãi tỷ đồng trong khi cùng kỳ năm trước lỗ tổng cộng gần tỷ đồng lĩnh vực hoạt động kinh doanh khác lãi tỷ đồng cao gấp  lần cùng kỳ tuy nhiên dự phòng rủi ro tín dụng của ngân hàng trong kỳ tăng mạnh  chiếm gần  tỷ đồng do đó lãi ròng của bidv trong kỳ đạt gần  tỷ đồng tăng  so với tháng đầu năm  riêng trong quý  bidv đạt  tỷ đồng thu nhập lãi thuần chi phí dự phòng rủi ro tín dụng tỷ đồng và lãi ròng đạt  tỷ đồng dòng tiền lưu chuyển thuần trong kỳ của bidv giảm  tỷ đồng tuy nhiên do nhận  tỷ đồng chuyển giao từ doanh nghiệp trước cổ phần hóa nên lượng tiền và tương đương tiền cuối tháng  của bidv đạt gần  tỷ đồng,2012-08-14 16:11:00,BID
126991,127092,146305,BID,BIDV lãi hợp nhất 1.274 tỷ đồng trong 2 tháng,ngân hàng thương mại cổ phần đầu tư và phát triển việt nam bidv công bố báo cáo tài chính hợp nhất quý ii giai đoạn tháng từ  đến  bidv trở thành ngân hàng thương mại cổ phần vào ngày  nhưng ngân hàng lập báo cáo tài chính đầu tiên vào ngày  nguyên nhân là do khoảng thời gian từ  đến  có ngày nghỉ và ngày làm việc và ngày làm việc này không có ảnh hưởng trọng yếu đến tình hình tài chính và kết quả hoạt động kinh doanh của ngân hàng do đó để tiện cho hoạt động kinh doanh bidv thực hiện chuyển đổi hình thức sở hữu vào ngày  và chính thức hoạt động vào ngày  nên lập báo cáo tài chính đầu tiên từ  quý ii thu nhập lãi thuần của bidv đạt  tỷ đồng lãi trước dự phòng rủi ro tín dụng là  tỷ đồng trừ đi chi phí dự phòng và thuế bidv đạt  tỷ đồng lợi nhuận sau thuế tổng dư nợ tại thời điểm  của ngân hàng là gần  tỷ đồng trong đó nợ xấu hơn  tỷ đồng tỷ lệ  để phục vụ cho mục đích so sánh và thể hiện hoạt động kinh doanh liên tục bidv trình bày bổ sung báo cáo kết quả hoạt động kinh doanh hợp nhất tháng đầu năm theo đó tháng đầu năm bidv đạt  tỷ đồng lợi nhuận sau thuế gấp rưỡi cùng kỳ năm trước bảng kết quả hoạt động kinh doanh hợp nhất quý ii của bidv đơn vị tỷ đồng nguồn bidv bidv trở thành ngân hàng thương mại cổ phần vào ngày  nhưng ngân hàng lập báo cáo tài chính đầu tiên vào ngày  nguyên nhân là do khoảng thời gian từ  đến  có ngày nghỉ và ngày làm việc và ngày làm việc này không có ảnh hưởng trọng yếu đến tình hình tài chính và kết quả hoạt động kinh doanh của ngân hàng do đó để tiện cho hoạt động kinh doanh bidv thực hiện chuyển đổi hình thức sở hữu vào ngày  và chính thức hoạt động vào ngày  nên lập báo cáo tài chính đầu tiên từ ,2012-08-16 10:21:00,BID
133064,133165,153747,BID,"BIDV được chấp thuận niêm yết 2,3 tỷ cổ phiếu",sở giao dịch chứng khoán tphcm đã chấp thuận niêm yết cho ngân hàng tmcp đầu tư và phát triển việt nam bidv với mã chứng khoán bid cụ thể bidv được niêm yết hơn  tỷ cổ phiếu tương ứng hơn  tỷ đồng mệnh giá theo quy định trong vòng ngày sau khi nhận được quyết định chấp thuận đăng ký niêm yết của sở giao dịch tổ chức đăng ký niêm yết có trách nhiệm hoàn tất các công việc để được giao dịch chính thức như vậy chậm nhất cổ phiếu bidv sẽ chính thức lên sàn vào đầu năm  được biết ngày  bidv lần đầu chào bán cổ phần ra công chúng với số lượng đấu giá là  cổ phiếu bidv đã trở thành công ty đại chúng kể từ ngày ,2012-10-10 13:56:00,BID
136874,136975,157543,BID,"BIDV - Quý 3 lợi nhuận đạt 341,2 tỷ đồng",ngân hàng tmcp đầu tư và phát triển việt nam bidv vừa công bố báo cáo tài chính hợp nhất quý iii và tháng từ  theo đó tính đến  tổng tài sản của ngân hàng đạt hơn  tỷ đồng dư nợ cho vay đạt  tỷ đồng nợ xấu chiếm  tổng dư nợ  tỷ đồng tăng so với con số  tại báo cáo riêng lẻ trong quý iii ngân hàng đạt lợi nhuận sau thuế  tỷ đồng luỹ kế tháng  lợi nhuận sau thuế đạt  tỷ đồng ngoài hoạt động mua bán chứng khoán lỗ  tỷ đồng trong tháng các hoạt động kinh doanh khác của bidv đều lãi như hoạt động dịch vụ lãi tỷ đồng kinh doanh ngoại hối lãi tỷ đồng trong quý iii bidv đã trích lâp dự phòng rủi ro gần  tỷ đồng,2012-11-16 10:32:00,BID
139475,139576,160225,BID,BIDV sẽ hoãn niêm yết 2.3 tỉ cổ phiếu,một nguồn tin có thẩm quyền đã xác nhận với tbktsg online rằng bidv đã xin ý kiến ngân hàng nhà nước về việc hoãn niêm yết  tỉ cổ phiếu bid và cơ quan này đã đồng ý với đề nghị của bidv bidv là ngân hàng việt nam có sở hữu nhà nước chi phối lớn thứ ba về tổng tài sản theo báo cáo tài chính thời điểm  theo quyết định số  của hose chấp thuận đăng ký niêm yết cổ phiếu bid ký ngày  hơn  tỉ cổ phiếu của bidv dự kiến sẽ được niêm yết trên hose trước ngày  trong vòng ngày sau ngày có quyết định này lý do chưa đầy đủ của việc hoãn niêm yết là ngân hàng lo ngại tình hình khó khăn của thị trường tài chính và sự sụt giảm kỷ lục trên thị trường chứng khoán sức cầu yếu và những khó khăn của ngành ngân hàng đang là những yếu tố bất lợi cho giá cổ phiếu bid cũng như quyền lợi cổ đông uy tín của ngân hàng số lượng cổ phiếu đăng ký niêm yết của bidv trên vốn điều lệ  đồng hai mươi ba ngàn không trăm mười một tỷ bảy trăm lẻ năm triệu bốn trăm hai mươi ngàn đồng theo bản cáo bạch của bidv dự kiến giá tham chiếu ngày giao dịch đầu tiên của cổ phiếu bid là  đồngcổ phiếu cũng theo bản cáo bạch nhà nước hiện là cổ đông lớn của bidv nắm giữ  cổ phần tương đương với  vốn điều lệ ngân hàng nhà nước việt nam là đại diện chủ sở hữu vốn nhà nước tại nhà băng này chia sẻ với tbktsg online chuyên gia phân tích cổ phiếu nhóm ngân hàng của một công ty chứng khoán lớn nhận định bidv đứng giữa vietinbank ctg và vietcombank vcb về mặt trong tài sản tại thời điểm  ctg  tỷ đồng bidv  tỷ đồng vcb tỷ đồng mặc dù theo báo cáo tài chính quý  bidv đã vượt vietinbank về tổng tài sản song quy mô vốn chủ sở hữu của bidv nhỏ hơn ctg  tỷ đồng vcb  tỷ đồng bidv  tỷ đồng roe và roa của bidv thấp hơn hai ngân hàng bạn “pb của bid sẽ tương đương với pb của ctg và thấp hơn pb của vcb vì roe của bidv thấp hơn chúng tôi định giá pb của bid khoảng từ  đến  lần giá trị sổ sách tức đánh giá cổ phiếu bid sẽ giao dịch tại mức từ  đồng đến  đồngcổ phiếu cho nên kỳ vọng giá cổ phiếu niêm yết của bidv đến  đồngcổ phiếu có vẻ khá lạc quan” nhìn vào tương quan giữa cổ phiếu bid với cổ phiếu hai ngân hàng gần gũi với bidv nhất là ngân hàng tmcp ngoại thương việt nam vietcombank mã cổ phiếu vcb và ngân hàng tmcp công thương việt nam vietinbank mã cổ phiếu ctg thì với mức giá  đồngcổ phiếu hệ số pb giágiá trị sổ sách của bidv là  lần cao hơn nhiều so với mức  lần của nhóm cổ phiếu ngân hàng đang niêm yết mức  của vcb và  lần của ctg pe của bidv là  lần so với mức trung bình của nhóm cổ phiếu ngành ngân hàng  lần cao hơn nhiều so với lần của ctg và  lần của vcb trong ba ngân hàng eps tháng gần nhất bidv nhấp nhất hệ số an toàn vốn car tính đến hết tháng  của bidv cũng thấp nhất về cổ tức năm  bidv cam kết năm nhưng chưa biết sẽ trả bằng tiền mặt hay cổ phần ctg tuy trả cổ tức  nhưng bằng cổ phần và vcb là  bằng tiền mặt roaa tỷ suất lợi nhuận ròng trên bình quân tài sản tháng gần nhất và roae suất lợi nhuận ròng trên bình quân vốn chủ sở hữu tháng gần nhất của bidv đều thấp hơn ctg và vcb xem thêm bảng bên dưới bid sau niêm yết sẽ trở thành một trong những cổ phiếu có vốn hóa lớn nhất thị trường chứng khoán việt nam giả sử mức giá niêm yết của bidv tương đương với giá ipo vốn hóa của ngân hàng sẽ ở mức  tỷ đồng đứng thứ thị trường biến động giá của bidv sẽ có tác động không nhỏ tới diễn biến chỉ số vnindex bidv được thị trường cho là cổ phiếu khá lận đận sau nhiều lần trì hoãn từ việc cổ phần hóa việc ipo cũng như niêm yết đã gây ảnh hưởng đến niềm tin của nhà đầu tư và thị trường mặc dù tỷ lệ cổ phiếu được niêm yết chưa lớn song nút dây thanh khoản của cổ phiếu chỉ có thể được tháo bỏ nếu bidv niêm yết so sánh các chỉ số đánh giá giá trị cổ phiếu bid trong tương quan với vcb và ctg,2012-12-17 10:27:00,BID
140496,140597,161078,BID,Công bố thông tin: Ủy viên HĐQT của BIDV từ nhiệm,theo đ  ng n h ng nh nước đ chấp thuận cho ng nguyễn khắc th n ủy vi n hđqt của bidv sẽ nghỉ hưu kể từ ng y ,2012-12-26 17:49:00,BID
140525,140626,161104,BID,BIDV chính thức thông báo: Hoãn niêm yết cổ phiếu,cụ thể đầu th ng  hose đ chấp thuận cho bidv ni m yết  cổ phiếu với m chứng kho n bid tuy nhi n do t nh h nh thị trường chứng kho n thời gian qua li n tục suy giảm đặc biệt l nh m cổ phiếu ng n h ng t nh thanh khoản của thị trường kh ng cao bidv nhận định việc ni m yết cổ phiếu bidv trong năm sẽ kh ng thuận lợi v kh ng đảm bảo được lợi ch cho c c cổ đ ng nắm giữ cổ phiếu về mức gi cũng như t nh thanh khoản của cổ phiếu được sự chấp thuận của thủ tướng ch nh phủ ng n h ng nh nước v ủy quyền của đại hội cổ đ ng hội đồng quản trị bidv đ quyết định ho n ni m yết cổ phiếu bidv trong năm tới thời điểm th ch hợp theo b o c o t i ch nh hợp nhất trong qu  thu nhập l i thuần của bidv đạt  tỷ đồng lợi nhuận trước thuế của bidv đạt tỷ đồng v lợi nhuận sau thuế đạt tỷ đồng lũy kế th ng năm  thu nhập l i thuần của bidv đạt gần  tỷ đồng lợi nhuận sau thuế đạt  tỷ đồng,2012-12-27 08:49:00,BID
140689,140790,161258,BID,Điều chỉnh kế hoạch 2012: BIDV giảm hơn 1.500 tỷ đồng lợi nhuận,ng n h ng thương mại cổ phần đầu tư v ph t triển việt nam bidv th ng b o điều chỉnh chỉ ti u lợi nhuận năm  theo đ  bidv giữ nguy n kế hoạch huy động vốn dư nợ t n dụng tuy nhi n điều chỉnh tỷ lệ nợ xấu từ  đến khoảng  lợi nhuận trước thuế điều chỉnh giảm  tỷ đồng từ  tỷ đồng xuống  tỷ đồng kế hoạch kinh doanh của bidv đơn vị tỷ đồng nguồn bidv nguy n nh n thay đổi kế hoạch theo l nh đạo bidv l do t nh h nh kinh tế thế giới n i chung v t nh h nh kinh tế việt nam n i ri ng c nhiều kh khăn ảnh hưởng đến hoạt động kinh doanh của hệ thống doanh nghiệp trong đ c bidv bidv đ th ng b o ch nh thức ho n ni m yết trong năm do nh h nh thị trường chứng kho n thời gian qua li n tục suy giảm đặc biệt l nh m cổ phiếu ng n h ng,2012-12-28 10:16:00,BID
