,words,class
0,mối quan tâm,negative
1,tụt hậu,negative
2,bị kiểm duyệt,negative
3,tội lỗi,negative
4,giấy triệu tập,negative
5,sự can thiệp,negative
6,lại quả,negative
7,trả thừa,negative
8,Ghét bỏ,negative
9,không thực tế,negative
10,cơn co thắt,negative
11,méo mó,negative
12,làm ơn,negative
13,sự lên án,negative
14,nói dối,negative
15,những người bất đồng chính kiến,negative
16,không ổn định,negative
17,lên án,negative
18,nặng nề,negative
19,không được hoan nghênh,negative
20,sự trình bày lại,negative
21,bị phạt,negative
22,nguyên đơn,negative
23,phàn nàn,negative
24,sự giao thoa,negative
25,không tán thành,negative
26,lạm dụng,negative
27,bỏ mặc,negative
28,tha,negative
29,thù địch,negative
30,kiện,negative
31,không tự nguyện,negative
32,mất tập trung,negative
33,tiền bồi thường,negative
34,chiếm đoạt,negative
35,không có giấy tờ,negative
36,báo cáo thiếu,negative
37,không chú ý,negative
38,bi thảm,negative
39,sự bế tắc,negative
40,trì hoãn,negative
41,hủy kích hoạt,negative
42,vứt bỏ,negative
43,gian nan,negative
44,gây nguy hiểm,negative
45,dữ dội,negative
46,sự nghi ngờ,negative
47,tội phạm mạng,negative
48,bị xúc phạm,negative
49,phá sản,negative
50,ngưng,negative
51,không ưa,negative
52,ép buộc,negative
53,pha tạp chất,negative
54,sự kéo dài,negative
55,tịch thu,negative
56,sự sửa đổi,negative
57,định hướng sai,negative
58,sự vắng mặt,negative
59,không thuận lợi,negative
60,xem thường,negative
61,gian lận,negative
62,sa thải,negative
63,bất công,negative
64,muộn,negative
65,khẩn cấp,negative
66,bế tắc,negative
67,cổ tay,negative
68,rào cản,negative
69,giảm kích cỡ,negative
70,chịu đựng,negative
71,ra lệnh,negative
72,gây rối,negative
73,nghèo,negative
74,ngoài ý muốn,negative
75,đánh dấu,negative
76,đáng ngờ,negative
77,thu hồi,negative
78,nạn nhân,negative
79,phá hoại,negative
80,Không thể nào,negative
81,nhỏ dần,negative
82,gián đoạn,negative
83,không thể thay thế,negative
84,ngày xưa,negative
85,tranh giành,negative
86,bóp méo,negative
87,không thành công,negative
88,mãn nguyện,negative
89,dễ bị,negative
90,lời chỉ dẫn,negative
91,phạm tội,negative
92,không thể đạt được,negative
93,đánh lừa,negative
94,sự từ chối,negative
95,bỏ thuốc lá,negative
96,tai họa,negative
97,cuộc biểu tình,negative
98,bỏ qua,negative
99,không phù hợp,negative
100,phản đối,negative
101,cơ hội,negative
102,lệnh cấm,negative
103,bằng lòng,negative
104,mắng nhiếc,negative
105,su khong phu hop,negative
106,thoái thác,negative
107,lỗi thời,negative
108,thu giữ,negative
109,người thanh lý,negative
110,cầu,negative
111,không được khắc phục,negative
112,nghi vấn,negative
113,không phổ biến,negative
114,vô tư,negative
115,đánh giá quá cao,negative
116,cam kết,negative
117,thảm họa,negative
118,làm phiền,negative
119,ngăn cản,negative
120,vô luân,negative
121,xác tín,negative
122,nhìn ra,negative
123,bị từ chối,negative
124,loại,negative
125,làm trầm trọng thêm,negative
126,bất ổn,negative
127,bực mình,negative
128,độc hại,negative
129,thành kiến,negative
130,lời phàn nàn,negative
131,phản cạnh tranh,negative
132,thảm khốc,negative
133,xây dựng quá mức,negative
134,sự nói nhỏ,negative
135,bãi bỏ,negative
136,không nhất quán,negative
137,bị hỏng,negative
138,nhốt,negative
139,các mối đe dọa,negative
140,bất mãn,negative
141,xem xét kỹ lưỡng,negative
142,khai man,negative
143,sự hỗn loạn,negative
144,không kinh tế,negative
145,thương lượng lại,negative
146,bất đồng chính kiến,negative
147,nút cổ chai,negative
148,hợp lý hóa,negative
149,tiếp tay,negative
150,thoái vốn,negative
151,không cạnh tranh,negative
152,những việc làm sai trái,negative
153,cấu kết,negative
154,bị tô cáo,negative
155,trục trặc,negative
156,tạp nhiễm,negative
157,mệnh lệnh,negative
