,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,len,word_len
86,216910,268958,GAS,PV GAS đặt mục tiêu tăng gấp đôi tài sản vào năm 2020,  Tổng Công ty Khí Việt Nam CTCP  PV GAS  vừa công bố chiến lược phát triển đến năm 2025 định hướng đến năm 2035 và kế hoạch 5 năm 2016 2020     Về kế hoạch phát triển đến năm 2025 PV GAS phấn đấu tổng tài sản năm 2020 sẽ tăng gấp đôi năm 2015  Đến năm 2025 tổng tài sản dự kiến đạt khoảng 128 000 tỷ đồng tăng gấp 2 5 lần so với năm 2015     PV GAS dự kiến tốc độ tăng trưởng doanh thu bình quân đạt 8  năm tỷ suất lợi nhuận sau thuế vốn điều lệ trung bình trên 20  năm  duy trì 100  thị phần khí khô 70  thị phần LPG toàn quốc  cơ cấu sản phẩm theo doanh thu như sau  khí và LNG chiếm 61  sản phẩm khí 27  dịch vụ khí 12      Về Khai thác thu gom khí PV GAS phấn đấu tổng sản lượng khí thu gom trong nước giai đoạn 2016 – 2035 đạt gần 300 tỷ m3 khí  giai đoạn 2016 – 2020 đạt gần 60 tỷ m3   Mục tiêu từ năm 2017 gia tăng sản lượng thêm khoảng 0 2 – 1 5 tỷ m3 năm tùy thuộc kết quả tìm kiếm thăm dò các nguồn khí     Bên cạnh đó PV GAS đề ra kế hoạch tham gia hoạt động đầu tư thượng nguồn trong nước từ năm 2016 ở nước ngoài từ năm 2020  phấn đấu năm 2025 bắt đầu có sản lượng khí LNG từ nước ngoài sẽ đạt sản lượng 5 10 tỷ m3 năm từ 2030     Được biết trong giai đoạn 2011 2015 tốc độ tăng trưởng doanh thu trung bình 8  năm tỷ suất lợi nhuận sau thuế Vốn điều lệ trung bình 56  năm  Vốn hóa thị trường của PV GAS đạt khoảng 5 tỷ USD  Hiện giá trị tài sản của PV GAS khoảng 53 000 tỷ đồng bằng 1 3 lần năm 2010 và 5 6 lần năm 2006         ,2015-10-13 16:05:00,1442,6
87,217977,270006,GAS,GAS - Thay đổi Thành viên HĐQT,  Theo đó Hội đồng quản trị bổ nhiệm bà Võ Thị Thanh Ngọc giữ chức vụ Thành viên HĐQT thay ông Nguyễn Trung Dân nghỉ hưu theo quy định     Tải file gốc        ,2015-10-23 08:44:00.000,159,6
88,218125,270152,GAS,GAS - Thay đổi nhân sự chủ chốt,  Theo đó ông Nguyễn Xuân Hòa thôi giữ chức vụ Thành viên HĐQT để nhận nhiệm vụ mới theo phân công của Tập đoàn     Tải file gốc         ,2015-10-23 17:23:00.000,137,6
89,218626,270676,GAS,GAS - Thành viên BKS đăng ký bán 11.500 CP,  Tên người thực hiện giao dịch  Phạm Đình Đạt    Mã chứng khoán  GAS    Chức vụ hiện nay tại tổ chức niêm yết  Thành viên BKS    Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch  11 500 CP    Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  0 CP    Mục đích thực hiện giao dịch  Nhu cầu tài chính cá nhân    Phương thức thực hiện giao dịch  Khớp lệnh    Thời gian thực hiện giao dịch  từ ngày 2 11 2015 đến ngày 1 12 2015    Tải file gốc         ,2015-10-28 17:19:00.000,465,6
90,219314,271361,GAS,GAS - Lợi nhuận ròng quý 3 giảm 20% cùng kỳ do giá khí giảm,  Trong quý III công ty mẹ GAS đạt 13 984 tỷ đồng doanh thu thuần cũng giảm 15  so với cùng kỳ năm trước  Theo đó lợi nhuận gộp giảm 18  đạt 2 943 tỷ đồng  Chi phí bán hàng tăng mạnh 56  lên 131 tỷ đồng trong khi chi phí quản lý giảm nhẹ 9  xuống 133 tỷ đồng     Về hoạt động tài chính doanh thu tài chính tăng 14  đạt 323 tỷ đồng nhưng chi phí tài chính cũng tăng mạnh tương ứng lên 115 tỷ đồng cho dù chi phí lãi vay đã giảm tới 79  xuống còn 16 tỷ đồn  Bên cạnh đó GAS cũng ghi nhận việc bị lỗ chênh lệch tỷ giá và phải dự phòng tổn thất đầu tư     Lũy kế 9 tháng đầu năm GAS đạt 41 808 tỷ đồng doanh thu thuần và 7 602 tỷ đồng lợi nhuận sau thuế giảm lần lượt 11  và 17  so với cùng kỳ 2014     Tính đến 30 9 2015 Công ty mẹ GAS có 17 737 tỷ đồng tiền và các khoản tương đương tiền giảm gần 16  so với hồi đầu năm trong đó tiền mặt là 3 322 tỷ đồng cũng giảm 8   Đầu tư tài chính ngắn hạn đã tăng gấp gần 4 lần so với đầu năm đạt 6 354 tỷ đồng         ,2015-11-05 08:03:00.000,956,5
91,220218,272269,GAS,"GAS - 9 tháng lãi ròng 7.490 tỷ đồng, ESP đạt 3.872 đồng",  Tính riêng trong quý III doanh thu thuần đạt 15 724 33 tỷ đồng giảm 20  so với cùng kỳ và lãi gộp đạt 3 523 tỷ đồng giảm 17      GAS cho biết giá khí giảm là nguyên nhân khiến kết quả kinh doanh kém sắc so với cùng kỳ  Các hoạt động sản xuất kinh doanh khác diễn ra bình thường     Trong kỳ doanh thu tài chính tăng 5 16  ở mức 292 45 tỷ đồng  Trong khi đó chi phí tài chính quý III lại tăng 18 39  xấp xỉ 135 31 tỷ đồng     Giảm trừ các chi phí liên quan lãi ròng quý III của GAS đạt 2 317 4 tỷ đồng giảm 21 4  so với cùng kỳ     Lũy kế 9 tháng đầu năm GAS thu về 47 025 7 tỷ đồng doanh thu thuần và 9 747 14 tỷ đồng lợi nhuận trước thuế giảm lần lượt 13 6  và hơn 19  so với 9 tháng năm 2014     Lợi nhuận sau thuế 9 tháng đầu năm đạt 7 730 83 tỷ đồng riêng công ty mẹ lãi 7 490 tỷ đồng  EPS 9 tháng dù giảm 21 4  nhưng vẫn ở mức khá cao 3 872 đồng     Tải file gốc         ,2015-11-13 14:42:00.000,878,6
92,220934,272994,GAS,"PV Gas - Thông qua đấu giá trên 8,22 triệu cổ phần của SeaBank",  Cụ thể GAS sẽ đưa ra đấu giá toàn bộ 8 226 458 cổ phần đang nắm giữ tương đương với tỷ lệ 1 505  vốn SeABank     Giá khởi điểm đấu giá là 10 167 đồng cổ phiếu  Thời gian thực hiện đấu giá trong quý IV 2015     SeABank được thành lập năm 1994 tiền thân là Ngân hàng TMCP Hải Phòng  Ngân hàng có vốn điều lệ 5 466 tỷ đồng tổng tài sản đến hết năm 2014 đạt hơn 80 000 tỷ đồng           Theo Báo cáo tài chính kiểm toán hợp nhất năm 2014 tổng tài sản của SeaBank là 80 184 tỷ đồng và lợi nhuận trước thuế đạt 109 7 tỷ đồng         Kế hoạch lợi nhuận và cổ tức trong 02 năm 2015 206 của SeaBank                   ,2015-11-20 11:49:00.000,610,7
93,221023,273079,GAS,GAS - Phát hành cổ phiếu ESOP,  Theo đó GAS dự kiến phát hành 18 95 triệu cổ phiếu theo chương trình lựa chọn người lao động với mục đích ghi nhận sự đóng góp thúc đẩy và nâng cao vai trò trách nhiệm của từng cán bộ công nhân viên  thu hút và giữ chân những cán bộ chủ chốt     Cổ phiếu bị hạn chế chuyển nhượng trong vòng 01 năm kể từ ngày hoàn thành đợt phát hành     Tải file gốc         ,2015-11-23 09:15:00.000,361,6
94,222000,274055,GAS,GAS - Bổ nhiệm Kế toán trưởng,  Theo đó Hội đồng quản trị thống nhất bổ nhiệm ông Vũ Trọng Hải giữ chức vụ Kế toán trưởng thay ông Mai Hữu Ngạn     Bổ nhiệm ông Nguyễn Mạnh Tưởng giữ chức vụ Thành viên HĐQT thay ông Nguyễn Xuân Hòa     Ông Mai Hữu Ngạn thôi giữ chức vụ Kế toán trưởng để Đại hội cổ đông bầu giữ chức vụ Trưởng Ban kiểm soát     Tải file gốc         ,2015-12-02 08:53:00.000,342,7
95,222361,274421,GAS,GAS - Thành viên BKS giao dịch bất thành,  Tên người thực hiện giao dịch  Phạm Đình Đạt    Mã chứng khoán  GAS    Chức vụ hiện nay tại tổ chức niêm yết  Thành viên BKS    Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch  11 500 CP    Số lượng cổ phiếu đã bán  0 CP    Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  11 500 CP    Mục đích thực hiện giao dịch  Nhu cầu tài chính cá nhân    Phương thức thực hiện giao dịch  Khớp lệnh    Thời gian thực hiện giao dịch  từ ngày 2 11 2015 đến ngày 1 12 2015    Lý do không giao dịch hết cổ phiếu đã đăng ký  Không khớp lệnh    Tải file gốc         ,2015-12-07 08:08:00.000,571,6
