,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,len,word_len
0,311,1441,VCB,VCB ký hợp đồng vay vốn 100 triệu USD ,ông nguyễn hòa bình chủ tịch hđqt của vcb cho biết khoản vay trong 3 năm này sẽ góp phần bổ sung nguồn vốn ngoại tệ trung hạn đáng kể phục vụ cho các mục tiêu kinh doanh và tăng trưởng của ngân hàng  hiện tại tổng nguồn vốn của vcb đạt 203 ngàn tỷ đồng tăng 6 000 tỷ đồng so với cuối năm 2007; trong đó nguồn vốn ngoại tệ là 5 3 tỷ usd  vì vậy nếu so với tổng nguồn vốn ngoại tệ mà vcb đang có thì khoản vay trị giá 100 triệu usd này tuy không lớn  xấp xỉ 1 700 tỷ đồng tương đương với dư nợ cho vay cá tra cá ba sa của vcb tại đồng bằng sông cửu long  nhưng cũng là một lượng vốn đáng kể trong bối cảnh thị trường tài chính ngân hàng đang có nhiều biến động đại diện của intesa sanpaolo nhấn mạnh thêm hợp đồng này còn mang ý nghĩa quan trọng trong việc thúc đẩy mối quan hệ thương mại giữa italia và việt nam thông qua việc tài trợ cho các doanh nghiệp italia thâm nhập thị trường việt nam được biết cũng trong nỗ lực này intesa sanpaolo đang gấp rút hoàn tất các thủ tục cuối cùng để có thể sớm mở văn phòng đại diện đầu tiên của mình tại hà nội ttxvn,2008-10-20 00:00:00,1054,8
1,768,4086,STB,"Kết thúc Phiên 1, 30/10: STB và PPC đang &quot;cứu&quot; VN-Index ","trong khi thị trường châu âu có phiên tăng điểm thứ 2 liên tiếp thì tại thị trường mỹ bất chấp việc fed cắt giảm lãi suất lần thứ 6 trong năm chứng khoán mỹ vẫn mất điểm trong những phút cuối cùng    trở lại diễn biến trên ttck việt nam đang có sự trái chiều trên 2 sàn chứng khoán nối tiếp đà tăng điểm của phiên hôm qua hastc index đang duy trì mức tăng nhẹ trong khi vn index lại quay đầu giảm điểm   kết thúc đợt 1 vn index giảm nhẹ 1 33 điểm xuống 330 29 điểm  tương đương giảm 0 4%       tổng khối lượng khớp lệnh thành công đạt 4 37 triệu đơn vị với tổng giá trị giao dịch đạt hơn 109 48 tỷ đồng    kết thúc đợt khớp lệnh mở cửa có 57 mã tăng giá 35 mã đứng giá tham chiếu và 59 mã giảm giá   top 5 cổ phiếu tăng giá mạnh nhất dẫn đầu là imp với mức tăng 3 500 đ/cp nhưng khối lượng giao dịch lại khá khiêm tốn khi chỉ có 250 đơn vị được khớp lệnh thành công    các mã tăng giá tiếp theo là các mã vnm fpt vpl và st8  hiện không mã nào tăng hết biên độ 5% st8 là mã tăng mạnh nhất tính theo % với mức tăng là 4 98%     trong nhóm giảm giá dhg là cổ phiếu giảm giá mạnh nhất với mức giảm 4 000 đ/cp tiếp theo là bmc tct vic và dpm  dcc là cổ phiếu duy nhất kết thúc đợt khớp lệnh xác định giá mở cửa có mức giảm kịch sàn 5%   về giao dịch stb tiếp tục dẫn đầu với 2 435 triệu đơn vị khớp lệnh thành công tiếp theo là các mã hpg ssi dpm và ita trong các mã có khối lượng giao dịch lớn chỉ có stb có mức tăng về giá  các cổ phiếu còn lại đều mất điểm   stb đang nỗ lực ""cứu"" vn index thoát khỏi mức giảm khi hiện tại cổ phiếu này đang có dư mua hơn 1 triệu cổ phiếu giá trần trong khi đã khớp lệnh hơn 2 4 triệu cổ phiếu trong 40 phút giao dịch  cổ phiếu ppc của ctcp nhiệt điện phả lại cũng đang tăng trần   bên sàn hà nội hastc index đang tăng nhẹ 0 98 điểm lên 108 43 điểm  thị trường không còn giữ được đà hưng phấn như trong phiên giao dịch hôm qua  29/10  hiện tại trên sàn có 58 cổ phiếu tăng giá 30 cổ phiếu giảm giá 21 cổ phiếu đứng giá và hơn ¼ cổ phiếu niêm yết trên sàn chưa có giao dịch     khối lượng giao dịch chậm hẳn lại so với phiên giao dịch hôm qua  tính đến thời điểm 9h10 toàn thị trường khớp lệnh 1 4 triệu cổ phiếu tương đương 34 92 tỷ đồng     các cổ phiếu đang còn dư mua trên giá tham chiếu là acb pan sd7 blf kls pvi còn lại hầu hết các cổ phiếu chỉ còn dư mua giá dưới tham chiếu  trong đó cổ phiếu vsp của ctcp đầu tư và vận tải dầu khí vinashin đang có dư bán sàn hơn 200 000 cp  cổ phiếu ppg của ctcp sản xuất thương mại dịch vụ phú phong đang có dư mua trần 93 800 cổ phiếu giá 9 400 đồng/cp   thanh tú phương mai",2008-10-30 10:08:00,2550,8
2,4639,19833,PNJ,"Ngày 23/3, Hose đón tân binh PNJ",kế hoạch này đã được đại diện pnj bà cao thị ngọc dung chủ tịch hội đồng quản trị công ty công bố tại lễ giới thiệu cơ hội đầu tư vào pnj tại tp hcm vào chiều ngày 2/3/2009  trong năm 2009 pnj dự kiến sẽ không huy động thêm vốn từ thị trường tài chính nên thời điểm niêm yết hiện nay cũng không phải là trở ngại đối với công ty chắc chắn cổ phiếu pnj sẽ luôn ổn định và tăng trưởng tốt sau khi niêm yết bà dung nói trong năm 2008 doanh thu thuần của công ty đạt 4 080 36 tỷ đồng tăng 71 5% so với cùng kỳ; lợi nhuận trước thuế là 167 68 tỷ đồng tăng 28 4% so với cùng kỳ; cổ tức hàng năm đều duy trì mức cổ tức từ 18% trở lên năm 2009 nhưng pnj xây dựng kế hoạch kinh doanh với doanh số và lợi nhuận tăng khoảng 20%  cụ thể doanh số ước đạt 4 500 tỷ đồng và lợi nhuận đạt 185 tỷ đồng cho đến thời điểm này giá dự kiến cho ngày niêm yết đầu tiên của pnj vẫn chưa được xác định  tuy nhiên theo tính toán của công ty chứng khoán đông á mức giá này sẽ dao động trong khoảng từ 40 000 50 000 đồng/cổ phiếu được biết pnj được thành lập năm 1988 tiền thân của là cửa hàng kinh doanh vàng bạc đá quý phú nhuận  ngành nghề kinh doanh của công ty gồm dịch vụ kiểm định kim cương và đá quý; sản xuất kinh doanh trang sức thành phẩm bằng vàng bạc đá quý vàng miếng thành phẩm ; cho thuê bất động sản pnj chính thức chuyển sang hình thức công ty cổ phần vào năm 2004 với tên gọi công ty cổ phần vàng bạc đá quý phú nhuận từ số vốn điều lệ ban đầu 40 tỷ đồng hiện nay pnj đã có vốn điều lệ là 300 tỷ đồng với hoạt động đa dạng trong nhiều lĩnh vực như trang sức năng lượng địa ốc thực phẩm pnj hiện đang nắm giữ phần vốn chi phối tại nhiều công ty con như công ty cổ phần năng lượng đại việt công ty cổ phần hải sản s g công ty pnj cũng đã sáng lập ngân hàng thương mại cổ phần đông á; tham gia góp vốn vào công ty địa ốc đông á công ty cổ phần địa ốc kinh đô công ty cổ phần quê hương công ty cổ phần sài gòn m&c công ty cổ phần nhiên liệu sài gòn  sfc  ,2009-03-03 11:29:00,1941,8
3,10448,25591,FPT,Sắp khởi công Đại học FPT,theo đó tháng 7/2009 đại học fpt sẽ chính thức được khởi công và dự kiến cuối năm 2010 một số công trình cơ bản bao gồm khu giảng đường khu ký túc xá và khối dịch vụ sẽ được hoàn thành và đi vào hoạt động theo thiết kế đại học fpt sẽ có tổng diện tích 30ha tại khu công nghệ cao hòa lạc với tổng vốn đầu tư là 2 696 tỷ đồng được chia làm hai giai đoạn  trong đó giai đoạn 1 bắt đầu được triển khai từ năm 2009 đến năm 2011 sẽ xây dựng trên 94 000 m2 sàn với tổng mức đầu tư 814 tỷ đồng phục vụ cho 3000 sinh viên theo học  giai đoạn 2 từ năm 2012 đến năm 2015 tiếp tục xây dựng trên 213 000 m2 sàn với tổng mức đầu tư 1 882 tỷ đồng đáp ứng cho 7 000 sinh viên  theo thiết kế tổng thể đại học fpt sẽ có 7 khu công trình lớn gồm giảng đường và khu nghiên cứu; ký túc xá cho sinh viên; nhà ở cho chuyên gia và giảng viên; khu hành chính hiệu bộ; khu giáo dục thể chất; phòng thí nghiệm và các công trình khác; công viên và cây xanh  hội đồng quản trị công ty fpt hiện đã giao nhiệm vụ chủ đầu tư thực hiện triển khai dự án cho công ty bất động sản fpt  fpt land  đơn vị tư vấn lập quy hoạch và thiết kế công trình là công ty nihon sekkei  nhật bản  với mục tiêu xây dựng một trường đại học có cơ sở vật chất hiện đại bậc nhất việt nam đạt tiêu chuẩn quốc tế ,2009-06-02 14:29:00,1255,6
4,10879,26019,SSI,SSI đứng đầu thị phần môi giới cổ phiếu ,trong khi chỉ có 5 công ty nắm tới trên 30 nghìn tài khoản là vcbs  ctcp ck ngoại thương việt nam  ssi  ctcp ck sài gòn  bvsc  ctcp ck bảo việt  acbs  ctck ngân hàng á châu  và bsc  ctck ngân hàng đầu tư và phát triển việt nam  thì có tới 30 công ty có lượng tài khoản chưa đến 1 nghìn cá biệt có một số ctck dưới 100 tài khoản như vts  67 tài khoản  mnsc  73 tài khoản  ssj  97 tài khoản    sự khác biệt tiếp tục thể hiện rõ về thị phần tính theo khối lượng mua – bán và doanh số giao dịch  theo thống kế của hose có 10 ctck lớn nhất nắm gần 50% thị phần môi giới cổ phiếu trong nước trong đó dẫn đầu là ctck sài gòn  ssi  với 8 53%  vị trí thứ hai là vcbs với 6 11%   đối với mảng môi giới cổ phiếu cho nhà đầu tư nước ngoài 10 công ty lớn nhất nằm trên 87%thị phần trong đó ssi đứng số 1 với 36 91% thị phần gấp đôi thị phần của công ty đứng thứ hai là bvsc với 18 64% thị phần   trong mảng môi giới chứng chỉ quỹ ssi tiếp tục đứng đầu khi nắm 10 42% thị phần môi giới trong nước và 48 03% thị phần môi giới nước ngoài  mảng môi giới trái phiếu vcbs đứng đầu khi nắm 27 93% thị phần môi giới trong nước và 65 78% thị phần môi giới nước ngoài   thanh huyền,2009-06-09 17:13:00,1158,6
5,11964,27082,VCB,VCB sẽ tăng điểm trong những phiên đầu niêm yết,theo avsc khi niếm yết vcb có những yếu tố hỗ trợ tích cực như đây là ngân hàng thương mại hàng đầu việt nam cũng là ngân hàng quốc doanh đầu tiên niêm yết đồng thời là anh cả của khối doanh nghiệp nhà nước nên vai trò là đầu tàu để nhiều doanh nghiệp nhà nước lớn sau này noi theo  nhiều khả năng cổ phiếu vcb sẽ có một mức giá tốt khi chào sàn     bên cạnh đó kết quả hoạt động kinh doanh 5 tháng đầu năm khá khả quan và được dự báo sẽ tiếp tục thuận lợi trong những tháng cuối năm     hiện nay vcb chưa có nhà đầu tư chiến lược nước ngoài do đó cần có diễn biến giá thuận lợi để làm cơ sở cho đàm phán với đối tác nước ngoài  nhiều tổ chức nước ngoài sẽ tận dụng cơ hội sở hữu cổ phần của ngân hàng hàng đầu việt nam với mức giá hợp lý     ngược lại cổ phiếu này cũng gặp những trở ngại như thị trường niêm yết đang có các diễn biến khó dự đoán mà khả năng giảm điểm cao hơn tăng điểm  tâm lý chốt lời hoặc cắt lỗ dự kiến là rất lớn nếu vn index tăng về mức 500 điểm điều này cũng ảnh hưởng đến giá vcb  nếu vcb có những phiên tăng trần liên tục trong những ngày đầu tiên niêm yết có thể sẽ có một số lo ngại về việc chốt lãi của nhà đầu tư đã mua cổ phiếu này với giá thấp ở thị trường otc trước đây     về mặt định giá với mức giá 50 000 đồng thì p/e của vcb khoảng 23 8 lần cao hơn p/e của acb là 14 2 lần và stb là 19 2 lần  chỉ số p/b của vcb cũng là 4 39 cũng cao hơn so với p/b của abc là 4 04 và stb là 2 36     trong báo cáo phân tích avsc cũng so sánh vcb với hai ngân hàng niêm yết lớn khác là abc và stb theo đó về mặt quy mô như tổng tài sản huy động và dư nợ tín dụng của vcb gần như gấp đôi acb nhưng về hiệu quả hoạt động thì vcb chỉ bằng một nửa so với acb  xét về mặt chiến lược vcb là ngân hàng bán buôn trong khi acb và stb là các ngân hàng bán lẻ  quy mô của vcb gần như gấp đôi abc và gấp ba lần stb do đó chỉ số hiệu quả khó bằng abc và stb là điều dễ hiểu       nguồn avsc    theo cbtt mới đây kết quả lợi nhuận trước thuế chưa hợp nhất trong 5 tháng đầu năm thì vcb đạt 2 489 tỷ đồng trong khi acb chỉ đạt 900 tỷ đồng  do đó xét về eps trong 5 tháng đầu năm thì vcb tốt hơn acb vì vậy định giá dựa trên p/e thì vcb sẽ có giá cao hơn acb  vì vậy độ hấp dẫn của vcb đối với nhà đầu tư nước ngoài là không nhỏ     tác động của vcb lên thị trương không phải dựa trên các con số vốn hóa mà nằm ở yếu tố so sánh định giá  do chỉ niêm yết 111 2 triệu cổ phiếu nếu với giá 50 000 đồng/cp thì vốn hóa của các cổ phiếu vcb được niêm yết chỉ có 5 560 tỷ đồng chưa lọt vào top 10 cổ phiếu có vốn hóa lớn nhất sàn hose do đó tác động của vcb lên vn index không quá lớn tuy nhiên không vì thế mà bỏ qua ảnh hưởng của vcb trên cả hai sàn vì giá của vcb sẽ tác động lớn đến 2 cổ phiếu ngành ngân hàng khác đang dẫn dắt hsx và hnx là stb và acb     từ những yếu tố hỗ trợ và hạn chế mà đã phân tích ở trên avsc cho rằng vcb sẽ có vài phiên tăng điểm kể từ khi niêm yết  giá của vcb có thể sẽ đạt giá kỳ vọng từ 60 000 – 65 000 đồng     download báo cáo phân tích vcb tại trung tâm phân tích    tuấn nguyễn  ,2009-06-29 22:29:00,3018,8
6,12222,27340,FPT,ĐHCĐ bất thường của FPT không thể tổ chức,từ 8h30 sáng tại phòng văn miếu ks horison các đại biểu đã làm thủ tục đăng ký  tuy nhiên đến 9h sáng ban tổ chức đại hội cỏ đông bất thường vẫn thông báo xin lùi thời gian khai mạc xuống vì chưa đủ số cổ phần hợp lệ để bắt đầu đại hội cổ đông bất thường fpt    theo quan sát cuả phóng viên chungta vn căn phòng có sức chứa 650 người vẫn còn rất nhiều ghế trống  trong lúc chờ đợi một số đại biểu đã tranh thủ đọc tài liệu và ghi chép những vấn đề cần hỏi   sau 45 phút chờ đợi kể từ thông báo của btc đại hội cổ đông bất thường fpt 2009 chính thức được khai mạc bằng lời mở đầu của phó chủ tịch hđqt fpt bùi quang ngọc   theo ông ngọc bc ghi nhận được 220 đại biểu đại diện cho 86 748 598 cp tương ứng với 61 55% cổ phần biểu quyết   với số phiếu này theo luật định chưa đủ điều kiện để đại hội cổ đông bất thường tổ chức  để tổ chức được đại hội cổ đông cần phải có đủ 65% cổ phần có quyền biểu quyết   ông ngọc cũng thông báo đại hội cổ đông bất thường lần 2 sẽ được tổ chức vào 8g30 sáng ngày 18/07 cũng chính tại phòng văn miếu ks horison   hiềnnv,2009-07-04 12:08:00,1052,7
7,12966,28054,CTG,&quot;Bắt đáy&quot; cổ phiếu CTG,"với hai phiên đầu tiên lên sàn tuần qua ctg đã giảm tổng cộng 23 8% so với mức tham chiếu 50 000 đồng/cp và giảm 15 33% so với giá cao nhất đạt được trong phiên chào sàn  như vậy với những nđt chưa kịp chốt lời phần lãi cũng đã hao hụt đáng kể     xu hướng sẽ nằm trong tay nđt cá nhân?    nếu căn cứ theo kết quả đấu giá ctg  bỏ qua các giao dịch trên otc hậu ipo  thì một tỉ lệ rất lớn đang nằm trong tay nđt cá nhân nhóm nđt thiếu ổn định nhất  theo kết quả đấu giá đã có 12 839 cá nhân  cả trong nước và nước ngoài  trong tổng số 12 875 nđt cá nhân tham gia mua được cp  tổng khối lượng nđt cá nhân đăng ký mua là 39 928 200 cp  như vậy có thể ước đoán khối lượng mua được của nđt cá nhân không giảm nhiều so với con số đăng ký khi tổng lượng mua của tất cả nđt chỉ vượt lượng đấu giá cỡ 2 3 triệu cp     như vậy nđt cá nhân đang nắm giữ tỉ trọng khá lớn lượng cp sẵn sàng bán chưa kể một bộ phận nđt được sử dụng vốn vay  áp lực chốt lời để hoàn vốn không phải là nhỏ  xét từ góc độ tâm lý nđt cá nhân bao giờ cũng dễ quyết định việc mua bán hơn tổ chức vì khối lượng sở hữu không lớn chỉ cần cầu xuất hiện là có thể bán được  trong khi đó các tổ chức thường sở hữu khối lượng lớn và không bán mạnh nếu nhận thấy sức mua chưa đủ  nguyên nhân đơn giản vì nếu các tổ chức cũng đua nhau chạy như nđt cá nhân thì sẽ càng thiệt hại vì giá sẽ càng giảm mạnh     xét về giá ctg lên sàn khá giống với một vài cp khác chuyển từ otc lên niêm yết như shb  cp này trên otc giá rất thấp thậm chí có lúc dưới mệnh giá  điều đó có nghĩa là với mức giá trên sàn niêm yết những nđt nào thu gom được lúc giá thấp đã có lời cực lớn tính bằng lần  tuy nhiên shb lên sàn không bị bán tháo ồ ạt và giá dù tăng giảm nhưng vẫn có một mức đáy nào đó để tham chiếu  điều đó xuất phát từ hành động mua tích lũy đủ lớn để cân bằng lại áp lực bán     như vậy sàn niêm yết sẽ sớm định giá lại đối với các cp trong đó có cả ctg  giá ""đầu 2"" thời điểm ipo của ctg mang tính lịch sử  lúc đó thị trường chung quá xấu và nhiều cp trên sàn cũng rơi vào cảnh tương tự  do đó khó có thể kỳ vọng ctg sẽ quay trở lại mức này     tuy nhiên ctg sẽ giảm xuống bao nhiêu thì chỉ có thể quan sát từ thực tế giao dịch trên thị trường  khó có thể xác định rằng toàn bộ số nđt cá nhân mua được giá 2x sẽ bán ra chốt lời  đó là chưa kể đến khả năng nđt chỉ thu hồi vốn khi không bán ra toàn bộ     chẳng hạn nđt sở hữu 10 000 cp giá 20 000 đồng tương đương giá vốn đầu tư là 200 triệu đồng  giả sử nđt quyết định thu hồi vốn ở mức giá 40 000đ thì chỉ cần bán ra một nửa  như vậy khối lượng còn lại sẽ có giá vốn bằng 0đ tức là nđt sẽ vẫn luôn luôn có lãi trong mọi điều kiện thị trường  lựa chọn này sẽ giúp áp lực bán với ctg không quá lớn  dĩ nhiên vẫn có khả năng nđt sẽ bán toàn bộ để tối đa hóa lợi nhuận     phán đoán giá tích lũy    hành động khó đoán nhất sẽ là của nđt tổ chức  trong đợt ipo nhóm này  tính cả tổ chức nước ngoài  mua được không nhiều  kết quả ipo không cho biết số lượng cụ thể nhưng toàn bộ 107 tổ chức  trong đó có 3 tổ chức nước ngoài  đều mua được  dù có thể không đủ số lượng   tổng khối lượng đăng ký mua của tổ chức vào khoảng 15 97 triệu cp tương đương 29 8% khối lượng đấu giá     cũng không thể biết chính xác mỗi tổ chức sở hữu bao nhiêu nhưng con số tổng đăng ký mua cũng cho thấy khó có tổ chức nào sở hữu một khối lượng vượt trội  ví dụ trên 10 triệu cp   áp lực ""đánh xuống"" có lẽ cũng không đáng ngại     dĩ nhiên sẽ khó có chuyện ctg trượt dốc liên tục quá sâu vì bản thân nh này cũng có những điểm tốt về phân tích cơ bản  do đó giá giảm đến một mức độ nào đó sẽ xuất hiện lực mua dài hạn hoặc nđt không muốn bán nữa vì giá quá thấp  động thái tích lũy này sẽ ảnh hưởng lớn đến việc xác định đáy của ctg     một điểm bất lợi với ctg như đã nói ở trên là khối lượng nằm trong tay nđt cá nhân quá lớn  tính theo lượng cp trôi nổi floating   nếu xảy ra hoạt động mua tích lũy của tổ chức thì có lẽ giá sẽ không thể đẩy ngược để tăng được vì như vậy sẽ bất lợi cho việc mua và không tổ chức nào lại đi ngược xu hướng     mặt khác giá sẽ chỉ chững lại nếu hoạt động bán chốt lời dịu đi và có sự cân bằng giữa hoạt động mua và bán  tuy nhiên điểm khó đoán với nhu cầu bán của nđt cá nhân là nguyên nhân không phải vì quá lỗ mà vì quá lời  nếu đầu tư lỗ một bộ phận không nhỏ sẽ chuyển sang ""ôm"" dài hạn thay vì cắt lỗ  ngược lại nếu đã lãi thì chỉ cần một biến động xấu của thị trường nhu cầu chốt lời sẽ rất mạnh     với người mua rõ ràng giá càng giảm càng có lợi  việc vừa mua vừa đẩy giá lên chỉ có thể xuất phát từ hành động đầu cơ  hoạt động mua 2 phiên vừa qua với ctg cho thấy rõ điều này lượng mua tích lũy lớn chỉ đặt giá thấp thậm chí chỉ mua sàn để ""hứng"" khối lượng chốt lời ồ ạt  kiểu mua này có lẽ sẽ còn diễn ra tiếp tục chừng nào lượng cung giảm đi đáng kể     hơn 3 4 triệu cp được khớp lệnh trong hai phiên đầu tiên không phải là lớn so với lượng cung sẵn sàng bán  nđtnn cũng chưa có động thái rõ rệt với ctg khi chưa bán ra cổ nào và cũng chỉ mua vào hơn 5 000 cp  ctg chỉ có thể tạo được mặt bằng giá mới với một lượng giao dịch đủ lớn     hoàng nguyên",2009-07-21 08:47:00,5068,8
8,13799,28889,FPT,FPT làm việc cùng ANZ,đại diện anz đã trình bày cụ thể nội dung lộ trình thực hiện việc phát hành trái phiếu kèm theo chứng quyền và giải đáp các thắc mắc của fpt về các thủ tục phát hành trái phiếu kèm chứng quyền    hai bên đã thảo luận và bàn bạc các công việc cụ thể đảm bảo lộ trình phát hành trái phiếu kèm theo chứng quyền của fpt đúng tiến độ   phía anz mong muốn fpt sẽ hỗ trợ đầy đủ các thông tin về tập đoàn để họ hoàn thành tài liệu phục vụ cho việc phát hành trái phiếu kèm chứng quyền   tham dự buổi kick off này có đại diện của các bên fpt anz jsm hãng kiểm toán deloitte và đại diện luật sư của anz   ngày 10/08 fpt sẽ có buổi làm việc tiếp theo với anz ,2009-07-30 09:46:00,648,8
9,14990,30062,FPT,FPT và bài toán trái phiếu,"sau khi lỡ hẹn lần đầu vào ngày 4/7 đhcđ bất thường ctcp fpt lần thứ 2 đã diễn vào ngày 23/7 và thông qua một số nội dung cph 2 công ty con chi trả cổ tức năm 2009 bằng tiền mặt phát hành trái phiếu sửa đổi điều lệ công ty  trong đó việc phát hành trái phiếu ghi sổ kèm theo chứng quyền thu hút sự quan tâm đặc biệt từ các nđt tổ chức   phương án hấp dẫn   theo phương án đã được thông qua trong quý iii fpt sẽ phát hành không quá 18 triệu trái phiếu  tp  với mệnh giá 100 000 đồng/tp kỳ hạn 3 năm lãi suất 5 7%/năm  cứ mỗi 1 triệu tp sẽ kèm không quá 150 000 chứng quyền mỗi chứng quyền sẽ được quyền mua 10 cổ phiếu fpt    một cách dễ hiểu mua 10 tp sẽ được mua 15 cổ phiếu với giá được xác định ở mức tối thiểu 105% bình quân giá đóng cửa 7 ngày giao dịch liên tiếp của cổ phiếu fpt trước ngày chào bán trái phiếu  giả sử mức giá trung bình là 10 0 thì mức giá được mua tối thiểu sẽ là 10 5  phương án phát hành tp của fpt do ngân hàng anz tư vấn sẽ có những ưu điểm như lãi suất thấp không xảy ra hiệu ứng pha loãng eps có thể duy trì xu hướng tăng nếu dn sử dụng nguồn tiền huy động hiệu quả      nếu đến ngày đáo hạn tp thị giá của fpt tăng gấp 2 3 lần những nđt mua tp sẽ lời to  ngoài ra các nđt cũng có thể thu được lợi nhuận từ việc mua đi bán lại chứng quyền đi kèm tp    phát hành 18 triệu tp số tiền fpt thu về tối thiểu 1 800 tỷ đồng góp gần 1 3 lần vốn điều lệ của fpt hiện tại  nđt sở hữu tp fpt sẽ có tổng cộng 2 7 triệu chứng quyền tương ứng với quyền mua 27 triệu cp fpt  sau 3 năm vốn điều lệ của fpt có thể được tăng thêm 270 tỷ đồng  trong phương án phát hành hđqt đã 'chèn"" thêm tỷ lệ pha loãng 15%    những điểm băn khoăn   khá nhiều quỹ đầu tư sẵn sàng tham gia đấu thầu tp của fpt  điều đó cho thấy kỳ vọng vào dn tiếp tục được duy trì đồng thời giờ cổ phiếu fpt vẫn còn rất nhiều cơ hội gia tăng  tuy nhiên phương thức phát hành của fpt là phát hành riêng lẻ đồng thời số lượng đặt mua tối thiểu phải là 1 triệu tp    như vậy muốn tham gia bỏ giá còn phải có tối thiểu 100 tỷ đồng  đây rõ ràng không phải là cuộc chơi của nđt cá nhân    theo nguồn tin riêng của đttc một tổ chức hiện đang là cổ đông của fpt đã thắc mắc về việc tại sao không phát hành tp cho các cổ đông hiện hữu  theo đó nếu bán tp với khối lượng lớn  nđt cá nhân không mua vẫn có thể bán lại chứng quyền cho các tổ chức    cũng có những ý kiến cho rằng việc phát hành riêng lẻ sẽ tạo điều kiện để một số tổ chức cá nhân ""tiện đường"" thâm nhập và gia tăng sở hữu tới fpt  vì như đã biết việc sở hữu 3 5% vốn điều lệ đã chứng tỏ vị thế rất lớn cùng nhiều tiềm năng tăng trưởng trong tương lai của fpt  khả năng thành công đợt phát hành tp này của fpt không thể nghi ngờ vì nó là sản phẩm của một nh nước ngoài đồng thời ban lãnh đạo fpt cũng cho thấy năng lực có thể phát huy đồng vốn huy động một cách hiệu quả  nhưng dường như các nđt vẫn đang tiếp tục nghe ngóng và chờ đợi những phương án kế hoạch kinh doanh cụ thể hơn nữa từ phía fpt ",2009-08-14 11:03:00,2934,7
