,Unnamed: 0,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
231,231,231,15888,FPT,FPT: Kết quả kinh doanh 9 tháng năm 2008,"Đơn vị: tỷ VNĐKhoản mụcQuý III/20089 tháng 2008Giá trịTăng trưởngGiá trịTăng trưởngDoanh thu thuần3.772,917,5%12.449,536,7%Lãi trước thuế212,538,7%843,427,9%Lãi sau thuế175,836,9%694,723,1%Lãi sau thuế cổ đông công ty mẹ120,537,2%508,212,1%Lãi cơ bản trên cổ phiếu bình quân (VNĐ)1.2805.457Quý III năm 2008 doanh thu của FPT đạt 114,6% kế hoạch quý, lãi trước thuế vượt 3% kế hoạch quý. Tính đến hết quý III năm 2008, doanh thu của FPT đã đạt 83,3% kế hoạch năm, lãi trước thuế đạt 71,3% kế hoạch năm. ",2008-10-14 15:58:00,FPT
306,306,306,15926,FPT,FPT: Kết quả giao dịch cổ phiếu của cổ đông lớn,"Tên nhà đầu tư thực hiện giao dịch : DEUTSCHE BANK AG LONDON Mã chứng khoán thực hiện giao dịch : FPTSố lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 5.515.878 cổ phiếu chiếm tỷ lệ: 5,92 %.Số lượng cổ phiếu thực hiện bán: 1.262.570 cổ phiếu.Số lượng cổ phiếu thực hiện mua: 305.100 cổ phiếu Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch: 4.558.408 cổ phiếu chiếm tỷ lệ: 4,89 %.Thời gian thực hiện giao dịch từ ngày 30/08/2008 đến ngày 15/10/2008. ",2008-10-17 17:06:00,FPT
375,375,375,3981,FPT,"FPT: vẫn giữ tốc độ tăng trưởng 17,5%","Ông Bùi Quang Ngọc, Phó tổng giám đốc FPT cho biết, trong quý III doanh thu của tập đoàn đạt trên 3.773 tỷ đồng, tăng 17,5% so với cùng kỳ.Lợi nhuận trước thuế đạt trên 212 tỷ đồng, tăng 38,7% so với cùng kỳ.Cả hai chỉ tiêu doanh thu và lợi nhuận đều vượt kế hoạch quý với mức tương ứng là 14,6% và 3%.Lãi cơ bản trên cổ phiếu bình quân trong quý III là 1.280 đồng.9 tháng doanh thu của FPT đạt gần 12.450 tỷ đồng, tăng 36,7% so với cùng kỳ và đạt trên 83% kế hoạch năm. Lợi nhuận trước thuế đạt 843 tỷ đồng, tăng so với cùng kỳ là 27,9% và đạt 71,3% kế hoạch năm.Lãi cơ bản trên cổ phiếu bình quân 9 tháng là 5.457 đồng.Tích hợp hệ thống, xuất khẩu phần mềm, viễn thông và phân phối là những lĩnh vực kinh doanh mang lại doanh số lớn cho FPT trong 9 tháng đầu năm. Đặc biệt, nếu tính riêng mảng phần mềm và dịch vụ, doanh thu đạt gần 699 tỷ đồng, đạt 103,4% kế hoạch quý III. 9 tháng mảng này đóng góp gần 1.921 tỷ đồng vào doanh thu của cả Tập đoàn và vượt 10% với kế hoạch đề ra. Mảng kinh doanh này mang lại hơn 175 tỷ đồng lợi nhuận trước thuế trong quý III và 626 tỷ đồng lũy kế.FPT cho biết vẫn giữ tốc độ tăng trưởng 17,5% trong quý III so với cùng kỳ và dự kiến đạt doanh số 1 tỷ USD vào cuối năm. Cùng ngày, 13/10, FPT cũng đã thành lập 2 công ty phần mềm tại Mỹ (FPT USA Corp) và Australia ( FPT Australasia Ltd.) phục vụ phát triển và gia công phần mềm. Dự kiến tổng doanhsố từ hai thị trường sẽ đạt 13 triệu USD.Trước đó, ngày 20/9, tập đoàn đầu tư SBI Holdings (SBI) đã chính thức trở thành cổ đông của Công ty quản lý quỹ đầu tư FPT với số cổ phần nắm giữ là 8,17%. FPT cam kết trong điều kiện pháp luật, SBI về tương lai có thể tăng mức sở hữu lên tối đa không quá 49%. Tháng 9/2008,FPT nằm trong Top 10 cổ phiếu có giá trị vốn hóa và thanh khoản tốt nhất Việt Nam trong bộ chỉ số S&P Vietnam 10 do Standard & Poor's xây dựng. Vũ Minh",2008-10-20 00:00:00,FPT
823,823,824,16039,FPT,FPT: Ngày đăng ký cuối cùng phát hành CP thưởng,"- Loại chứng khoán: Cổ phiếu phổ thông- Mệnh giá: 10.000 đ (Mười ngàn đồng)- Ngày giao dịch không hưởng quyền: 07/11/2008- Ngày đăng ký cuối cùng: 11/11/20081. Phát hành cổ phiếu thưởng cho cổ đông hiện hữu để tăng vốn từ quỹ thặng dư vốn.- Tỷ lệ thực hiện: 50% vốn điều lệ tại thời điểm phát hành (tương đương 2:1, tại thời điểm chốt danh sách mỗi cổ đông sở hữu 02 cổ phiếu sẽ nhận thêm 01 cổ phiếu mới, số cổ phần mới sẽ được làm tròn xuống đến hàng đơn vị). (Ví dụ: Cổ đông A sở hữu 101 cổ phiếu tại thời điểm chốt danh sách, theo tỷ lệ thực hiện quyền thì cổ đông A nhận được là (101*1)/2 = 50,5 cổ phiếu. Do việc làm tròn xuống đến hàng đơn vị nên cổ đông A sẽ nhận được thêm 50 cổ phiếu mới).- Số lượng cổ phiếu dự kiến phát hành: 47.080.308 cổ phiếu (bao gồm 50% số lượng cổ phiếu đã niêm yết và 484.135 cổ phiếu (50% * 968.270 cổ phiếu) chưa niêm yết).- Quyền nhận cổ phiếu thưởng: không được phép chuyển nhượng- Cổ phiếu phát hành thêm từ việc thưởng cổ phiếu không bị hạn chế chuyển nhượng.- Ngày dự kiến giao dịch: 15/12/2008.- Địa điểm thực hiện:+ Đối với chứng khoán đã lưu ký: Người sở hữu chứng khoán nhận cổ phiếu thưởng tại các công ty chứng khoán nơi mở tài khoản lưu ký.+ Đối với chứng khoán chưa lưu ký: Người sở hữu chứng khoán làm thủ tục nhận cổ phiếu thưởng tại:Công ty Cổ phần Phát triển Đầu tư Công nghệ FPT – Tòa nhà FPT Cầu Giấy, Đường Phạm Hùng, Cầu Giấy, Hà Nội.Hoặc, Chi nhánh Công ty Cổ phần Phát triển Đầu tư Công nghệ FPT – Tầng 3, Tòa nhà Citilight, Số 45 Võ Thị Sáu, Phường ĐaKao, Q1, Tp.HCM.2. Lấy ý kiến cổ đông bằng văn bản với các nội dung:a. Thông qua việc niêm yết bổ sung số cổ phiếu thưởng cho cổ đông hiện hữu để tăng vốn từ quỹ thặng dư vốn với số lượng phát hành bằng 50% vốn điều lệ tại thời điểm phát hành.b. Thông qua việc hủy kế hoạch phát hành thêm cổ phần ra bên ngoài để tăng vốn điều lệ với số lượng không quá 10% vốn điều lệ tại thời điểm phát hành theo Nghị quyết đại hội đồng cổ đông ngày 20/11/2007.- Thời gian thực hiện: từ ngày 21/11/2008 đến ngày 05/12/2008.- Hình thức thực hiện: Công ty sẽ gửi phiếu xin ý kiến cổ đông và các tài liệu liên quan bằng thư đảm bảo đến các địa chỉ đăng ký của cổ đông.- Trung tâm Lưu ký Chứng khoán Chi nhánh tại Tp.HCM tạm ngừng nhận lưu ký chứng khoán FPT vào những ngày 10,11,12/11/2008.  ",2008-10-30 14:11:00,FPT
846,846,847,16050,FPT,FPT: Nghị quyết Hội đồng quản trị,"1. Quyết định họp nhất Công ty Phân phối FPT (FDC), Công ty Công nghệ di động FPT (FMB), Công ty Bán lẻ FPT (FRT) thành Tổng công ty Phân phối FPT. Thời gian bắt đầu đi vào hoạt động là 01/01/2009.2. Phê duyệt chủ trương đầu tư dự án “Đầu tư Xây dựng Trường Đại học FPT – Giai đoạn I” với nội dung sau:+ Tên dự án: Trường Đại học FPT – Giai đoạn I+ Địa điểm xây dựng: Khu Giáo dục – Đào tạo, Khu Công nghệ Hòa Lạc, Huyện Thạch thất - Hà Nội.+ Quy mô dự án: Diện tích đất có hạ tầng kỹ thuật: 6,5haDiện tích sàn xây dựng: khoảng 14.200 m2 sàn.+ Tổng mức đầu tư của Dự án: dự kiến 82.590.000.000 VNĐ (Tám mươi hai tỷ, năm trăm chín mươi triệu đồng).+ Tiến độ thực hiện: Dự án được thực hiện trong 02 năm (năm 2008 và 2009).+ Giao Trường Đại học FPT làm chủ đầu tư dự án.3. Công ty Cổ phần Phát triển Đầu tư Công nghệ FPT đã trình Đại hội đồng cổ đông phê duyệt bằng thể thức lấy ý kiến cổ đông bằng văn bản về việc đổi tên giao dịch bằng tiếng việt (Nghị quyết Đại hội đồng cổ đông số 01-09-2008/NQ-FPT.ĐHĐCĐ ngày 25/09/2008. Tuy nhiên, theo yêu cầu của Sở KHĐT, công ty cần đồng thời đổi tên giao dịch bằng tiếng Anh. Vì vậy, Hội đồng Quản trị đã họp và thông qua việc đổi tên giao dịch bằng tiếng Anh và trình Đại hội đồng cổ đông phê duyệt bằng thể thức lấy ý kiến cổ đông bằng văn bản:+ Tên giao dịch bằng tiếng Anh cũ: The Corporation for Financing and Promoting Technology.+ Tên giao dịch bằng tiếng Anh mới: FPT Corporation.",2008-10-31 15:20:00,FPT
894,894,895,16085,FPT,FPT: Kết quả giao dịch cổ phiếu của cổ đông nội bộ,+ Tên người thực hiện giao dịch: Nguyễn Khải Hoàn+ Chức vụ hiện nay tại tổ chức niêm yết: Thành viên BKS Công ty CP Phát triển Đầu tư Công nghệ FPT+ Mã Chứng khoán Giao dịch: FPT+ Số lượng cổ phiếu nắm giữ trước khi giao dịch: 11.417 cổ phiếu+ Số lượng cổ phiếu đã giao dịch (bán): 6.000 cổ phiếu+ Số lượng cổ phiếu nắm giữ sau khi giao dịch: 5.417 cổ phiếu+ Mục đích giao dịch: Phục vụ nhu cầu tài chính cá nhân+ Thời gian thực hiện xong giao dịch: 30/10/2008.,2008-11-04 14:00:00,FPT
901,901,902,16092,FPT,FPT: Kết quả giao dịch cổ phiếu của cổ đông nội bộ,+ Tên người thực hiện giao dịch: Phan Ngô Tống Hưng+ Chức vụ hiện nay tại tổ chức niêm yết: Phó Chủ tịch HĐQT Công ty CP Phát triển Đầu tư Công nghệ FPT+ Mã Chứng khoán Giao dịch: FPT+ Số lượng cổ phiếu nắm giữ trước khi giao dịch: 1.706.666 cổ phiếu+ Số lượng cổ phiếu đã giao dịch (bán): 15.000 cổ phiếu+ Số lượng cổ phiếu nắm giữ sau khi giao dịch: 1.691.666 cổ phiếu+ Mục đích giao dịch: Phục vụ nhu cầu tài chính cá nhân+ Thời gian thực hiện xong giao dịch: 03/11/2008.,2008-11-04 16:26:00,FPT
947,947,948,16108,FPT,FPT: Giao dịch cổ phiếu của người có liên quan đến cổ đông nội bộ ,+ Tên người thực hiện giao dịch: Nguyễn Thị Kim Thoa+ Tên người có liên quan: Trương Đình Anh (là con)+ Chức vụ của người có liên quan hiện nay tại tổ chức niêm yết: Thành viên HĐQT.+ Mã Chứng khoán Giao dịch: FPT+ Số lượng cổ phiếu nắm giữ trước khi giao dịch: 10.500 cổ phiếu+ Số lượng cổ phiếu dự kiến giao dịch (bán): 4.000 cổ phiếu+ Số lượng cổ phiếu nắm giữ sau khi giao dịch: 6.500 cổ phiếu+ Mục đích thực hiện giao dịch: tiêu dùng.+ Thời gian dự kiến thực hiện giao dịch: từ ngày 10/11/2008 đến 31/12/2008.,2008-11-07 14:34:00,FPT
1872,1872,1875,16532,FPT,FPT: Nghị quyết Đại hội cổ đông,- Thông qua việc niêm yết bổ sung số cổ phiếu thưởng cho cổ đông hiện hữu để tăng vốn từ quỹ thặng dư vốn với số lượng phát hành bằng 50% vốn điều lệ tại thời điểm phát hành.- Thông qua việc hủy kế hoạch phát hành thêm cổ phần ra bên ngoài để tăng vốn điều lệ tại thời điểm phát hành theo nghị quyết đại hội đồng cổ đông ngày 20/11/2007.- Thông qua việc đổi tên giao dịch bằng tiếng anh như sau:+ Tên giao dịch bằng tiếng anh cũ: The Corporation for Financing and Promoting Technology.+ Tên giao dịch bằng tiếng anh mới: FPT Corporation.,2008-12-16 00:00:00,FPT
1926,1926,1929,16569,FPT,"FPT: Thành viên HĐQT đăng ký bán 369,000cp",- Tên người thực hiện giao dịch: Phan Ngọc Thạnh - Chức vụ hiện nay tại tổ chức niêm yết: Thành viên HĐQT - Mã chứng khoán: HBC- Số lượng cổ phiếu trước khi giao dịch: 85.298 cổ phiếu- Số lượng cổ phiếu đã bán: 56.000 cổ phiếu - Thời gian thực hiện giao dịch: từ ngày 01/12/2008 đến 12/12/2008 - Số lượng cổ phiếu hiện đang sở hữu: 29.298 cổ phiếu ,2008-12-18 00:00:00,FPT
