,Unnamed: 0,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
21781,21781,21798,36678,MSN,MSN: Bản cáo bạch niêm yết và các phụ lục,File đính kèm: 20091102-MSN-Ban cao bach Niem yet - Dieu le mau.pdf 20091102-MSN-Ban cao bach Niem yet - Bao cao kiem toan tong hop.pdf 20091102-MSN-Ban cao bach Niem yet - Giay dang ky kinh doanh.pdf 20091102-MSN-Ban cao bach Niem yet HOSE.pdf ,2009-11-02 17:00:00,MSN
23123,23123,23142,38022,MSN,MSN: Xin ý kiến cổ đông bằng văn bản về việc phát hành riêng lẻ cho NĐT chiến lược,"Loại chứng khoán: Cổ phiếu phổ thông Mệnh giá: 10.000 đ (mười nghìn đồng) Ngày giao dịch không hưởng quyền: 26/11/2009 (Trường hợp giao dịch thỏa thuận từ 100.000 cổ phiếu trở lên trong các ngày 26, 27/11/2009 thì người bán không được hưởng quyền)Ngày đăng ký cuối cùng: 30/11/2009 Lý do và mục đích: Chốt danh sách để lấy ý kiến cổ đông bằng văn bản Nội dung lấy ý kiến bằng văn bản: Thông qua việc phát hành cổ phần mới cho nhà đầu tư chiến lược theo hình thức phát hành riêng lẻ cho dưới 100 nhà đầu tư. Số lượng cổ phần phát hành mới tối đa là 12 (mười hai) triệu cổ phần phổ thông. Thời gian gửi, nhận thư và tổng hợp ý kiến: Công ty sẽ thông báo sau Trung tâm Lưu ký Chứng khoán Chi nhánh TP.HCM sẽ tạm ngừng nhận lưu ký chứng khoán MSN vào những ngày 27, 30 /11/2009 và 01/12/2009. ",2009-11-18 17:01:00,MSN
23912,23912,23934,38789,MSN,MSN: Thông báo bổ sung lấy ý kiến cổ đông bằng văn bản,"Theo đó, dự kiến ngày gửi thư xin ý kiến là ngày 4/12/2009, ngày dự kiến thu phí biểu quyết là 15/12/2009 và ngày tổng hợp ý kiến là 16/12/2009.Download File : 20091130_MSN_Thong_bao_bo_sung_lay_y_kien_co_dong_bang_van_ban.pdf ",2009-11-30 16:54:00,MSN
24159,24159,24181,39017,MSN,MSN: Chị Thành viên viên BKS bán thành công 5.100cp,"Tên người thực hiện giao dịch: Nguyễn Thị Thu HàMã chứng khoán giao dịch: MSNSố lượng, tỷ lệ cổ phiếu nắm giữ trước khi thực hiện giao dịch: 120.000 CP chiếm 0,025% vốn CPTên của người có liên quan tại tổ chức niêm yết: Nguyễn Thu Hiền (Quan hệ: chị ruột)Chức vụ hiện nay của người có liên quan tại tổ chức niêm yết: thành viên Ban Kiểm soátSố lượng cổ phiếu đã bán: 5.100 CPSố lượng, tỷ lệ cổ phiếu nắm giữ sau khi thực hiện giao dịch: 114.900 CP, chiếm 0,024% vốn CPThời gian thực hiện giao dịch: 10/11/2009 đến 24/11/2009",2009-12-03 15:53:00,MSN
24498,24498,24520,39345,MSN,MSN: Gia hạn nộp BC Lưu chuyển tiền tệ và Thuyết minh BCTC Q3/2009,Lý do: do mới tiến hành tái cấu trúc công ty nên việc lập báo cáo Lưu chuyển tiền tệ hợp nhất cho toàn tập đoàn mất rất nhiều thời gian. ,2009-12-09 07:52:00,MSN
24687,24687,24709,39541,MSN,MSN: Giải trình việc công bố kết quả kinh doanh,"Cụ thể, theo Sở GDCK Tp.HCM trước đó MSN công bố kết quả kinh doanh trước đó là một nội dung của báo cáo quản trị chứ không phải là báo cáo tài chính.MSN đã giải trình là do Công ty thực hiện tái cấu trúc ngay trước khi niêm yết do vậy BCTC của MSN đã không thể hiện đầy đủ các hoạt động của MSN và các Công ty con. MSN sở hữu Techcombank từ tháng 8/2009 nhưng thực tế nhóm công ty Masan đã sở hữu techcombank từ trước đó rất lâu.Sự khác nhau giữa số liệu lợi nhuận của MSN từ các công ty liên kết trong Báo cáo kết quả hoạt động kinh doanh và Báo cáo Proforma phát sinh từ việc ghi nhận ảnh hưởng của kết quả 9 tháng thay vì 1 tháng (tháng 9) của Techcombank và trả lại chi phí lợi thế thương mại.Thong tin ve ket qua kinh doanh Proforma 9 thang _ MSN",2009-12-11 07:50:00,MSN
24984,24984,25006,39833,MSN,MSN: Xác định thông tin ký thỏa thuận góp vốn với cổ đông chiến lược,"Cụ thể, Housse Foods Coporation sẽ mua 09 triệu cổ phần phát hành với giá khoảng 40.000đ/cp. Việc phát hành cổ phần mới chỉ thực hiện sau khi MSN hoàn tất việc xin ý kiến cổ đông và đăng ký phát hành riêng lẻ với UBCKNN theo đúng quy định của pháp luật.Ngày 30/11/2009 vừa qua, MSN đã chốt danh sách cổ đông và đang tiến hành lấy ý kiến bằng văn bản.Việc này MSN đã công bố tại Nghị quyết HĐQT số 1118/NQ-HĐQT-09 ngày 18/11/2009.MSN_ Giai trinh thong tin lien quan den viec ky thoa thuan hop tac voi co dong chien luoc",2009-12-15 13:48:00,MSN
25203,25203,25225,40069,MSN,MSN: Đánh giá triển vọng Công ty năm 2010,"Việc House Foods ký cam kết mua 9 triệu cổ phiếu MSN với giá 40.000 đồng/CP có phải nằm trong kế hoạch phát hành 12 triệu cổ phiếu mà Công ty đang lấy ý kiến cổ đông không? Và cơ sở nào để Công ty đặt kế hoạch lợi nhuận năm nay và năm 2010 cao như vậy (năm nay 584,4 tỷ, năm 2010 hơn 1.100 tỷ)? Chúng tôi xin ý kiến cổ đông phát hành thêm 12 triệu cổ phiếu, trong đó phát hành 9 triệu cổ phiếu cho House Foods. Đến tháng 8 năm 2009 Masan Group mới hoàn thành việc tái cấu trúc, do đó thu nhập năm 2009 sẽ không phản ánh được hiệu quả hoạt động của cả năm. Thực hiện hạch toán ""Proforma"", chúng tôi ước tính lợi nhuận năm 2009 là từ 700 - 900 tỉ với giả định là việc tái cấu trúc hoàn thành vào tháng 1 năm 2009. Do đó lợi nhuận năm 2010 mới có thể so sánh với năm 2009. Chúng tôi ước đoán tốc độ tăng trưởng trong năm 2010 khoảng 40 - 50% so với năm 2009 tính trên ""Proforma"". Ông có cho rằng đợt điều chỉnh của thị trường chứng khoán Việt Nam ở thời điểm hiện tại là bình thường và nó mang tính tất yếu đặc trưng của TTCK hay không? Nếu không thì đâu là nguyên nhân chủ yếu của tình trạng TTCK điều chỉnh quá mạnh như thế này? Theo đánh giá của cá nhân ông, TTCK Việt Nam sẽ thực sự phục hồi ở thời điểm nào của năm 2010? Công việc của tôi với vai trò là CEO của Masan Group là tạo giá trị trung hạn cho cổ đông của công ty, chứ không tập trung với giá cổ phiếu biến động hằng ngày. Tôi tin rằng khi dòng tiền rút ra khỏi thị trường thì hầu hết các thị trường Châu Á đầu ngừng tăng. Tuy nhiên, về cơ bản tôi tin là thị trường Châu Á và Việt Nam vẫn tăng trưởng tốt, tôi cho rằng đến nửa cuối năm 2010 xu hướng thị trường sẽ rất tích cực.Thực sự Masan Group hoạt động trong lĩnh vực gì? Định hướng và mục tiêu ra sao? MSN không phải là công ty hoạt động trong lĩnh vực hàng hải. Hiện nay chúng tôi hoạt động trong 2 ngành: Ngân hàng và Thực phẩm. Tuy nhiên, chúng tôi có kế hoạch mở rộng sang một số ngành mới thông qua hoạt động mua bán và sáp nhập doanh nghiệp cũng như phát triển những doanh nghiệp mới. Chúng tôi sẽ sớm công bố một số đối tác chiến lược trong lĩnh vực mới trong nửa đầu năm 2010.Đâu là những động lực tăng trưởng chính của Masan Group? Chúng tôi có 3 động lực tăng trưởng như sau: 1/ Động lực đầu tiên là những doanh nghiệp và những khoản đầu tư hiện hữu. Cả Masan Food và Techcombank đều đang tăng trưởng tốt với tốc độ khoảng 30-50%. 2/ Động lực thứ hai là những kế hoạch thu mua công ty. 3/ Động lực cuối cùng là thông qua Masan Ventures. Ở đây, chúng tôi đang phát triển nhiều doanh nghiệp mới với các đối tác chiến lược. Thưa ông, Madhur, nên xem MSN như là một quỹ đầu tư hay một công ty? Chúng tôi không phải là những nhà đầu tư thụ động như một quỹ đầu tư, và chúng tôi chỉ đầu tư vào những doanh nghiệp mà chúng tôi có thể có được cổ phần đa số. Quan trọng hơn, chúng tôi là “người xây dựng doanh nghiệp.”Xin ông cho biết chiến lược M&A của Masan? Tôi có 14 năm kinh nghiệm trong lĩnh vực M&A từ những nghề nghiệp trước đây của mình, và điều mà tôi có thể nói cho các bạn biết là thực thi hoạt động M&A là điều hết sức khó khăn. Chúng tôi sẽ chỉ tập trung vào những hoạt động có kiểm soát để có thể bổ sung cho thu nhập của chúng tôi.Tầm nhìn của ông dành cho MSN là gì? Về cơ bản, chúng tôi xem MSN là một công ty giúp Việt Nam hiện thực hóa giá trị thực sự của mình. Về mặt tài chính, chúng tôi hy vọng tạo ra giá trị cho MSN với mức vốn hóa thị trường 5 tỷ USD trong 5 năm. Chúng tôi tin rằng Masan hiện nay đã nổi tiếng với việc tạo dựng những doanh nghiệp có chất lượng và là một đối tác tuyệt vời dành cho những nhà đầu tư tài chính và đầu tư chiến lược. Cá nhân tôi cũng muốn Masan có được đội ngũ quản lý có tài năng nhất ở Việt Nam.Tại sao Masan Group lại hợp tac với TPG, Bank INvest, House Foods? Hợp tác với những đối tác tài chính và đối tác chiến lược phù hợp là chiến lược quản trị doanh nghiệp của chúng tôi. Điều đó cho phép chúng tôi đảm bảo rằng luôn có sự kiểm soát và cân bằng ở mọi cấp độ. Chúng tôi có thể học tập từ kinh nghiệm của họ để hoạt động hiệu quả hơn. Chúng tôi không chỉ tìm kiếm vốn đầu tư, mà tìm kiếm nguồn vốn có thể tạo ra giá trị.Xin ông cho biết về viễn cảnh chứng khoán năm 2010? Luồng tiền cuối năm 2009 này bị thắt chặt do các chính sách vĩ mô, liệu năm 2010, thị trường có khả năng phát triển bền vững được hay không hay vẫn hoản loạn như những ngày vừa qua?Quan điểm của tôi là nền kinh tế Mỹ chưa thực sự phục hồi khi mức thất nghiệp chưa được giảm xuống. Trước khi thực sự phục hồi thì lãi suất vẫn ở mức thấp. Trong khi đó, lãi suất thực ở châu Á cũng ở mức thấp, mặc dù lãi suất danh nghĩa có thể tăng lên. Điều này có nghĩa là giá tài sản và chứng khoán trong thời gian 2 năm sẽ tích cực, nhưng trong ngắn hạn có thể yếu ớt vì khả năng vay nợ (leverage) và tính thanh khoản (liquidity) co hẹp. Sự tăng trưởng của Việt Nam được thúc đẩy nhờ vào tiêu dùng trong nước. Nếu nguồn vốn FDI và dòng tiền vào ổn định thì tốc độ tăng trưởng vẫn mạnh. MSN sẽ được bảo vệ vì chúng tôi hoạt động trong ngành tiêu dùng nội địa.Xin ông cho biết thêm thông tin về Masan Ventures? Chúng tôi đang xây dựng một số doanh nghiệp mới trong các lĩnh vực dịch vụ, tiêu dùng và phân phối. Một số ngành bao gồm dịch vụ gia công quy trình doanh nghiệp (BPO - Business Process Outsourcing), kho vận, hàng hóa nông nghiệp, quản lý tài sản… Có một số ngành chúng tôi sẽ không tham gia, đó là những ngành cần dùng nhiều vốn hoặc những ngành sản xuất hàng xuất khẩu. Điểm chung trong tất cả những doanh nghiệp này là chúng tôi đang hợp tác với một đối tác quốc tế trong từng lĩnh vực. Chúng tôi sẽ tiết lộ thêm thông tin về những kế hoạch này trong thời gian rất gần. Masan nhìn thấy giá trị ở những lĩnh vực nào tại Việt Nam? Trong 10 năm qua, tiêu dùng là một động lực tăng trưởng mạnh mẽ cho Việt Nam. Tôi tin rằng lĩnh vực phân phối cùng với lĩnh vực tiêu dùng sẽ tiếp tục là những động lực tăng trưởng cho Việt Nam trong 10 năm tiếp theo. Lĩnh vực cơ sở hạ tầng của Việt Nam cũng chưa được đầu tư đúng mức – đó sẽ là một lĩnh vực cần chú ý trong thời gian sắp tới.Giá trị sổ sách của MSN đến thời điểm này là bao nhiêu và điểm mạnh của Tập đoàn Masan như thế nào? Masan là tập đoàn hoạt động trong nhiều lĩnh vực. Vậy xin cho biết, tỷ trọng đóng góp vào lợi nhuận để tính EPS cho cổ phiếu MSN như thế nào cho từng lĩnh vực mà Masan hoạt động? 1. Giá trị sổ sách hiện tại của MSN là gần 5.000 tỉ. 2. Điểm mạnh của MSN là: - Hai công ty đứng đầu thị trường trong lĩnh vực Thực phẩm và Ngân hàng. - Công ty mẹ có khả năng thực hiện việc mua bán và sáp nhập công ty và thiết lập doanh nghiệp mới. - Có khả năng thu hút nguồn vốn trong lúc thị trường đang khó khăn. - Có kinh nghiệm hoạt động ở Việt Nam với đội ngũ quản trị có năng lực và các đối tác chiến lược phù hợp trong các doanh nghiệp mà chúng tôi đầu tư. EPS năm 2009 của chúng tôi ước đoán trên cơ sở ""Proforma"" là 1.500 - 1.900.",2009-12-17 15:40:00,MSN
25221,25221,25243,40074,MSN,MSN: Thông qua phương án phát hành cổ phiếu tăng vốn điều lệ thêm 120 tỷ đồng,"Cụ thể, Công ty phát hành 12 triệu cổ phiếu mới cho NĐT chiến lược dưới hình thức phát hành riêng lẻ cho dưới 100 NĐT. Thời gian phát hành dự kiến từ tháng 12/2009-3/2010. Tiêu chí lựa chọn NĐT của MSN là các tổ chức trong nước và nước ngoài; có khả năng, năng lực để đóng góp vào hoạtđộng sản xuất kinh doanh của Công ty hoặc các công ty con và mang lại lợi ích cho Công ty trong dài hạnSau khi tăng phát hành cổ phiếu tăng vốn. Tổng số vốn điều lệ sau khi tăng dự kiến là trên 4.883 tỷ đồngMSN_NQ DHDCD ",2009-12-17 17:12:00,MSN
26008,26008,26031,40901,MSN,MSN: Vi phạm Công bố thông tin kết quả giao dịch cổ phiếu,Bà Nguyễn Thị Thu Hà là người có liên quan với bà Nguyễn Thị Thu Hiền – Thành Viên Ban Kiểm Soát của Công ty Cổ phần Tập Đoàn Ma San (MSN) đã thực hiện bán 5.100 cổ phiếu MSN từ ngày 10/11/2009 đến ngày 24/11/2009 nhưng không công bố thông tin. ,2009-12-28 15:45:00,MSN
