,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
196614,196715,218804,MWG,Thế giới Di động hạ giá chào sàn,trao đổi với vnexpress đại diện công ty cổ phần thế giới di động cho biết sau khi tính toán với sở giao dịch chứng khoán tp hcm hsx đơn vị này quyết định hạ giá tham chiếu  đồng xuống còn  đồng mỗi cổ phiếu trong ngày chào sàn  sắp tới tổng cộng  triệu cổ phiếu của thế giới di động niêm yết với mã mwg đại diện công ty chia sẻ ban đầu ấn định giá  đồng vì đây là mức đã tính toán và được cổ đông nhà đầu tư chấp nhận mua vào thời điểm mekong enterprise fund rút bớt vốn tuy nhiên sau khi tham khảo ý kiến của hsx đơn vị này đã quyết định chỉnh giá trước khi lên sàn thế giới di động hiện nắm  thị phần bán lẻ điện tại di động tại việt nam và dự tính nâng số lượng cửa hàng lên khắp cả nước trong tháng  lĩnh vực điện thoại đem về cho công ty hơn triệu usd doanh thu cao hơn  so với cùng kỳ năm trước phần lớn do nhu cầu về điện thoại thông minh tăng cao ở chiều ngược lại một số mảng kinh doanh khác của công ty như điện lạnh gia dụng hay laptop giảm  năm  doanh thu của thế giới di động đạt  tỷ đồng lợi nhuận tỷ đồng và đặt mục tiêu gần gấp đôi trong năm nay tính đến cuối quý i vốn chủ sở hữu công ty là tỷ đồng trong khi có dư nợ  tỷ con số này đã giảm trên tỷ đồng so với cuối năm ngoái,2014-07-09 16:31:00,MWG
196659,196760,218848,MWG,MWG- Chủ tịch HĐQT đăng ký mua 200.000 CP từ 14/7,tên người thực hiện giao dịch nguyễn đức tài mã chứng khoán mwg chức vụ hiện nay tại tổ chức niêm yết chủ tịch hđqt số lượng tỷ lệ cổ phiếu nắm giữ trước khi giao dịch  cp tỷ lệ  số lượng cp đăng ký mua  cp số lượng tỷ lệ cổ phiếu dự định nắm giữ sau khi thực hiện giao dịch  cp tỷ lệ  mục đích thực hiện giao dịch đầu tư cá nhân phương thức giao dịch khớp lệnh qua sàn thời gian dự kiến thực hiện giao dịch từ ngày đến ngày ,2014-07-10 09:06:00,MWG
196734,196835,218928,MWG,MWG- Thành viên BKS đăng ký mua 2.000 CP từ 14/7 đến 12/8,tên người thực hiện giao dịch hoàng xuân thắng mã chứng khoán mwg chức vụ hiện nay tại tổ chức niêm yết thành viên bks số lượng tỷ lệ cổ phiếu nắm giữ trước khi giao dịch  cp tỷ lệ  số lượng cp đăng ký mua   cp số lượng tỷ lệ cổ phiếu dự định nắm giữ sau khi thực hiện giao dịch  cp tỷ lệ  mục đích thực hiện giao dịch đầu tư cá nhân phương thức giao dịch khớp lệnh thời gian dự kiến thực hiện giao dịch từ ngày đến ngày ,2014-07-10 16:08:00,MWG
196764,196865,218958,MWG,MWG- Bài giới thiệu niêm yết,theo dự kiến ngày  cổ phiếu ctcp đầu tư thế giới di động sẽ chính thức giao dịch trên sgdck tphcm với mã chứng khoán là mwg với giá tham chiếu là  đồngcổ phiếu và biên độ dao động giá trong ngày giao dịch đầu tiên là  chi tiết bài giới thiệu xem file đính kèm,2014-07-10 18:11:00,MWG
196942,197043,219128,MWG,MWG- Bổ sung thông tin bản cáo bạch niêm yết,theo dự kiến ngày  cổ phiếu ctcp đầu tư thế giới di động sẽ chính thức giao dịch trên sgdck tphcm với mã chứng khoán là mwg với giá tham chiếu là  đồngcổ phiếu và biên độ dao động giá trong ngày giao dịch đầu tiên là  chi tiết bài giới thiệu và bổ sung bản cáo bạch niêm yết xem các file đính kèm  bài giới thiệu  bổ sung bản cáo bạch,2014-07-14 09:20:00,MWG
197043,197144,219237,MWG,MWG tăng kịch trần phiên chào sàn,trong phiên giao dịch đầu tiên mwg tạo được ấn tượng với mức giá tăng kịch trần trong biên độ dao động lên  đồngcổ phiếu với lượng dư mua gần  triệu đơn vị  ctcp đầu tư thế giới di động có vốn điều lệ đăng ký ban đầu hơn  tỷ đồng sau lần tăng vốn vốn điều lệ của công ty này là tỷ đồng hoạt động kinh doanh chính của mwg là kinh doanh bán lẻ thông qua hai công ty con là ctcp thế giới di động và ctcp thương mại thế giới điện tử mwg đều sở hữu hơn  vốn tại công ty đến cuối năm  mwg đã có cửa hàng bán lẻ điện thoại di động và các thiết bị khác và siêu thị bán lẻ điện thoại di động máy tính xách tay máy tính bảng đồ điện gia dụng thiết bị điện tử và thiết bị kỹ thuật số trong tháng đầu năm  doanh thu thuần hợp nhất của mwg đạt  tỷ đồng bằng  kế hoạchvà lợi nhuận sau thuế hợp nhất tỷ đồng hoàn thành khoảng  kế hoạch lợi nhuận sau thuế hợp nhất năm ,2014-07-14 16:49:00,MWG
198244,198345,220437,MWG,MWG- Em trưởng BKS đăng ký bán 3.000 CP từ 29/7,tên người thực hiện giao dịch trần huy thanh đại mã chứng khoán mwg tên và chức vụ hiện nay của người có liên quan tại tổ chức niêm yết trần huy thanh tùng trưởng bks số lượng tỷ lệ cổ phiếu nắm giữ trước khi giao dịch  cp tỷ lệ  số lượng cp đăng ký bán cp số lượng tỷ lệ cổ phiếu dự định nắm giữ sau khi thực hiện giao dịch  cp tỷ lệ  mục đích thực hiện giao dịch nhu cầu tài chính cá nhân phương thức giao dịch khớp lệnh và thỏa thuận thời gian dự kiến thực hiện giao dịch từ ngày  đến ngày ,2014-07-24 17:10:00,MWG
200016,200117,222221,MWG,MWG- EPS hợp nhất soát xét 6 tháng đạt 4.940 đồng/CP,theo đó lãi cơ bản trên cổ phiếu eps hợp nhất sau soát xét cho tháng đầu năm nay đạt  đồngcp tăng mạnh so với  đồngcp cùng kỳ năm trước cty đạt  tỷ đồng lnst hợp nhất sau soát xét trong nửa đầu năm nay tăng  so với cùng kỳ năm trước lãi  tỷ doanh thu thuần hợp nhất sau soát xét của mwg đạt  nghìn tỷ đồng trong tháng đầu năm  tăng  so với năm trước đó cty có  nghìn tỷ đồng tài sản hợp nhất tại  gần như không thay đổi so với  lưu ý cty mẹ mwg đạt  tỷ đồng lnst soát xét cho tháng đầu năm nay tỷ đồng doanh thu tương ứng tăng  và tăng  so với cùng kỳ năm trước chi tiết bctc hợp nhất soát xét xem file đính kèm chi tiế t bctc riêng soát xét xem file đính kèm,2014-08-12 10:00:00,MWG
200540,200641,222746,MWG,MWG- 25/8 ĐKCC Đại hội đồng cổ đông bất thường,ngày giao dịch không hưởng quyền  ngày đăng ký cuối cùng  thời gian địa điẻm thực hiện thông báo cụ thể sau  nội dung họp  thông qua phương án phát hành cổ phiếu  các vấn đề khác,2014-08-18 10:50:00,MWG
200542,200643,222748,MWG,MWG-Nghị quyết HĐQT số 03 về việc tổ chức ĐHĐCĐ bất thường,thông qua phương án phát hành cp thời gian dự kiếncuối quí hoặc đầu quí ,2014-08-18 10:50:00,MWG
