,ner
0,"['vcb', 'intesa sanpaolo', 'italia', 'cửu long', 'hà nội', 'sông', 'việt nam', 'đồng bằng']"
1,"['châu âu', 'hastc index', 'nhiệt điện', 'thương mại', 'vận tải', 'dầu khí', 'dhg', 'đầu tư', 'pvi', 'sản xuất', 'phú phong', 'ctcp', 'index', 'acb', 'mỹ', 'dịch vụ', 'phương mai', 'hà nội', 'vinashin', 'phả lại', 'và', 'vn', 'stb', 'fed']"
2,"['sfc', 'nhiên liệu', 'chứng khoán', 'thương mại', 'vàng bạc', 'sài gòn', 'tp hcm', 'cổ phần', 'dung', 'công ty', 'đá quý', 'đông á', 'địa ốc', 'phú nhuận', 'ngân hàng', 'kinh đô', 'đông á công ty', 'pnj', 'cao thị ngọc dung']"
3,"['fpt', 'công ty', 'đại học', 'nihon sekkei nhật bản', 'hoà lạc', 'bất động sản', 'land', 'việt nam']"
4,"['sài gòn', 'hose', 'á châu', 'ck', 'bsc', 'ngoại thương', 'ngân hàng', 'ctcp', 'thanh huyền', 'ctck', 'bvsc', 'ssi', 'việt nam']"
5,"['vcb', 'hose', 'avsc', 'abc', 'hnx', 'tuấn nguyễn', 'vn', 'stb', 'index', 'việt nam', 'acb']"
6,"['chungta', 'văn miếu', 'fpt', 'phòng', 'ks', 'horison', 'ngọc bc', 'horison hiềnnv', 'btc', 'bùi quang ngọc theo', 'ngọc']"
8,"['deloitte', 'fpt', 'anz']"
9,"['fpt', 'anz', 'ctcp']"
10,"['vcb', 'mỹ', 'tài chính', 'tp', 'tập đoàn', 'ngân hàng', 'dương', 'nhnn', 'hcm', 'general electric', 'nguyên', 'vn', 'lê thẩm dương trưởng', 'hằng']"
11,"['elcom', 'bùi sưởng']"
12,"['sài gòn', 'cổ phần', 'ô tô', 'công ty', 'chứng khoán', 'ctcp', 'tmt', 'hưng yên', 'v minh', 'giải phóng', 'ssi', 'ôtô tmt tmt']"
13,"['nam tổng giám', 'mekong capital', 'cổ phần', 'fpt', 'việt úc', 'công ty', 'vas', 'tập đoàn', 'việt úc ông nguyễn', 'giáo dục', 'capital', 'thành', 'quốc tế', 'trường']"
14,"['telecom', 'fpt', 'tập đoàn', 'ctcp', 'evn']"
