,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
262,262,15910,PNJ,PNJ: Chấp thuận niêm yết về nguyên tắc ,,2008-10-15 15:14:00,
4639,4642,19833,PNJ,"Ngày 23/3, Hose đón tân binh PNJ",kế hoạch này đã được đại diện pnj  bà cao thị ngọc dung  chủ tịch hội đồng quản trị công ty công bố tại lễ giới thiệu “cơ hội đầu tư vào pnj” tại tphcm vào chiều ngày  “trong năm  pnj dự kiến sẽ không huy động thêm vốn từ thị trường tài chính nên thời điểm niêm yết hiện nay cũng không phải là trở ngại đối với công ty chắc chắn cổ phiếu pnj sẽ luôn ổn định và tăng trưởng tốt sau khi niêm yết” bà dung nói trong năm  doanh thu thuần của công ty đạt  tỷ đồng tăng  so với cùng kỳ lợi nhuận trước thuế là  tỷ đồng tăng  so với cùng kỳ cổ tức hàng năm đều duy trì mức cổ tức từ  trở lên năm  nhưng pnj xây dựng kế hoạch kinh doanh với doanh số và lợi nhuận tăng khoảng  cụ thể doanh số ước đạt  tỷ đồng và lợi nhuận đạt tỷ đồng cho đến thời điểm này giá dự kiến cho ngày niêm yết đầu tiên của pnj vẫn chưa được xác định tuy nhiên theo tính toán của công ty chứng khoán đông á mức giá này sẽ dao động trong khoảng từ    đồngcổ phiếu được biết pnj được thành lập năm  tiền thân của là cửa hàng kinh doanh vàng bạc đá quý phú nhuận ngành nghề kinh doanh của công ty gồm dịch vụ kiểm định kim cương và đá quý sản xuất kinh doanh trang sức thành phẩm bằng vàng bạc đá quý vàng miếng thành phẩm… cho thuê bất động sản pnj chính thức chuyển sang hình thức công ty cổ phần vào năm với tên gọi công ty cổ phần vàng bạc đá quý phú nhuận từ số vốn điều lệ ban đầu tỷ đồng hiện nay pnj đã có vốn điều lệ là tỷ đồng với hoạt động đa dạng trong nhiều lĩnh vực như trang sức năng lượng địa ốc thực phẩm pnj hiện đang nắm giữ phần vốn chi phối tại nhiều công ty con như công ty cổ phần năng lượng đại việt công ty cổ phần hải sản sg công ty pnj cũng đã sáng lập ngân hàng thương mại cổ phần đông á tham gia góp vốn vào công ty địa ốc đông á công ty cổ phần địa ốc kinh đô công ty cổ phần quê hương công ty cổ phần sài gòn mc công ty cổ phần nhiên liệu sài gòn  sfc ,2009-03-03 11:29:00,PNJ
5258,5261,20461,PNJ,"PNJ: Doanh thu 2 tháng đầu năm đạt 2,419 tỷ đồng",ctcp vàng bạc đá quý phú nhuận  pnj  thông báo tháng đầu năm đã đạt doanh thu  tỷ đồng tăng  so với cùng kỳ  cũng trong thời gian trên lợi nhuận trước thuế của pnj đạt  tỷ đồng tăng  so với cùng kỳ lợi nhuận sau thuế đạt  tỷ đồng tăng  đó là những kết quả vừa được ban lãnh đạo pnj công bố tại cuộc họp đại hội đồng cổ đông thường niên năm  diễn ra sáng  tại tphcm theo báo cáo trong năm vừa qua mặc dù tình hình kinh tế gặp nhiều khó khăn nhưng pnj vẫn đạt được mức độ tăng trưởng tốt các chỉ tiêu thực hiện đều tăng so với cùng kỳ lợi nhuận đạt kế hoạch đề ra cụ thể doanh thu hợp nhất đạt  tỷ đồng đạt  so với kế hoạch lợi nhuận trước thuế hợp nhất là  tỷ đồng tăng  so với cùng kỳ tỷ lệ chia cổ tức năm đạt  trong đó pnj đã chi trả tổng cộng đợt với tỷ lệ  bằng tiền mặt  còn lại dự kiến sẽ chi trả bằng tiền mặt vào tháng  năm  pnj nhận định tình hình thế giới sẽ tiếp tục khó khăn hơn suy thoái kinh tế sẽ ngày càng lan rộng khiến nhu cầu về hàng hóa sụt trong đó có nữ trang sẽ giảm theo tuy nhiên với tình hình kinh doanh tháng đầu năm khá khả quan công ty này khá tự tin khi xây dựng cho mình các chỉ tiêu trong với mức tăng trưởng bình quân  so với năm  cụ thể tổng doanh thu năm có chỉ tiêu  tỷ đồng lợi nhuận trước thuế dự kiến là tỷ đồng tăng  so với năm  lợi nhuận sau thuế dự kiến là  tỷ đồng tăng  so với năm  ban giám đốc pnj cũng công bố tổng lợi nhuận trước thuế hợp nhất bao gồm các khoản đầu tư vào công ty con và đầu tư tài chính dự kiến trong năm với con số ước đạt tỷ đồng và lợi nhuận sau thuế hợp nhất đạt tỷ đồng trong năm  pnj cho biết sẽ không huy động thêm vốn từ thị trường tài chính thay vào đó sẽ sử dụng vốn vay từ ngân hàng hiện vốn vay dài hạn của pnj chỉ vào khoảng tỷ đồng nên công ty này còn nhiều khả năng để vay thêm vốn ngân hàng được biết pnj sẽ chính thức đưa triệu cổ phiếu giao dịch tại sở giao dịch chứng khoán tphcm hose vào ngày  tới giá tham chiếu trong phiên giao dịch đầu tiên là  đồngcp biên độ giao động giá trong ngày giao dịch đầu tiên là   ngày  sắp tới tại khách sạn rex tphcm pnj sẽ tiếp tục tổ chức buổi hội thảo thứ hai để cung cấp các thông tin trước giờ niêm yết cũng như giải đáp những vấn đề mà nhà đầu tư quan tâm,2009-03-16 08:24:00,PNJ
5408,5411,20604,PNJ,PNJ: Báo cáo tài chính Quý IV/2008,download file  pnjrar,2009-03-18 16:14:00,PNJ
5621,5624,20820,PNJ,PNJ: Tăng trần trong ngày giao dịch đầu tiên,sáng  sở giao dịch chứng khoán tphcm hose đã chính thức chào đón triệu cổ phiếu của công ty cổ phần vàng bạc đá quý phú nhuận vào giao dịch với mã chứng khoán là pnj  giá tham chiếu trong ngày giao dịch đầu tiên của pnj là  đồng biên độ dao động giá trong ngày giao dịch đầu tiên là   so với giá tham chiếu ngay phiên đầu tiên chào sàn cổ phiếu của pnj đã thu hút được sự quan tâm chú ý đặc biệt của giới đẩu tư khi cổ phiếu này được đặt mua lượng lớn ngay từ đầu phiên kết thúc phiên giá cổ phiếu của pnj tăng hết biên độ  tương đương tăng  đồng lên mức  đồngcổ phiếu với  cổ phiếu được chuyển nhượng thành công trên bảng điện tử giao dịch dư mua giá trần của pnj đạt gần  đơn vị trong khi dư bán bằng không như vậy với sự góp mặt của tân binh pnj đã nâng tổng số mã niêm yết tại hose lên mã trong đó có cổ phiếu và chứng chỉ quỹ pnj có vốn điều lệ là tỷ đồng vốn hoạt động là  tỷ đồng được niêm yết triệu cổ phiếu phổ thông với mã chứng khoán là pnj  mệnh giá  đồng tổ chức tư vấn niêm yết cho pnj là công ty chứng khoán ngân hàng đông á ngành nghề kinh doanh của pnj là dịch vụ kiểm định kim cương và đá quý sản xuất kinh doanh trang sức bằng vàng bạc đá quý vàng miếng cho thuê nhà theo luật kinh doanh bất động sản ngày  công ty cổ phần vàng bạc đá quý phú nhuận  pnj đã tiến hành đại hội đồng cổ đông thường niên năm để thông qua báo cáo kết quả hoạt động sxkd năm và kế hoạch năm  trong năm mặc dù gặp nhiều khó khăn công ty pnj vẫn đạt được mức độ tăng trưởng tốt các chỉ tiêu thực hiện đều tăng so với cùng kỳ lợi nhuận năm đạt kế hoạch đề ra cụ thể doanh thu hợp nhất năm  pnj đạt  tỷ đồng bằng  so với kế hoạch và tăng  so với cùng kỳ lợi nhuận trước thuế hợp nhất là  tỷ đồng tăng  so với cùng kỳ tỷ lệ chia cổ tức là  trong đó pnj đã có đợt chi trả tạm ứng  cổ tức bằng tiền mặt trong năm   còn lại sẽ chi trả bằng tiền mặt cho cổ đông dự kiến vào tháng  đại hội cổ đông cũng thông qua kế hoạch năm với tổng doanh thu đạt  tỷ đồng tổng lợi nhuận trước thuế là tỷ đồng tăng  so năm  lợi nhuận sau thuế  tỷ đồng tăng  so năm  tổng lợi nhuận trước thuế hợp nhất năm theo kế hoạch là tỷ đồng tăng  so năm  lợi nhuận sau thuế hợp nhất là  tỷ đồng tăng  so năm  ngoài ra trong năm  pnj tiếp tục mở rộng hệ thống phân phối xây dựng các trung tâm nữ trang ở các đô thị lớn và chuẩn bị kỹ càng để bước chân qua lĩnh vực kinh doanh thời trang cao cấp trong hai tháng đầu năm  pnj đã đạt doanh thu  tỷ đồng tăng  so với cùng kỳ lợi nhuận trước thuế đạt  tỷ tăng  so với cùng kỳ lợi nhuận sau thuế là  tỷ đồng tăng  so với cùng kỳ được biết pnj hiện đang nắm giữ phần vốn chi phối tại nhiều công ty con như công ty cổ phần năng lượng đại việt công ty cổ phần hải sản sg… pnj có trụ sở chính tại số e phan đăng lưu p quận pn tphcm,2009-03-23 11:38:00,PNJ
5674,5677,20873,PNJ,PNJ: Tại sao lại hấp dẫn trên sàn chứng khoán?,sàn tphcm sau tuần thăng hoa đã chững lại n gay từ phiên giao dịch đầu tuần với mức giảm của vnindex là    và đóng cửa ở mức  điểm sự suy yếu của vnindex bắt nguồn từ chính sự giảm giá của hàng loạt các cổ phiếu lớn nhỏ trong đó đáng chú ý là sự mất giá của toàn bộ mã có giá trị vốn hóa lớn nhất trên sàn này tuy nhiên thu hút sự quan tâm đặc biệt trên sàn hose trong phiên đầu tuần vẫn là “tân binh” pnj của ctcp vàng bạc đá quý phú nhuận với triệu cổ phiếu được niêm yết pnj đã trở thành mã chứng khoán thứ giao dịch trên sàn hose ngay trong ngày giao dịch đầu tiên pnj đã làm lu mờ hàng loạt các mã bluechips trên sàn hose khi thể hiện được sự hấp dẫn đối với nđt mặc dù vnindex giảm điểm phiên thứ liên tiếp với mức giá tham chiếu  đồng có thể là cao so với mặt bằng chung của các cổ phiếu khác nhưng nhiều nđt vẫn tin vào một phiên chào sàn thành công của pnj khi so sánh mức giá này với tiềm lực thực sự của ctcp vàng bạc đá quý phú nhuận và quả đúng như vậy cổ phiếu này ngay lập tức tăng hết biên độ cho phép là  để đạt ngưỡng  đồngcp ngay trong đợt khớp lệnh lần với  cổ phiếu được chuyển nhượng nđt nước ngoài mua vào  cổ phiếu bước sang đợt khớp lệnh liên tục pnj bỗng trở thành “hàng hiếm” khi không nđt nào đặt lệnh bán cổ phiếu này điều tương tự cũng diễn ra trong phút khớp lệnh cuối phiên và chốt phiên pnj đóng cửa với mức giá như khi mở cửa lý giải hiện tượng này một số nđt cho rằng pnj có sức hấp dẫn bởi đây là cổ phiếu mang “họ” vàng bạc đầu tiên niêm yết trên sàng chứng khoán hơn nữa ngoài chứng khoán vàng cũng là một kênh đầu tư hấp dẫn và đang tỏ ra lấn lướt so với chứng khoán chính vì vậy cổ phiếu ngành này dường như ít bị tác động bởi thị tình hình chung của ttck trăng mật ngọt ngào trao đổi với phóng viên infotv ông trương xuân khánh phó tổng giám đốc ctck thương mại  công nghiệp việt nam vics cho biết cổ phiếu pnj đang là cổ phiếu có sức hấp dẫn đối với rất nhiều nđt bới chính sự tập trung trong đầu tư của ctcp vàng bạc đá quý phú nhuận khi công ty này không có hoạt động đầu tư tài chính chứng khoán mà chỉ tập trung vào hoạt động đầu tư vàng chính vì vậy sự tăng trưởng của kinh doanh vàng vật lý và sự kỳ vọng của nđt vào sự biến động trong tương lai dẫn đến nguồn thu mà giới đầu tư có thể kỳ vọng vào hoạt động kinh doanh vàng của pnj sẽ là tương đối ổn định và sẽ có kết quả tốt trong năm nay “chính vì những lý do trên tôi nghĩ rằng trong một vài phiên tới giá cổ phiếu pnj sẽ tiếp tục đi lên tuy nhiên sẽ khó để có thể tiếp tục tăng kịch trần nhưng chắc chắn cổ phiếu này sẽ còn trở nên hấp dẫn nđt” ông khánh khẳng định cùng quan điểm với ông trương xuân khánh ông đinh nho bảng phó chủ tịch kiêm tổng thư ký hiệp hội kinh doanh vàng vn cho rằng pnj là một dn kinh doanh vàng thuần túy có truyền thống lâu năm với thế mạnh là vàng trang sức không chỉ tiêu thụ trong nước mà còn mở rộng thị trường ra thế giới ông bảng cũng cho rằng với sự ổn định về tình hình tài chính cùng với việc thị phần rộng lớn với thương hiệu đã được khẳng định nhất là sau khi công ty này phối hợp với ngân hàng đông á ra mắt sản phẩm vàng miếng mang thương hiệu phượng hoàng pnjdonga bank “trong thời điểm hiện tại thị trường chứng khoán thế giới vẫn chưa thể phục hồi trong khi giá vàng thế giới liên tục có xu hướng tăng nhất là tại những thị trường lớn như mỹ nhật… chính vì vậy giá vàng trong nước luôn biến động cùng chiều với giá vàng thế giới hơn nữa pnj là dn đầu tiên niêm yết trên sàn giao dịch chứng khoán nên điều này kết hợp với thực lực của công ty đã làm nên sức hút của cổ phiếu này” ông bảng nhấn mạnh với những nhận định và phân tích trên nđt hoàn toàn có cơ sở để tin rằng cổ phiếu pnj sẽ có “tuần trăng mật ngọt ngào” với sàn hose giống như cổ phiếu hag của hoàng anh gia lai từng làm được vào thời điểm cuối năm ngoái tuy nhiên rất có thể cổ phiếu này sẽ lại được nhắc đến với tên gọi cổ phiếu hiếm,2009-03-24 08:51:00,PNJ
5719,5722,20912,PNJ,PNJ: Nghị quyết Đại hội đồng Cổ đông thường niên năm 2009,download file  pnjnqdhcdpdf,2009-03-24 15:05:00,PNJ
5855,5858,21048,PNJ,PNJ: Ngày đăng ký trả cổ tức đợt 3/2008,ngày giao dịch không hưởng quyền  ngày đăng ký cuối cùng  mục đích trả cổ tức đợt  tỷ lệ thực hiện mệnh giá  đồngcổ phiếu  ngày thực hiện  địa điểm nhận cổ tức các cổ đông đã lưu ký chứng khoán thực hiện tại công ty chứng khoán nơi mở tài khoản lưu ký cổ đông chưa lưu ký chứng khoán thực hiện tại ctcp vàng bạc đá quý phú nhuận từ ngày  và xuất trình chứng minh nhân dân chi nhánh trung tâm lưu ký chứng khoán tphcm sẽ tạm ngừng nhận lưu ký chứng khoán pnj vào những ngày ,2009-03-26 15:51:00,PNJ
5871,5874,21069,PNJ,PNJ: Báo cáo tài chính kiểm toán năm 2008,download file  pnjrar,2009-03-26 16:55:00,PNJ
6036,6039,21232,PNJ,PNJ: Báo cáo tài chính hợp nhất tóm tắt năm 2008,download file  pnjbctc hn tt pdf,2009-03-30 16:38:00,PNJ
