,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
173,173,15855,SSI,SSI: Thay đổi số lượng cổ phiếu quỹ,số lượng tại thời điểm  công văn cvssiho xác nhận số lượng cổ phiếu quỹ ssi  cổ phiếu số lượng tại thời điểm   cổ phiếu lý do tăng số lượng cổ phiếu quỹ mua  cổ phiếu ssi để sửa lỗi cho phiên giao dịch ngày  theo thông báo của trung tâm lưu ký chứng khoán – chi nhánh tp hcm ngày ,2008-10-09 17:00:00,SSI
239,239,15892,SSI,SSI: Kết quả kinh doanh 9 tháng năm 2008,đơn vị vnd stt chỉ tiêu quý  lũy kế tháng đầu năm tổng doanh thu hdkd chứng khoán và lãi đầu tư   chi phí hdkd chứng khoán   lợi nhuận từ các công ty liên kết   tổng lợi nhuận trước thuế   báo cáo tài chính hợp nhất quý – đang được công ty nhanh chóng hoàn tất và sẽ công bố theo quy định ngay sau khi có số liệu chính thức,2008-10-14 16:42:00,SSI
268,268,15911,SSI,SSI: Tạm ứng cổ tức năm 2008,mức cổ tức được tạm ứng  mệnh giá trả bằng tiền mặt ngày chốt danh sách cổ đông được nhận cổ tức và thời gian chi trả tạm ứng cổ tức sẽ giao cho chủ tịch hội đồng quản trị quyết định,2008-10-15 17:06:00,SSI
358,358,3964,SSI,SSI sẽ tạm ứng cổ tức 10% bằng tiền mặt,theo đó căn cứ kết quả hoạt động kinh doanh của công ty cổ phần chứng khoán sài gòn tháng đầu năm  ngày  hội đồng quản trị ssi đã thông qua nghị quyết về việc tạm ứng cổ tức năm bằng tiền mặt với tỷ lệ mệnh giá ngày chốt danh sách cổ đông được nhận cổ tức và thời gian chi trả tạm ứng cổ tức được giao cho chủ tịch hội đồng quản trị ssi quyết định trước đó ssi đã công bố tổng doanh thu từ hoạt động kinh doanh chứng khoán và lãi đầu tư của công ty trong quý  đạt hơn  tỷ đồng lũy kế tháng đầu năm đạt hơn  tỷ đồng lợi nhuận trước thuế quý đạt hơn  tỷ đồng lũy kế tháng đạt  tỷ đồng,2008-10-20 00:00:00,SSI
843,844,16055,SSI,SSI: Giao dịch cổ phiếu của cổ đông nội bộ đồng thời là cổ đông lớn ,mã chứng khoán giao dịch ssi tên tổ chức thực hiện giao dịch australia and new zealand banking group limited abn anz – đại diện là ông gilles plante chức vụ hiện nay tại tổ chức niêm yết thành viên hđqt của ssi số lượng tỷ lệ cổ phiếu đang nắm giữ  cổ phiếu chiếm  vđl số lượng cổ phiếu đăng ký mua  cổ phiếu số lượng tỷ lệ cố phiếu sẽ nắm giữ sau khi mua  cổ phiếu chiếm  vđl thời gian thực hiện giao dịch ngày kể từ ngày   mục đích thực hiện giao dịch tăng thêm tỷ lệ sở hữu của anz trong vốn của ssi,2008-10-31 11:16:00,SSI
844,845,16054,SSI,SSI: Kết quả giao dịch cổ phiếu của cổ đông nội bộ đồng thời là cổ đông lớn,mã chứng khoán giao dịch ssi tên tổ chức thực hiện giao dịch australia and new zealand banking group limited abn anz – đại diện là ông gilles plante chức vụ hiện nay tại tổ chức niêm yết thành viên hđqt của ssi số lượng tỷ lệ cổ phiếu trước khi giao dịch  cổ phiếu chiếm  vđl số lượng cổ phiếu đăng ký mua  cổ phiếu số lượng cổ phiếu đã mua  cổ phiếu thời gian thực hiện giao dịch ngày kể từ ngày  lý do không mua hết như khối lượng đăng ký anz đã không thể hoàn thành việc mua toàn bộ số cổ phiếu ssi trong khoảng thời gian như đã đăng ký việc mua cổ phiếu của anz đã bị ảnh hưởng bởi giá cổ phiếu liên tục biến động và sự sụt giảm về tính thanh khoản vào cuối khoảng thời gian đã đăng ký mua số lượng tỷ lệ cố phiếu nắm giữ sau khi giao dịch  cổ phiếu chiếm  vđl,2008-10-31 11:20:00,SSI
949,950,16101,SSI,SSI: Ngày đăng ký cuối cùng tạm ứng cổ tức 2008,loại chứng khoán cổ phiếu phổ thông mệnh giá  đ mười nghìn đồng ngày giao dịch không hưởng quyền   ngày đăng ký cuối cùng   tỷ lệ chi trả  mệnh giá  đồngcổ phiếu ngày thanh toán   địa điểm và thủ tục chi trả đối với chứng khoán đã lưu ký người sở hữu chứng khoán nhận cổ tức tại các thành viên lưu ký nơi mở tài khoản lưu ký đối với chứng khoán chưa lưu ký người sở hữu chứng khoán làm thủ tục nhận cổ tức tại trụ sở chính của công ty và chi nhánh công ty cổ phần chứng khoán sài gòn tại hà nội số ngô quyền quận hoàn kiếm hà nội trong giờ làm việc kể từ ngày  chứng từ yêu cầu khi nhận cổ tức là cmnd giấy uỷ quyền nếu có trung tâm lưu ký chứng khoán chi nhánh tphcm sẽ tạm ngừng nhận lưu ký chứng khoán ssi vào những ngày    ,2008-11-07 14:42:00,SSI
975,976,16116,SSI,SSI: Thay đổi số lượng cổ phiếu quỹ, số lượng tại thời điểm   cổ phiếu  số lượng tại thời điểm   cổ phiếu  lý do thay đổi số lượng cổ phiếu quỹ mua  cổ phiếu ssi để sửa lỗi cho phiên giao dịch ngày  theo thông báo số tbcnttlk của trung tâm lưu ký chứng khoán – chi nhánh tp hcm ngày  bán  cổ phiếu ssi để sửa lỗi cho phiên giao dịch ngày  theo thông báo số tbcnttlk của trung tâm lưu ký chứng khoán – chi nhánh tp hcm ngày ,2008-11-10 16:29:00,SSI
1925,1928,16568,SSI,SSI: Xin lùi thời hạn áp dụng chế độ kế toán mới,ngày  bộ tài chính đã ban hành thông tư số ttbtc hướng dẫn chế độ kế toán đối với công ty chứng khoán thông tư có hiệu lực từ ngày  do năm tài chính gần kết thúc nên việc thực hiện chế độ kế toán theo hướng dẫn tại thông tư số ttbtc khó có thể thực hiện được công ty ssi đã có công văn xin phép và được bộ tài chính đồng ý cho công ty được tiếp tục lập báo cáo tài chính quý năm và báo cáo tài chính niên độ theo mẫu quy định tại quyết định số qđbtc ngày  của bộ tài chính căn cứ công văn số btccđkt ngày  của bộ tài chính từ ngày  công ty sẽ thực hiện áp dụng chế độ kế toán mới theo quy định tại thông tư số ttbtc ngày  của bộ tài chính,2008-12-18 00:00:00,SSI
1992,1995,16632,SSI,SSI: Hội thảo thuế thu nhập cá nhân,diễn giả chính đến từ tổng cục thuế sẽ giới thiệu và giải đáp những thắc mắc về thuế thu nhập cá nhân áp dụng với thu nhập từ đầu tư và kinh doanh chứng khoán trước đó hôm  hội thảo về thuế thu nhập cá nhân cũng được ssi tổ chức tại tphcm ngoài ra để giúp nhà đầu tư hiểu hơn về nội dung và cách thức thực hiện luật thuế này ssi cũng gửi thư hướng dẫn chi tiết về thuế thu nhập cá nhân đến từng nhà đầu tư đang mở tài khoản giao dịch tại ssi,2008-12-22 00:00:00,SSI
2297,2300,17004,SSI,SSI: Bác bỏ thông tin tham gia thành lập OTC Group,ông hưng cho biết đây là thông tin không chính xác có thể có những tác động không tốt với thị trường và ssi ông hưng cũng khẳng định ssi không thể làm trái luật vì thế việc tham gia thành lập otc group là không bao giờ xảy ra,2008-12-31 13:34:00,SSI
2326,2329,17030,SSI,SSI: Ước tính lợi nhuận năm 2008 đạt xấp xỉ 300 tỷ đồng,lý giải cho việc ssi không thoàn thành kế hoạch và doanh thu thấp hơn năm tới  tỷ năm ssi đạt  tỷ đồng ông hưng cho biết trong bối cảnh thị trường chứng khoán việt nam hiện nay thì đây là côn số rất có ý nghĩa như vậy trong công ty chứng khoán đang niêm yết trên sàn hiện nay thì chỉ có duy nhất ssi là có lãi ba công ty còn lại là công ty ck hải phòng lỗ trên tỷ công ty ck bảo việt lỗ khoảng tỷ đồng công ty ck kim long lỗ khoảng tỷ được biết tính đến ngày  tỷ lệ sở hữu của nhà đầu tư nước ngoài đối với trái phiếu chuyển đổi tại ssi là  cho cả hai loại trái phiếu ssicb và ssicb,2009-01-02 10:30:00,SSI
2390,2393,17185,SSI,"SSI: Chị gái Thành viên BKS đã bán 3,000cp",tên người thực hiện giao dịch bà đặng ngọc phương chị ruột của ông đặng phong lưu – thành viên ban kiểm soát ssi mã chứng khoán giao dịch ssi số lượng tỷ lệ cổ phiếu nắm giữ trước khi giao dịch  cp chiếm  vđl số lượng cổ phiếu đăng ký bán  cp mục đích thực hiện giao dịch nhu cầu tài chính cá nhân thời gian đăng ký thực hiện giao dịch  tháng kể từ ngày  số lượng cổ phiếu đã bán  cp lý do không bán hết đã thu xếp được nguồn tài chính khác số lượng tỷ lệ sở hữu sau khi thực hiện giao dịch  cp chiếm  vđl,2009-01-05 20:31:00,SSI
2481,2484,17276,SSI,"SSI: Chuyển đổi 1,6 triệu trái phiếu thành cổ phiếu",theo đó ssi sẽ tiến hành trả lãi cho  trái phiếu ssicb với lãi suất tháng tính từ ngày  đến hết ngày  và  trái phiếu ssicb với lãi suất tháng tính từ ngày  đến ngày  ngày  ssi sẽ chốt danh sách trái chủ chuyển đổi và trả cổ tức ssi thông báo tỷ lệ sở hữu của nđtnn đối với trái phiếu chuyển đổi tính hết ngày n là  cho cả loại trái phiếu ssicb và ssicb,2009-01-08 08:30:00,SSI
2742,2745,18437,SSI,SSI: Báo cáo tài chính hợp nhất Quý IV/2008,download file  ssirar,2009-01-19 16:00:00,SSI
4153,4156,19319,SSI,SSI: Kết quả giao dịch cổ phiếu quỹ,tên tổ chức thực hiện giao dịch công ty cổ phần chứng khoán sài gòn số lượng cổ phiếu quỹ nắm giữ trước khi thực hiện giao dịch  cổ phiếu số lượng đăng ký mua lại  cổ phiếu số lượng đã thực hiện  cổ phiếu trong đó tổng số lượng cổ phiếu mua qua sàn giao dịch  cổ phiếu tổng số lượng cổ phiếu mua lô lẻ cổ phiếu thời gian thực hiện từ ngày  đến ngày  số lượng cổ phiếu quỹ hiện có  cổ phiếu,2009-02-20 17:31:00,SSI
4341,4344,19539,SSI,SSI: Ngày chốt danh sách họp Đại hội cổ đông năm 2008,ngày giao dịch không hưởng quyền  ngày đăng ký cuối cùng  thời gian họp  địa điểm họp trung tâm hội nghị white palace hoàng văn thụ phường  quận phú nhuận tp hồ chí minh nội dung họp thảo luận và thông qua các vấn đề thuộc thẩm quyền của đhđcđ thường niên trung tâm lưu ký chứng khoán chi nhánh tphcm sẽ tạm ngừng nhận lưu ký chứng khoán ssi vào những ngày  ,2009-02-25 10:39:00,SSI
5720,5723,20913,SSI,SSI: Báo cáo kiểm toán vốn tại 31/01/2009,download file  ssikiem toan von tai pdf,2009-03-24 15:05:00,SSI
5854,5857,21051,SSI,SSI: Bổ nhiệm Kế toán trưởng,hđqt công ty đã thông qua quyết định bổ nhiệm bà hoàng thị minh thủy nguyên quyền kế toán trưởng chính thức giữ chức vụ kế toán trưởng công ty cổ phần chứng khoán sài gòn kể từ ngày ,2009-03-26 15:49:00,SSI
6349,6352,21544,SSI,SSI: Báo cáo tài chính kiểm toán năm 2008,download file  ssirar,2009-04-03 15:58:00,SSI
6803,6806,21929,SSI,SSI: Tăng vốn điều lệ,download file  vdl  thay doi ty le so huu cp cua co dong noi bopdfssitang vdl  thay doi ty le so huu cp cua co dong noi bopdf,2009-04-10 17:56:00,SSI
