,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
131,131,15841,STB,STB: Giao dịch cổ phiếu của tổ chức có liên quan đến cổ đông nội bộ,tổ chức thực hiện giao dịch công ty cổ phần cơ điện lạnh ree mã chứng khoán stb số lượng cổ phiếu đang sở hữu  cổ phiếu đã bao gồm số cổ phiếu trả cổ tức năm là  cổ phiếu số lượng cổ phiếu đăng ký bán  cổ phiếu số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  cổ phiếu tên của người có liên quan nguyễn thị mai thanh chức vụ hiện nay tại tổ chức niêm yết thành viên hội đồng quản trị ngân hàng sacombank mục đích thực hiện giao dịch cơ cấu danh mục đầu tư thời hạn thực hiện giao dịch kể từ ngày ,2008-10-07 16:32:00,STB
286,286,15913,STB,STB: Hủy kế hoạch phát hành thêm cổ phiếu, thông qua việc thay đổi kế hoạch phát hành cổ phiếu năm hủy kế hoạch phát hành thêm  cổ phiếu tương đương vốn cổ phần cho cổ đông hiện hữu hủy kế hoạch phát hành  cổ phiếu ưu đãi cho cán bộ cốt cán ngân hàng sài gòn thương tín hủy kế hoạch phát hành  cổ phiếu cho nhà đầu tư nước ngoài  thông qua việc điều chỉnh kế hoạch lợi nhuận điều chỉnh kế hoạch lợi nhuận trước thuế của sacombank từ  tỷ đồng xuống còn  tỷ đồng nhưng vẫn đảm bảo việc chi trả cổ tức năm từ năm theo nghị quyết đhđcđ thường niên thông qua,2008-10-16 15:44:00,STB
355,355,3961,STB,Sacombank nhận giải thưởng “Ngân hàng tốt nhất Việt Nam 2008”,giải thưởng dựa trên đánh giá hoạt động của sacombank trong năm và nửa đầu năm theo các tiêu chí như khả năng tăng trưởng bền vững và ổn định giá trị thương hiệu tầm nhìn chiến lược năng lực quản lý rủi ro tiềm năng phát triển trong tương lai tính bền vững của nguồn thu năng lực bán hàng khả năng sáng tạo sản phẩm khả năng thâm nhập thị trường và chính sách đầu tư vào nguồn nhân lực sau finance asia global finance là tổ chức quốc tế thứ bình chọn sacombank là “ngân hàng tốt nhất việt nam” trong năm  cũng trong năm nay global finance còn trao tặng giải thưởng “ngân hàng có hoạt động ngoại hối tốt nhất việt nam ” cho sacombank global finance là tạp chí về thị trường tài chính  ngân hàng mỹ và toàn cầu có trụ sở chính đặt tại new york mỹ phát hành hàng tháng tại quốc gia với  bản và khoảng  lượt độc giả và cũng là tổ chức nghiên cứu hoạt động của các ngân hàng và bình chọn các giải thưởng xuất sắc của năm tại nhiều quốc gia trên thế giới năm là năm đầu tiên global finance tiến hành bình chọn “ngân hàng tốt nhất việt nam ” và sacombank vinh dự là ngân hàng việt nam đầu tiên đạt giải thưởng này,2008-10-20 00:00:00,STB
768,769,4086,STB,"Kết thúc Phiên 1, 30/10: STB và PPC đang &quot;cứu&quot; VN-Index ",trong khi thị trường châu âu có phiên tăng điểm thứ liên tiếp thì tại thị trường mỹ bất chấp việc fed cắt giảm lãi suất lần thứ trong năm chứng khoán mỹ vẫn mất điểm trong những phút cuối cùng trở lại diễn biến trên ttck việt nam đang có sự trái chiều trên sàn chứng khoán nối tiếp đà tăng điểm của phiên hôm qua hastcindex đang duy trì mức tăng nhẹ trong khi vnindex lại quay đầu giảm điểm kết thúc đợt  vnindex giảm nhẹ  điểm xuống  điểm tương đương giảm  tổng khối lượng khớp lệnh thành công đạt  triệu đơn vị với tổng giá trị giao dịch đạt hơn  tỷ đồng kết thúc đợt khớp lệnh mở cửa có mã tăng giá mã đứng giá tham chiếu và mã giảm giá top cổ phiếu tăng giá mạnh nhất dẫn đầu là imp với mức tăng  đcp nhưng khối lượng giao dịch lại khá khiêm tốn khi chỉ có đơn vị được khớp lệnh thành công các mã tăng giá tiếp theo là các mã vnm fpt vpl và st hiện không mã nào tăng hết biên độ  st là mã tăng mạnh nhất tính theo  với mức tăng là  trong nhóm giảm giá dhg là cổ phiếu giảm giá mạnh nhất với mức giảm  đcp tiếp theo là bmc tct vic và dpm là cổ phiếu duy nhất kết thúc đợt khớp lệnh xác định giá mở cửa có mức giảm kịch sàn  về giao dịch stb tiếp tục dẫn đầu với  triệu đơn vị khớp lệnh thành công tiếp theo là các mã hpg ssi dpm và ita trong các mã có khối lượng giao dịch lớn chỉ có stb có mức tăng về giá các cổ phiếu còn lại đều mất điểm stb đang nỗ lực cứu vnindex thoát khỏi mức giảm khi hiện tại cổ phiếu này đang có dư mua hơn triệu cổ phiếu giá trần trong khi đã khớp lệnh hơn  triệu cổ phiếu trong phút giao dịch cổ phiếu ppc của ctcp nhiệt điện phả lại cũng đang tăng trần bên sàn hà nội hastcindex đang tăng nhẹ  điểm lên  điểm thị trường không còn giữ được đà hưng phấn như trong phiên giao dịch hôm qua  hiện tại trên sàn có cổ phiếu tăng giá cổ phiếu giảm giá cổ phiếu đứng giá và hơn ¼ cổ phiếu niêm yết trên sàn chưa có giao dịch khối lượng giao dịch chậm hẳn lại so với phiên giao dịch hôm qua tính đến thời điểm h toàn thị trường khớp lệnh  triệu cổ phiếu tương đương  tỷ đồng các cổ phiếu đang còn dư mua trên giá tham chiếu là acb pan sd blf kls pvi…còn lại hầu hết các cổ phiếu chỉ còn dư mua giá dưới tham chiếu trong đó cổ phiếu vsp của ctcp đầu tư và vận tải dầu khí vinashin đang có dư bán sàn hơn  cp cổ phiếu ppg của ctcp sản xuất thương mại dịch vụ phú phong đang có dư mua trần  cổ phiếu giá  đồngcp thanh tú  phương mai,2008-10-30 10:08:00,STB
831,832,16036,STB,STB: Giải trình biến động kinh doanh quý 3 năm 2008, lợi nhuận trước thuế của quý  đạt tỷ đồng thấp hơn tỷ đồng so với quý  đạt tỷ đồng chủ yếu là do ba nguyên nhân chính   trong quý  mặt bằng lãi suất huy động vốn của hầu hết các ngân hàng nh thương mại và kể cả các nh quốc doanh vẫn còn được duy trì ở mức cao để đảm bảo quyền lợi cho người gửi tiền trước tình hình lạm phát gia tăng do đó để giữ vững thị phần của mình sacombank đã phải duy trì mức lãi suất huy động cạnh tranh so với các nh khác vì vậy chi phí trả lãi huy động vốn của nh trong quý  đã tăng lên khá nhiều so với quý  kết quả thu nhập thuần từ lãi của ngân hàng và các công ty con trong quý  đã giảm gần tỷ đồng so với quý   sacombank đã tận dụng tốt các lợi thế như mạng lưới rộng khắp đa dạng hóa các hình thức kinh doanh khác ngoài hoạt động truyền thống như tín dụng thì các nguồn thu nhập từ các hoạt động ngoài lãi như thu từ cung cấp dịch vụ thu từ kinh doanh ngoại hối thu nhập khác của nh và các công ty con trong quý  đã tăng hơn tỷ đồng so với quý  góp phần đảm bảo lợi nhuận luôn giữ được sự ổn định ở mức cao trong tình hình khó khăn như hiện nay  các khoản chi liên quan đến chi phí điều hành và chi phí dự phòng tín dụng trong quý  đã giảm hơn tỷ đồng so với quý ,2008-10-30 15:15:00,STB
1157,1158,16223,STB,STB: Giao dịch cổ phiếu của người có liên quan đến cổ đông nội bộ,người thực hiện giao dịch đỗ thị mai chi mã chứng khoán stb số lượng cổ phiếu đang sở hữu  cổ phiếu số lượng cổ phiếu đăng ký bán  cổ phiếu số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  cổ phiếu tên của người có liên quan nguyễn thị thanh mai chức vụ hiện nay tại tổ chức niêm yết phó tổng giám đốc mục đích thực hiện giao dịch phục vụ nhu cầu tài chính gia đình thời hạn thực hiện giao dịch kể từ ngày ,2008-11-20 17:04:00,STB
1879,1882,16513,STB,STB: Giao dịch cổ phiếu của thành viên Hội đồng quản trị,tổ chức thực hiện giao dịch international finance corporation chức vụ hiện nay tại tổ chức niêm yết thành viên hội đồng quản trị ngân hàng sacombank đại diện bởi ông john law mã chứng khoán stb số lượng cổ phiếu sở hữu trước khi giao dịch  cổ phiếu  số lượng cổ phiếu đăng ký bán  cổ phiếu  số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  cổ phiếu  mục đích thực hiện giao dịch mua bán chứng khoán nằm trong danh mục đầu tư thời gian dự kiến thực hiện giao dịch trong vòng ngày kể từ ngày ,2008-12-16 00:00:00,STB
2105,2108,16739,STB,Sacombank mở rộng hoạt động tại nước ngoài,tính đến nay sacombank đã thiết lập quan hệ đại lý với ngân hàng tại campuchia trong đó có ngân hàng của nước này và ngân hàng ngoại có trụ sở tại phnom penh sacombank cũng vừa đưa vào hoạt động thêm một chi nhánh tại vientiane lào chi nhánh này cung ứng các sản phẩm dịch vụ tài chính ngân hàng dành cho cá nhân và doanh nghiệp,2008-12-25 07:56:00,STB
2205,2208,16917,STB,STB: Chốt danh sách cuối cùng họp ĐHĐCĐ năm 2008,ngày giao dịch không hưởng quyền  ngày đăng ký cuối cùng  địa điểm dự kiến hội trường dinh thống nhất số nam kỳ khởi nghĩa quận  tphcm thời gian họp dự kiến ngày  trung tâm lưu ký chứng khoán chi nhánh tphcm sẽ tạm ngừng nhận lưu ký chứng khoán stb vào các ngày  và ,2008-12-29 14:08:00,STB
2453,2456,17273,STB,STB: Đã mua lại hơn 18 triệu cổ phiếu làm cổ phiếu quỹ,số lượng cổ phiếu đăng ký mua lại  cổ phiếu chiếm  vốn điều lệ số lượng cổ phiếu đã mua lại  cổ phiếu chiếm  khối lượng đăng ký nguồn vốn để mua lại quỹ dự trữ bổ sung vốn điều lệ và thặng dư vốn đến thời điểm  phương thức giao dịch khớp lệnh hoặc thỏa thuận thời gian thực hiện giao dịch từ ngày  đến  lý do không mua hết khối lượng đăng ký mục đích của ngân hàng khi mua lại cổ phiếu làm cổ phiếu quỹ là nhằm bình ổn thị giá stb trên thị trường vốn nên tại một số phiên giao dịch ngân hàng không tham gia mua do giá cổ phiếu stb ổn định cao trên thị trường mặt khác theo quy định hiện hành về việc mua cổ phiếu quỹ mua với mức giá tối đa bằng giá tham chiếu cộng ba bước giá do vậy tại một số phiên cổ phiếu stb tăng trần các lệnh mua đã không thực hiện được tổng cộng ngân hàng đã mua được  cổ phiếu tương đương  khối lượng đăng ký mua,2009-01-07 07:59:00,STB
2720,2723,18448,STB,STB: Kết quả giao dịch cổ phiếu cổ đông lớn,tên nhà đầu tư thực hiện giao dịch international finance corporation mã chứng khoán thực hiện bán stb số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch  cổ phiếu chiếm tỷ lệ   số lượng cổ phiếu thực hiện bán  cổ phiếu số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  cổ phiếu chiếm tỷ lệ   thời gian thực hiện giao dịch ngày  theo hsxvn,2009-01-16 17:35:00,STB
3271,3274,18555,STB,STB: Báo cáo tài chính hợp nhất năm 2008,download file  stbrar,2009-02-04 11:22:00,STB
3915,3918,19151,STB,STB: Đại hội đồng cổ đông thường niên năm 2008,download file  stbdaihoipdf,2009-02-17 14:53:00,STB
3921,3924,19146,STB,"STB: Cổ đông lớn đã bán xong hơn 8,2 triệu cổ phiếu",tổ chức thực hiện giao dịch international finance corporation  đại diện bởi ông john law  thành viên hội đồng quản trị ngân hàng sacombank số lượng cổ phiếu sở hữu trước khi giao dịch  cổ phiếu  số lượng cổ phiếu đăng ký bán  cổ phiếu số lượng cổ phiếu đã bán  cổ phiếu số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  cổ phiếu  mục đích thực hiện giao dịch mua bán chứng khoán nằm trong danh mục đầu tư thời gian thực hiện giao dịch từ ngày  đến  lý dó không thực hiện hết số lượng đăng ký do biến động của thị trường trong thời gian dự kiến giao dịch,2009-02-17 15:25:00,STB
4366,4369,19575,STB,Sacombank mở chi nhánh tại Nghệ An,chi nhánh sacombank nghệ an đặt tại số lê lợi thành phố vinh sẽ thực hiện các nghiệp vụ huy động vốn bằng vnd usd và vàng tài trợ vốn qua cho vay ở mọi loại hình đặc biệt là cho vay đối với doanh nghiệp vừa và nhỏ cho vay tiểu thương và cho vay cá nhân phục vụ cho các mục đích sản xuất kinh doanh thực hiện dịch vụ chuyển tiền nhanh kiều hối thanh toán quốc tế bảo lãnh bao thanh toán phát hành thẻ thanh toán thẻ tín thanh toán quốc tế tại chi nhánh này sacombank cũng sẽ triển khai các sản phẩm cho vay tiêu dùng như cho vay xây dựng sửa chữa nhà du học đi làm việc ở nước ngoài mua xe ôtô đây là đơn vị mới được thành lập đầu tiên trong năm của sacombank,2009-02-25 15:16:00,STB
4738,4741,19946,STB,STB: Tiến sâu hơn vào lĩnh vực kinh doanh trang sức,dự kiến cửa hàng nữ trang cao cấp sbj trực thuộc công ty vàng bạc đá quý ngân hàng sài gòn thương tín sacombanksbj sẽ khai trương vào ngày  tại trụ sở công ty ở tphcm đây được xem là một bước tiến “dũng cảm” của sacombanksbj xét trong tình hình kinh tế đi xuống khiến thị trường trang sức cao cấp kém đi phần sôi động mặt khác việc sacombanksbj tham gia thị trường trang sức đá quý cũng đồng nghĩa với việc dám đương đầu với những tên tuổi lớn trong lĩnh vực này như sjc  pnj… tại cửa hàng sacombanksbj sẽ trưng bày và bán các sản phẩm chính là nữ trang vàng trắng cao cấp đá quý đá cảnh và đá bán quý đồng thời đáp ứng các nhu cầu chế tác và gia công theo yêu cầu cụ thể của khách hàng ngoài ra bên cạnh hệ thống ngân hàng sacombank cửa hàng sẽ là một điểm giao dịch nữa của sản phẩm vàng miếng thần tài sbj với trọng lượng từ nửa chỉ tới lượng trước khi mở cửa hàng nữ trang cao cấp cách đây không lâu sbj đã khai trương trung tâm giao dịch vàng thần tài sacombank gia nhập đội ngũ các ngân hàng có sàn vàng như acb  việt á eximbank vpbank… kinh doanh vàng đang được xem là một mảng kinh doanh hấp dẫn đối với các ngân hàng trong bối cảnh hiện nay điển hình như trường hợp ngân hàng acb mới đây đã công bố lãi lớn một phần nhờ lợi nhuận từ kinh doanh sàn giao dịch vàng,2009-03-05 08:33:00,STB
4746,4749,19961,STB,STB: REE đã bán xong 3 triệu cổ phiếu,tổ chức thực hiện giao dịch công ty cổ phần cơ điện lạnh  ree  mã chứng khoán stb số lượng cổ phiếu đang sở hữu  cổ phiếu đã bao gồm số cổ phiếu trả cổ tức năm  số lượng cổ phiếu đăng ký bán  cổ phiếu số lượng cổ phiếu đã bán  cổ phiếu số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  cổ phiếu tên của người có liên quan nguyễn thị mai thanh chức vụ hiện nay tại tổ chức niêm yết thành viên hội đồng quản trị ngân hàng sacombank mục đích thực hiện giao dịch cơ cấu danh mục đầu tư thời hạn thực hiện giao dịch kể từ ngày  đến ,2009-03-05 09:41:00,STB
4878,4881,20077,STB,STB: Ra 2 sản  phẩm mới dành cho phụ nữ ngày 8/3,“tiền gửi tiết kiệm hoa hồng” là sản phẩm đặc thù dành cho nhóm khách hàng cá nhân nữ tham gia gửi tiết kiệm với kỳ hạn từ tháng trở lên khách hàng có thể gửi tiết kiệm bằng vnd usd hay vàng và một khách hàng có thể tham gia gửi tiết kiệm ở nhiều nhóm khác nhau các thành viên trong nhóm có thể tham gia với số tiền khác nhau nhưng phải gửi cùng loại tiền và gửi cùng nhóm kỳ hạn từ đến tháng hay trên tháng khi tham gia sản phẩm này ngoài việc được hưởng mức lãi suất hiện hành trên số tiền gửi của mình mỗi cá nhân trong nhóm còn được tặng lãi suất thưởng tương ứng với tổng số tiền và tổng số người trong nhóm do đó tiền gửi của nhóm càng nhiều thì lãi suất thưởng của mỗi cá nhân trong nhóm càng cao ngoài ra nhằm hỗ trợ tối đa cho khách hàng phụ nữ có điều kiện khởi nghiệp sacombank ra mắt sản phẩm “cho vay hỗ trợ phụ nữ khởi nghiệp” để đáp ứng nhu cầu vốn khi bắt đầu kinh doanh dưới hình thức hộ gia đình hoặc doanh nghiệp nhỏ thời hạn vay tối đa tháng đối với mục đích bổ sung vốn kinh doanh và tháng đối với mục đích đầu tư tài sản máy móc thiết bị sacombank áp dụng thủ tục vay vốn đơn giản lãi suất linh hoạt phù hợp với chu kỳ sản xuất kinh doanh và khả năng chi trả của khách hàng được biết cũng trong dịp này nhiều hoạt động chào mừng ngày quốc tế phụ nữ đang diễn ra sôi nổi tại chi nhánh tháng của sacombank như “vui cùng sinh nhật sacombank tháng ” “sinh nhật tháng  bao la quà tặng” cuộc thi “trổ tài nội trợ” tư vấn chăm sóc da miễn phí…,2009-03-07 11:14:00,STB
4896,4899,20095,STB,Sacombank: Lợi nhuận quý IV/2008 cải thiện đáng kể,lợi nhuận ròng quý iv cải thiện đáng kể cuộc chạy đua lãi suất giữa các ngân hàng tạm lắng khi ngân hàng nhà nước liên tục điều chỉnh lãi suất cơ bản xuống còn năm tháng  so với mức đỉnh năm tháng  việc điều chỉnh này giúp sacombank cải thiện đáng kể thu nhập lãi vốn bắt đầu sụt giảm từ giữa năm  thu nhập lãi ròng tăng  lên tỷ đồng thu nhập từ kinh doanh vàng và ngoại tệ tăng  đạt tỷ đồng và thu nhập từ cổ tức tăng  đạt tỷ đồng các khoản thu này đã bù đắp phần lỗ tỷ đồng từ kinh doanh đầu tư chứng khoán và phần sụt giảm của các khoản thu khác kết quả là lợi nhuận ròng quý iv tăng  lên tỷ đồng so với quý trước tuy nhiên lợi nhuận cả năm của sacombank lại giảm  so với năm  đạt  tỷ đồng thu nhập từ dịch vụ kinh doanh vàng và ngoại hối tăng mạnh năm  thu nhập từ hoạt động dịch vụ kinh doanh vàng và ngoại hối chiếm tỷ trọng lớn trong cơ cấu doanh thu của sacombank thay thế cho khoản thu nhập đang mất dần từ kinh doanh và đầu tư chứng khoán cơ cấu này sẽ còn duy trì trong năm khi thị trường chứng khoán vẫn chưa có dấu hiệu lạc quan tuy nhiên thu nhập từ hai hoạt động trên khó có thể lặp lại kỳ tích như năm do các khoản thu phí tiếp tục được ngân hàng nhà nước kiểm soát chặt và thị trường vàng  ngoại hối dự báo sẽ không có những đợt biến động mạnh như năm qua hoạt động tín dụng ấm dần sau một thời gian gần như đóng băng tổng dư nợ cho vay và huy động vốn từ dân cư trong quý iv tăng nhẹ  so với quý trước kéo theo lãi suất biên của hoạt động tín dụng tăng lên  trong quý iv từ mức âm  trong quý iii hàng loạt biện pháp của ngân hàng nhà nước như cắt giảm lãi suất cơ bản hỗ trợ lãi suất cho vay bãi bỏ trần lãi suất đối với vay tiêu dùng sẽ là tác nhân giúp hoạt động tín dụng tăng trưởng hơn trong năm  chất lượng tín dụng vẫn được đảm bảo nợ xấu tiếp tục tăng mạnh  so với quý dẫn đến tỷ lệ nợ xấu trên tổng dư nợ tăng lên  so với  trong quý trước tuy nhiên nhờ vào chính sách cho vay thận trọng với phần lớn khoản cho vay đều là vay có thế chấp nợ xấu vẫn nằm trong tầm kiểm soát của sacombank và thấp hơn nhiều so với mức quy định  của ngân hàng nhà nước đánh giá trong năm  ngành tài chính  ngân hàng vẫn chưa thể phục hồi hoàn toàn tuy nhiên so với năm trước môi trường kinh doanh đã ổn định hơn với hàng loạt hỗ trợ từ phía ngân hàng nhà nước thông qua việc bình ổn chính sách và các gói kích cầu đối với nền kinh tế trong bối cảnh này chúng tôi dự báo lợi nhuận ròng của ngân hàng sẽ tăng trưởng trở lại ở mức  với mức giá  đồngcổ phiếu ngày  cổ phiếu stb đang giao dịch dưới giá trị sổ sách với pb dự kiến là x đây là mức hợp lý với một ngân hàng quy mô như sacombank,2009-03-09 10:18:00,STB
4962,4965,20168,STB,"STB: Lợi nhuận trước thuế 2 tháng đạt 222,8 tỷ đồng",ngân hàng đã đề ra chỉ tiêu lợi nhuận cả năm là  tỉ đồng và sẽ được trình trong đại hội cổ đông tổ chức vào ngày  trong đại hội ngân hàng cũng sẽ trình bày kế hoạch phát hành cổ phiếu để tăng vốn từ  tỉ lên  tỉ đồng trong năm nay ông trần xuân huy tổng giám đốc sacombank cho biết theo dự thảo sắp trình đại hội cổ đông ngân hàng sẽ phát hành cổ phiếu để trả cổ tức năm với tỷ lệ  trên vốn điều lệ hiện tại và phát hành thêm cổ phiếu cho cổ đông hiện hữu với giá bằng mệnh giá và tỷ lệ là  sacombank đặt mục tiêu tăng trưởng tín dụng trong năm sẽ từ  đến  và tăng trưởng huy động gần  tính đến cuối tháng  tổng huy động của sacombank đạt  tỉ đồng và dư nợ cho vay là  tỉ đồng đều tăng  so với đầu năm,2009-03-10 08:26:00,STB
5224,5227,20424,STB,STB: Tặng thêm lãi suất cho người gửi tiết kiệm,từ ngày  đến  sacombank triển khai chương trình khuyến mãi kỳ hạn vàng  cơ hội vàng trên toàn hệ thống chương trình được áp dụng cho khách hàng cá nhân gửi tiết kiệm có kỳ hạn  và tháng trở lên lĩnh lãi cuối kỳ tổng giá trị chương trình hơn tỷ đồng theo đó khi đến gửi tiết kiệm và tham gia chương trình trên ngoài lãi suất hiện hành khách hàng còn được tặng thêm lãi suất thưởng từ năm đến năm tương ứng với mức gửi theo quy định cho từng kỳ hạn cùng với chương trình này sacombank vừa triển khai sản phẩm mới dành riêng cho khách hàng nữ mang tên tiền gửi tiết kiệm hoa hồng và cho vay hỗ trợ phụ nữ khởi nghiệp tại chi nhánh háng ở tphcm và hà nội đây là chương trình gửi tiền tiết kiệm theo nhóm ngoài lãi suất được hưởng thì các thành viên còn được hưởng thêm lãi suất thưởng tương ứng với số tiền gửi,2009-03-13 17:05:00,STB
5312,5315,20515,STB,Sacombank cổ phần hóa công ty con,ngày  đại hội cổ đông ngân hàng sài gòn thương tín sacombank đã thông qua kế hoạch năm  theo đó sacombank dự kiến lợi nhuận sẽ đạt  tỉ đồng mức chia cổ tức là  bằng cổ phiếu đặc biệt sacombank sẽ chuyển đổi mô hình hoạt động của công ty chứng khoán sacombank sbs công ty cho thuê tài chính  sacombank leasing công ty quản lý nợ và khai thác tài sản sba thành công ty cổ phần mỗi công ty sacombank sẽ nắm giữ  vốn ngoài ra các cổ đông sacombank cũng thông qua việc thành lập công ty tài chính để chuyên nghiệp mảng dịch vụ bán lẻ và thành lập công ty thẻ sacombank,2009-03-17 08:57:00,STB
5417,5420,20614,STB,STB: Nghị quyết Đại hội đồng cổ đông,download file  stbnghi quyet dhdcd pdf,2009-03-18 16:51:00,STB
