,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
311,311,1441,VCB,VCB ký hợp đồng vay vốn 100 triệu USD ,ông nguyễn hòa bình chủ tịch hđqt của vcb cho biết khoản vay trong năm này sẽ góp phần bổ sung nguồn vốn ngoại tệ trung hạn đáng kể phục vụ cho các mục tiêu kinh doanh và tăng trưởng của ngân hàng hiện tại tổng nguồn vốn của vcb đạt ngàn tỷ đồng tăng  tỷ đồng so với cuối năm  trong đó nguồn vốn ngoại tệ là  tỷ usd vì vậy nếu so với tổng nguồn vốn ngoại tệ mà vcb đang có thì khoản vay trị giá triệu usd này tuy không lớn xấp xỉ  tỷ đồng tương đương với dư nợ cho vay cá tra cá ba sa của vcb tại đồng bằng sông cửu long nhưng cũng là một lượng vốn đáng kể trong bối cảnh thị trường tài chínhngân hàng đang có nhiều biến động đại diện của intesa sanpaolo nhấn mạnh thêm hợp đồng này còn mang ý nghĩa quan trọng trong việc thúc đẩy mối quan hệ thương mại giữa italia và việt nam thông qua việc tài trợ cho các doanh nghiệp italia thâm nhập thị trường việt nam được biết cũng trong nỗ lực này intesa sanpaolo đang gấp rút hoàn tất các thủ tục cuối cùng để có thể sớm mở văn phòng đại diện đầu tiên của mình tại hà nội ttxvn,2008-10-20 00:00:00,VCB
2312,2315,17020,VCB,VCB: Niêm yết lần đầu trên sàn HOSE,tổ chức đăng ký niêm yết ngân hàng tmcp ngoại thương việt nam tên giao dịch vietcombank địa chỉ trụ sở chính số phố trần quag khải quận hoàn kiếm thành phố hà nội tel  fax     website wwwvietcombankcom vn  email webmastervietcombankcomvn vốn điều lệ  đồng mười hai nghìn một trăm tỷ tám trăm sáu mươi triệu hai trăm sáu mươi nghìn đồng chẵn số lượng cp đăng ký niêm yết  cổ phiếu một trăm mười hai triệu hai trăm tám mươi lăm nghìn bốn trăm hai mươi sáu cổ phiếu chiếm  vốn điều lệ loại cổ phần cổ phần phổ thông tên tổ chức tư vấn niêm yết công ty tnhh chứng khoán ngân hàng tmcp ngoại thương việt nam ngày nhận hồ sơ đăng ký niêm yết ,2008-12-31 16:52:00,VCB
8112,8115,23229,VCB,VCB phát hành thêm 1.222 tỷ đồng vốn điều lệ,sáng nay  tại trung tâm hội nghị quốc gia đhcđ thường niên ngân hàng ngoại thương vietcombank  vcb  được tổ chức với sự tham gia của cổ đông tham dự chiếm  số cổ phần có quyền biểu quyết  tỷ đồng vđl phát hành thêm vđl của vcb sau khi phát hành thêm tăng lên  tỷ đồng theo giải trình của hội đồng quản trị vcb với các cổ đông vđl tăng thêm được sử dụng để mở rộng kinh doanh đầu tư vốn cho các công ty con công ty liên doanh liên kết và góp vốn vào một số doanh nghiệp khác trong năm shinhavina bank vcbs vcbf vcli mb gdb… tổng vốn điều lệ tại thời điểm vcb chính thức chuyển đổi thành nhtm cổ phần  và duy trì cho tới thời điểm hiện nay là  tỷ đồng trong đó nhà nước scic sở hữu  các cổ đông khác sở hữu  tuy nhiên ông nguyễn phước thanh tổng giám đốc vcb cho biết vẫn chưa thể xác định chính xác giá phát hành cổ phiếu do cơ chế sở hữu của vcb nhà nước nắm cổ phần chi phối vì thế giá phát hành phải được các cơ quan chức năng thông qua thời gian dự kiến phát hành thêm cũng chưa được xác định chính xác có thể trước hoặc sau khi vcb niêm yết trên sàn giao dịch chứng khoán tphcm ngày  vcb đã được hose chấp thuận về nguyên tắc cho phép phát hành cổ phiếu trên sàn giao dịch tphcm theo ông nguyễn phước thanh trễ nhất vào quý vcb sẽ niêm yết trên sàn theo một phó tổng giám đốc vcb  vcb sẽ cố gắng niêm yết trong thời gian sớm nhất có thể vào tháng hoặc tháng  được biết vcb muốn tăng vđl nhằm đảm bảo hệ số an toàn vốn tối thiểu tạo điều kiện tăng tổng tích sản mở rộng hoạt động hiện tại vđl của vcb mới đạt trên ngàn tỷ đồng so với phương án cổ phần hóa được duyệt thời mới đạt  vđl thấp dẫn tới giảm hệ số an toàn vốn đối tối thiểu car do tổng tích sản vẫn tăng mặt khác theo quy định về các tỷ lệ an toàn bắt buộc do nhnn quy định tổng đầu tư góp vốn vào các doanh nghiệp khác kể cả công ty con của các tctd không được vượt quá  vđl và các quỹ dự trữ so với quy định này hạn mức đầu tư còn lại của vcb chỉ còn khoảng chưa đến  tỷ thu nhập trước thuế  tỷ theo kế hoạch kinh doanh theo do ông nguyễn phước thanh trình bày tại đại hội  chỉ tiêu tổng tài sản vcb là  tỷ đồng tăng  so  dư nợ cho vay khách hàng  tỷ đồng tăng  huy động vốn từ nền kinh tế  tỷ đồng tăng  tổng thu nhập trước thuế  tỷ đồng giảm tỷ đồng so với năm  cổ tức  đồngcổ phiếu bằng tiền mặt năm  tổng thu nhập trước thuế vcb đạt  tỷ đồng thấp hơn so với mục tiêu đặt ra là  tỷ đồng mức chi trả cổ tức mệnh giá tổng tài sản tính đến ngày  đạt  tỷ đồng tăng trưởng dư nợ cho vay đạt  tỷ lệ nợ xấu  năm dự báo là một năm tiếp tục có nhiều khó khăn và thách thức cho vcb  do đó mục tiêu an toàn được đạt lên hàng đầu vcb hiện là ngân hàng thương mại cổ phần có tổng tài sản lớn nhất việt nam với tổng tài sản lên tới hơn  tỷ đồng theo ph ương án cổ phần hóa vcb được duyệt tại quyết định số qđttg ngày  của thủ tướng chính phủ vốn điều lệ của vcb là  tỷ đồng ngày  vcb đã tiến hành ipo chào bán ra công chúng  triệu cổ phần với giá đầu thành công bình quân thực tế là  đồng sau khi ipo vcb đã bán cổ phiếu cho cán bộ cnv với giá ưu đãi  giá đấu giá bình quân theo quy định và thực hiện chuyển đổi đối với trái phiếu chuyển đổi phát hành năm  duy linh,2009-04-28 17:29:00,VCB
8757,8760,23896,VCB,VCB “vỗ về” cổ đông nhỏ ,đại hội cổ đông đhcđ ngân hàng tmcp ngoại thương việt nam  vcb  hôm  đã thông qua phương án phát hành thêm  cổ phiếu phổ thông tương đương  tỷ đồng để tăng vốn điều lệ đây là việc làm bình thường ở một dn cổ phần song với vcb lại khác đằng sau quyết định này là mong muốn được bù đắp phần nào thiệt thòi cho nđt trúng giá cổ phần vcb ở mức giá cao tuy nhiên đây là phương án phát hành chưa có tiền lệ hiện vcb có vốn điều lệ  tỷ đồng trong đó nhà nước tổng công ty đầu tư và kinh doanh vốn nhà nước  scic sở hữu  các cổ đông khác sở hữu  trong tờ trình đhcđ về nhu cầu tăng vốn điều lệ hđqt vcb giải thích so với phương án cổ phần hóa được duyệt vốn điều lệ của vcb mới chỉ đạt  vốn điều lệ thấp làm giảm hệ số an toàn vốn tối thiểu do tổng tích sản vẫn tăng năm  hệ số car đạt  thấp hơn mức  năm  mặt khác theo quy định về các tỷ lệ an toàn bắt buộc do ngân hàng nhà nước nhnn quy định tổng góp vốn đầu tư vào dn khác kể cả công ty con của các tổ chức tín dụng không được quá  vốn điều lệ và các quỹ dự trữ so với quy định này hạn mức đầu tư của vcb chỉ còn khoảng chưa đến  tỷ đồng do vậy ngân hàng cần tăng vốn điều lệ để đảm bảo hệ số an toàn vốn tối thiểu tạo điều kiện tăng tổng tích sản mở rộng hoạt động trong khi chưa tìm được đối tác chiến lược phương án phát hành thêm cho cổ đông hiện hữu là phù hợp hơn cả vcb đang hoạt động theo mô hình ngân hàng cổ phần chịu chi phối bởi luật các tổ chức tín dụng và luật doanh nghiệp theo đó đhcđ của một dn là cơ quan cao nhất trong việc quyết định phương án tăng vốn của dn với vcb  số cổ phần phát hành thêm dự kiến là  vốn điều lệ bằng đúng tỷ lệ sở hữu của các cổ đông khác không kể scic đưa ra tỷ lệ phát hành thêm “tròn trịa” như trên theo lời một lãnh đạo của vcb  họ mong muốn trong đợt tăng vốn này scic sẽ không tham gia quyền mua dành cho cổ đông khác với tỷ lệ  giá bán “tối ưu nhất” là  đồngcp “với phương án này nhà nước không thiệt bởi đây là cổ phần phát hành thêm bên cạnh đó trong đợt ipo trước đây nhà nước đã thu hơn  tỷ đồng thặng dư bên cạnh phát hành thêm vcb còn mong muốn nhà nước dành một tỷ lệ nhỏ trong số tiền thặng dư trên để thực hiện chia cổ phiếu thưởng cho cổ đông hiện hữu với tỷ lệ ” vị lãnh đạo này chia sẻ như vậy ngoài mục đích nâng cao năng lực tài chính một mũi tên nữa được vcb nhắm đến khi thực hiện tăng vốn là san sẻ bớt thiệt thòi cho cổ đông hiện hữu ngày  vcb đã tiến hành ipo  triệu cổ phần với giá đấu thành công bình quân  đồngcp sau ipo vcb đã bán cổ phiếu cho cán bộ nhân viên với giá ưu đãi bằng  giá đấu bình quân hiện nay giá cổ phiếu vcb giao dịch trên thị trường otc dao động trong khoảng  đồngcp nđt tham gia đấu giá cổ phần lỗ nặng cổ phiếu “ưu đãi” dành cho cán bộ nhân viên vcb trở thành “ngược đãi” nếu như cổ đông hiện hữu được mua cổ phần với phương án như trên giá cổ phiếu vcb được kéo xuống mức thấp hơn gần  đồngcp cũng chính vì mắc mớ như vậy nên đhcđ vcb chỉ thông qua chủ trương tăng vốn và ủy quyền cho hđqt quyết định phương án trên cơ sở ý kiến chấp thuận của các cơ quan chức năng chưa có tiền lệ phương án tăng vốn bằng cách phát hành thêm cổ phiếu cho cổ đông hiện hữu như trên đã được đề cập từ trước song khả năng được cơ quan chức năng chấp thuận “chưa đi đến đâu” bởi thiệt thòi của nhiều nđt khi tham gia mua cổ phần của vcb là có nhưng nếu cho phép vcb thì sẽ tính sao với dn khác trao đổi với đtck về quan điểm của scic trong vấn đề này tổng giám đốc scic trần văn tá cho biết tổng công ty chưa có ý kiến gì ông tá nói thêm “vì phương án tăng vốn như vậy chưa có tiền lệ nên vcb sẽ phải xin ý kiến nhnn và chính phủ” một vấn đề nữa liên quan đến phương án tăng vốn sẽ được cơ quan chức năng cân nhắc theo dự kiến của vcb  vốn điều lệ phát hành thêm được sử dụng để mở rộng kinh doanh đầu tư vốn cho các công ty con công ty liên doanh liên kết và góp vốn vào một số dn khác trong năm  tính đến ngày  vcb đã tham gia góp vốn vào đơn vị không bao gồm công ty con  vốn với tổng số vốn góp đạt  tỷ đồng chiếm  tổng vốn điều lệ của vcb  phần lớn vốn đầu tư và liên doanh của vcb tập trung vào khối nhtm chiếm  tổng vốn đầu tư nếu cơ chế sắp tới luật các tổ chức tín dụng sửa đổi không cho phép ngân hàng mua cổ phần của các ngân hàng khác khi đó mục tiêu tăng vốn của vcb không phù hợp liệu phương án tăng vốn có được chấp thuận bên lề đhcđ của vcb  đại diện một tổ chức đầu tư chia sẻ “đầu tư cổ phiếu vcb  chúng tôi mệt mỏi quá” hàm ý của vị đại diện này ở chỗ là cổ đông của ngân hàng nhưng họ khó có thể tham gia quyết định vấn đề gì ngay chuyện tăng vốn cũng phải chờ cơ quan chức năng phê duyệt năm  vcb sẽ niêm yết cổ phiếu việc chọn mức giá chào sàn bao nhiêu phụ thuộc rất lớn vào việc phương án phát hành thêm cổ phiếu cho cổ đông với mức giá và tỷ lệ nào cổ đông rất muốn biết sớm,2009-05-07 18:48:00,VCB
9194,9197,24349,VCB,Vietcombank (VCB) thông báo chốt danh sách cổ đông để lưu ký cổ phiếu,theo đó ngày  vietcombank sẽ chốt danh sách cổ đông để đăng ký lưu ký  cổ phiếu nhằm chuẩn bị cho quá trình niêm yết trên sở giao dịch chứng khoán tphcm hose trước đó ngày  hose đã có công văn chấp thuận về nguyên tắc cho vietcombank được niêm yết  cổ phiếu được biết đại hội cổ đông thường niên lần của vietcombank diễn ra ngày  đã thông qua chủ trương phát hành thêm cổ phiếu để tăng vốn điều lệ trong năm lên hơn  tỷ đồng tăng gần  tỷ đồng tương ứng  vốn điều lệ hiện có cũng tại đại hội trên ông nguyễn phước thanh  tổng giám đốc vietcombank cho biết trong quý  ngân hàng đã đạt tổng tài sản  tỷ đồng vốn huy động trong nền kinh tế đạt  tỷ đồng tổng dư nợ đạt khoảng  tỷ đồng lợi nhuận trước thuế đạt khoảng  tỷ đồng năm  vietcombank đặt mục tiêu tổng thu nhập trước thuế đạt  tỷ đồng tỷ lệ nợ xấu dưới  tổng dư nợ mức chi trả cổ tức đạt  đồngcổ phiếunguồn tbkt ,2009-05-14 08:49:00,VCB
11375,11378,26508,VCB,VCB: 5 tháng đầu năm  lãi trên 2.000 tỷ đồng,đến giữa tháng huy động vốn từ nền kinh tế của vcb đạt  nghìn tỷ đồng trong đó huy động từ dân cư đạt trên  nghìn tỷ đồng tăng  so với cuối năm  dư nợ cho vay của vcb vượt trên  nghìn tỷ đồng đạt mức tăng  so với cuối năm  tuy nhiên vcb cũng bị ảnh hưởng bởi suy thoái kinh tế nên mảng thanh toán xnk chỉ đạt  tỷ usd giảm  so với cùng kỳ năm  cũng trong ngày hôm qua  vcb đã được chấp thuận niêm yết  triệu cổ phiếu chiếm  vốn điều lệ với mệnh giá  đồngcp trên sàn hose ngày  sẽ là ngày giao dịch đầu tiên của vcb tại hose hoài anh,2009-06-17 14:54:00,VCB
11537,11540,26666,VCB,Vietcombank: doanh số thanh toán xuất nhập khẩu giảm mạnh,tháng đầu năm doanh số thanh toán xuất nhập khẩu của đầu mối lớn nhất trong hệ thống ngân hàng giảm mạnh so với cùng kỳ  ngân hàng thương mại cổ phần ngoại thương việt nam vietcombank đầu mối thanh toán xuất nhập khẩu lớn nhất trong hệ thống ngân hàng hiện nay vừa công bố một số dữ liệu liên quan đến tình hình thanh toán xuất nhập khẩu tháng đầu năm cụ thể tính lũy kế tháng đầu năm  doanh số thanh toán xuất nhập khẩu của vietcombank đạt  tỷ usd trong đó doanh số xuất khẩu đạt  tỷ usd doanh số nhập khẩu là  tỷ usd so với tháng đầu năm  tỷ usd doanh số thanh toán nói trên của vietcombank đã giảm tới  theo đánh giá của ngân hàng này kết quả trên phản ánh đúng thực trạng suy thoái kinh tế toàn cầu đã ảnh hưởng đến khả năng xuất nhập khẩu của việt nam còn theo số liệu vừa công bố của bộ công thương tháng đầu năm  tổng kim ngạch xuất khẩu của việt nam ước đạt  tỷ usd giảm  so cùng kỳ  kim ngạch nhập khẩu ước đạt  tỷ usd giảm khoảng  so với cùng kỳ  một dữ liệu khác cũng vừa được vietcombank công bố về hoạt động kinh doanh ngoại tệ tổng doanh số mua bán ngoại tệ tích lũy tháng đầu năm của vietcombank đạt  tỷ usd trong đó doanh số mua đạt  tỷ usd doanh số bán đạt  tỷ usd giảm khoảng  so với cùng kỳ năm ,2009-06-20 10:18:00,VCB
11637,11640,26763,VCB,Giá chào sàn của Vietcombank sẽ dao động quanh mức 50.000 đồng/cp?    ,không hẹn mà gặp cuối tháng  tháng là thời gian nhiều doanh nghiệp lớn chào sàn trên hose và hastc dù đà tăng của thị trường đã giảm nhiệt song làn gió mới từ các cổ phiếu lớn được hứa hẹn tiếp sức thêm cho nđt và ngay từ cuối tuần qua dù thị trường giảm điểm một số mã cùng ngành nghề như bảo hiểm đã được gom chờ ăn theo hàng mới ngay sau khi được chấp thuận nguyên tắc tập đoàn bảo việt đã chọn ngày niêm yết  theo thông báo của hose triệu cổ phiếu của bảo việt mã bvh sẽ có giá tham chiếu  đồngcổ phiếu quý i kết quả kinh doanh của bảo việt tương đối khả quan doanh thu đạt  tỷ đồng lợi nhuận trước thuế đạt tỷ đồng bằng  kế hoạch năm ngay sau bảo việt cổ phiếu của ngân hàng ngoại thương vn vietcombank sẽ chào sàn ngày  tuần qua vietcombank đã dự kiến công bố giá tham chiếu ngày đầu tiên tuy nhiên do ở thời điểm này thị trường đang trong giai đoạn “rung lắc” nên đầu tuần tới ban lãnh đạo sẽ họp lần cuối để quyết định công bố giá chào sàn vào ngày  theo một vị trong hđqt giá chào sàn của vietcombank cũng sẽ dao động quanh mức thị trường otc đang giao dịch  đồng vị này chia sẻ “ngày đầu tiên chào sàn giá cổ phiếu dao động trong biên độ  nếu ấn định giá quá xa so với mức thị trường đang giao dịch giá cổ phiếu có thể điều chỉnh giảm đó không phải là điều dn niêm yết mong muốn hơn nữa quan điểm của vietcombank là để giá cổ phiếu không có biến động quá lớn trong  tuần đầu tiên sau chào sàn” sau tháng đầu năm lợi nhuận của vietcombank đạt trên  tỷ đồng hiện còn chờ quyết định về chế độ tiền lương mới xác định được lợi nhuận một tên tuổi nữa trong làng tài chính là ngân hàng công thương việt nam vietinbank cũng đã nộp hồ sơ đăng ký niêm yết  vốn điều lệ tương đương triệu cổ phiếu lên hose với ngày đặt kế hoạch lên sàn là  thời gian từ nay đến “đích” vietinbank đặt ra không còn nhiều song ông phạm xuân lập tổng giám đốc vietinbank tự tin cho biết ngân hàng sẽ niêm yết đúng kế hoạch “biết là thời gian gấp song chúng tôi thường đặt kế hoạch cụ thể ra trước để ốp các bộ phận thực hiện đúng tiến độ lãnh đạo hose đã hứa sẽ hỗ trợ vietinbank” ông lập cho hay không chỉ ấn định ngày chào sàn lãnh đạo vietinbank còn mạnh dạn tuyên bố giá tham chiếu ngày đầu tiên ít nhất  đồng ông lập nói “thông tin như vậy không có nghĩa ngân hàng cứng nhắc lấy giá chào sàn ở mức đó diễn biến thị trường cũng sẽ quyết định tới mức giá chúng tôi lựa chọn” trên sàn hà nội tháng cũng có góp mặt của những doanh nghiệp quy mô vốn lớn như tổng công ty cổ phần xây lắp dầu khí việt nam  pvc vốn điều lệ  tỷ đồng ctck ngân hàng công thương việt nam vốn điều lệ tỷ đồng ctck shs vốn điều lệ tỷ đồng ông trịnh xuân thanh chủ tịch hđqt pvc cho biết công ty đặt kế hoạch niêm yết ngay trong tháng  đồng thời tập trung công tác đàm phán tìm cổ đông chiến lược để bán phần vốn nhà nước xuống còn  giá trị vốn hóa ttck việt nam đã giảm mạnh trong gần năm qua hiện chỉ ở mức  tỷ đồng khoảng tỷ usd quy mô thị trường nhỏ là một trong những lý do nhiều tổ chức đầu tư nước ngoài chưa mấy mặn mà đến ttck việt nam nay có thêm cổ phiếu của nhiều doanh nghiệp lớn ttck được bổ sung hàng hóa có chất lượng sẽ tiếp sức thêm cho các nđt thực tế diễn biến giao dịch tuần qua cho thấy với những thông tin bán ra liên tục của các nhà đầu tư lớn cùng các cổ đông nội bộ bên cạnh đó là các phiên bán ròng liên tục của khối nhà đầu tư nước ngoài và sự chững lại của ttck thế giới ttck việt nam đã có một tuần điều chỉnh sau hơn tháng tăng liên tiếp tuy nhiên lượng cầu vẫn được đổ vào thị trường với những kỳ vọng vào các mã cổ phiếu dự kiến có kết quả kinh doanh tốt trong quý và đặc biệt là kỳ vọng vào sự chào sàn của các mã cổ phiếu lớn thuộc lĩnh vực ngân hàng bảo hiểm là vietcombank vietinbank và bảo việt nhóm cổ phiếu ngân hàng không còn là nhóm chủ đạo dẫn dắt thị trường stb  acb và shb đều giảm giá kèm theo đó là sự suy giảm của khối lượng và giá trị giao dịch song theo phân tích của một số ctck sự giảm điểm nói trên chỉ là sự điều chỉnh sau thời gian tăng mạnh trước đó cổ phiếu ngân hàng giảm điểm nhưng thị trường cũng chứng kiến sự lên ngôi của cổ phiếu ngành bảo hiểm với phiên tăng điểm cuối tuần cả bmi và vnr đều có khối lượng khớp rất lớn với dư mua giá trần cuối phiên đây là hiện tượng một số nhà đầu tư gom hàng để chờ hiệu ứng tốt khi cổ phiếu bảo việt lên sàn trong thời gian tới đây,2009-06-23 10:51:00,VCB
11725,11728,26836,VCB,VCB: Chào sàn với mức giá 50.000 đ/cp,ông nguyễn hòa bình chủ tịch hđqt vcb vừa ký công văn gửi sở gdck tphcm xác định mức giá cho ngày giao dịch đầu tiên vào ngày  tới đây là  đcp cũng theo chủ tịch hđqt của vcb thì đây là mức giá đã được tính toán dựa trên giá trị nội tại của doanh nghiệp và có sự tham khảo của các doanh nghiệp cùng ngành khác đang được giao dịch trên thị trường doanh thu dự kiến của vcb trong tháng đầu năm đạt gần  tỷ đồng hoàn thành  kế hoạch năm giá giao dịch trên thị trường otc của vcb ngày hôm qua đã tăng lên mức    đồng cao hơn  so với mức giá tham chiếu vừa đuợc công bố một ngân hàng khác là viettinbank dự kiến cũng sẽ niêm yết vào ngày  hoài anh,2009-06-24 15:51:00,VCB
11923,11926,27046,VCB,Cổ phiếu VCB và tương quan thị trường,những chỉ số cơ bản đối với ngành tài chính nói chung và ngành ngân hàng nói riêng chỉ tiêu lợi nhuận thường dễ bị thay đổi chỉ đơn giản bằng cách thay đổi mức trích lập dự phòng tín dụng hoặc bán ra những khoản đầu tư có lợi nhuận  thì ngân hàng có thể làm thay đổi lợi nhuận tuỳ theo mục đích quản trị của ban lãnh đạo chính vì đặc trưng này nên các nđt thường quan tâm đến giá trị danh mục đầu tư của mỗi ngân hàng hơn là lợi nhuận danh mục đầu tư ở đây bao gồm cả đầu tư tín dụng chứng khoán  giá trị của danh mục đầu tư được thể hiện qua chỉ số pb trong lĩnh vực ngân hàng tổ chức momingstar khuyến nghị nên dùng pb để so sánh hơn là pe và chỉ số này pb trung bình trong khoảng  lần là phù hợp theo báo cáo tài chính cuối năm  giá tri sổ sách của vcb là  đồngcp trong khi đó giá trị sổ sách của ngân hàng á châu  acb  là  đồngcp của sacombank  stb  là  đồngcp với mức giá khởi điểm  đồngcp chỉ số pb của vcb là  lần cao hơn chỉ số pb của acb là  lần tương ứng giá  đồngcp và của stb là  lần tương ứng với mức giá  đồngcp xét trên khía cạnh lợi nhuận với kế hoạch lợi nhuận sau thuế  tỷ đồng eps dự kiến năm của vcb có thể là  đồngcp và pe tương ứng là  lần  trong khi đó acb đặt ra kế hoạch lợi nhuận trước thuế năm nay là  tỷ đồng và eps dự kiến theo tính toán của chúng tôi là khoảng  đồngcp  với mức giá  đồngcp thì pe của acb ở mức  lần  tương tự với stb thì eps dự kiến ở mức  đồngcp và pe cũng chỉ ở mức  lần tương ứng giá  đồngcp nếu xét đến cả năm  khi lợi nhuận sau thuế của vcb có sự tăng trưởng mạnh  đạt mức  tỷ đồng thì eps của vcb cũng mới chỉ là  đồngcp tương ứng pe ở mức lần tương đương với pe hiện nay của acb  trong những năm qua tỷ suất sinh lợi trên vốn chủ sở hữu roe của vcb ở n mức   và dự kiến sẽ duy trì mức này trong năm   trong khi  đó roe của acb được duy trì ở mức trên   vì vậy khi cả hai ngân hàng này có cùng tỷ lệ lơi nhuận giữ lại như nhau thì tốc độ tăng trưởng của acb trong dài hạn sẽ lớn hơn so với vcb  theo ước tính với các mức roe trên thì tỷ lệ lợi nhuận giữ lại của vcb ít nhất phải gấp  lần so với acb  hai ngân hàng mới có được tốc độ tăng trưởng dài hạn như nhau trong khi đó tỷ suất cổ tức của vcb là  tương ứng với mức cổ tức dự kiến năm là  đồngcp tỷ suất cổ tức của acb là  tương ứng với mức cổ tức năm là  đồngcp như vậy cả hai yếu tố cấu thành nên tỷ suất sinh lợi mong đợi tỷ suất sinh lợi mong đợi  tỷ suất cổ tức  tốc độ tăng trưởng dài hạn của vcb đều thấp hơn so với acb ở một khía cạnh khác thị giá cổ phiếu vcb trên otc trước thời điểm  khoảng    đồngcp đây là mức giá đạt được sau chuỗi ngày lên giá kể từ tháng theo xu hướng chung ứng với thời điểm này giá cổ phiếu của acb và stb cũng đang lần lượt ở mức  đồng và  đồngcp nhưng từ sau ngày  trong khi giá cổ phiếu của acb  stb và kể cả một số ngân hàng khác trên thi trường otc giảm do sự điều chỉnh chung của toàn thị trường thì giá vcb lại được “bình yên vì ngừng giao dịch trước giờ niêm yết những tác động đến thị trường với lượng niêm yết lên đến triệu cổ phiếu vcb có ảnh hưởng đáng kể đối với vnindex nếu như vcb chào sàn ở mức giá  đồngcp và giảm sàn trong phiên này thì vcb sẽ trở nên hấp dẫn hơn khi pb ở mức  lần thấp hơn so với acb và gần tương đương với stb  các chỉ tiêu khác cũng sẽ gần với acb và stb hơn chẳng hạn như pe sẽ ở mức  lần tỷ suất cổ tức đạt  lúc này sự hấp dẫn của vcb có thể là một trong những nhân tố đưa thị trường đi lên khi mà nhiều nđt bắt đầu mua vào cổ phiếu vcb  trong trường hợp này khả năng cổ phiếu vcb tăng giá sẽ rất cao và kéo theo vnindex tăng điểm kịch bản này phù hợp với xu hướng sóng của lý thuyết sóng elliott cho vnindex một lý do khác để cổ phiếu của vcb khó có thể giảm sâu là do mức giảm của các cổ phiếu ngân hàng niêm yết trên sàn như acb và stb không quá lớn trong thời gian qua do đó một mức sụt giảm trong khoảng  của vcb đủ có thể phản ánh mức điều chỉnh và tạo đà cho thị trường mặt khác chỉ một động thái lợi nhuận ấn tượng trong quý ii sẽ tác đông đến tâm lý của thị trường và kích thích tâm lý các nđt ngắn hạn đây là cơ hội cho cổ phiếu vcb tăng giá sau ngày niêm yết nguồn stoxvn,2009-06-29 14:05:00,VCB
