,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
61,61,16372,VIC,VIC: Kết quả giao dịch cổ đông nội bộ CTCP Vincom, tên người thực hiện giao dịch phạm nhật vượng  chức vụ hiện nay tại tổ chức niêm yết thành viên hđqt ctcp vincom  mã chứng khoán vic  số lượng cổ phiếu trước khi giao dịch  cổ phiếu  số lượng cổ phiếu đã giao dịch nhận tặng cho  cổ phiếu  thời gian thực hiện giao dịch ngày   số lượng cổ phiếu hiện đang sở hữu  cổ phiếu  tên người thực hiện giao dịch lê khắc hiệp  chức vụ hiện nay tại tổ chức niêm yết chủ tịch hđqt ctcp vincom  mã chứng khoán vic  số lượng cổ phiếu trước khi giao dịch  cổ phiếu  số lượng cổ phiếu đã giao dịch tặng cho  cổ phiếu  thời gian thực hiện giao dịch ngày   số lượng cổ phiếu hiện đang sở hữu cổ phiếu,2008-08-12 10:56:00,VIC
457,457,15931,VIC,VIC: Thay thành viên HĐQT ,hđqt ctcp vincom đã có quyết định chấp thuận đơn xin rút khỏi vị trí thành viên hđqt của bà nguyễn thị hương lan và bầu bổ sung bà mai hương nội giữ chức thành viên hđqt thay thế bà nguyễn thị hương lan kể từ ngày ,2008-10-20 16:51:00,VIC
1067,1068,16170,VIC,VIC: Kết quả giao dịch cổ phiếu cổ đông lớn,tên nhà đầu tư thực hiện giao dịch  nguyễn thủy hà mã chứng khoán thực hiện bán vic số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch  cổ phiếu chiếm tỷ lệ   số lượng cổ phiếu thực hiện giao dịch bán   cổ phiếu số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch  cổ phiếu chiếm tỷ lệ   thời gian thực hiện giao dịch từ ngày   đến ngày ,2008-11-17 08:50:00,VIC
1445,1448,15638,VIC,VIC: Chủ tịch HĐQT tặng hơn 1 triệu cổ phiếu cho Thành viên HĐQT.,sau khi nhận cho tặng số cổ phiếu của ông vượng sẽ tăng lên thành  cổ phiếu tương ứng với  vốn điều lệ của công ty kết thúc phiên giao dịch ngày  cổ phiếu vic giảm  đồng xuống còn  đồng với  đơn vị được chuyển nhượng diễn biến giá vic trong tháng qua,2008-11-28 08:25:00,VIC
1591,1594,16330,VIC,VIC: Thay Thành viên Hội đồng quản trị,hđqt ctcp vincom đã quyết định chấp thuận đơn xin rút khỏi vị trí thành viên hđqt của bà phạm hồng linh và ông trần lê khánh đồng thời bầu bổ sung bà nguyễn diệu linh và ông phạm văn khương giữ chức thành viên hđqt kể từ ngày  việc thay thế này sẽ được hđqt báo cáo và thông qua tại kỳ họp đhđcđ tiếp theo,2008-12-02 16:22:00,VIC
2299,2302,17006,VIC,VIC: Ngày cuối cùng chốt danh sách cổ đông,ngày giao dịch không hưởng quyền  ngày đăng ký cuối cùng  mục đích lấy ý kiến cổ đông bằng văn bản về việc bổ sung ngành nghề kinh doanh thay đổi thành viên hđqt thay đổi thành viên ban kiểm soát tỷ lệ thực hiện quyền  thời gian lấy ý kiến từ ngày  đến  chi nhánh trung tâm lưu ký chứng khoán tại tphcm sẽ tạm ngừng nhận lưu ký chứng khoán vic vào những ngày  ,2008-12-31 14:50:00,VIC
2405,2408,17200,VIC,"VIC: Cổ đông lớn đã chuyển nhượng xong 2,5 triệu cổ phiếu",tên nhà đầu tư thực hiện giao dịch phạm khắc phương mã chứng khoán thực hiện giao dịch vic số lượng cổ phiếu nắm giữ trước khi giao dịch  cổ phiếu chiếm tỷ lệ   số lượng cổ phiếu thực hiện chuyển nhượng  cổ phiếu số lượng cổ phiếu nắm giữ sau khi thực hiện chuyển nhượng  cổ phiếu chiếm tỷ lệ   thời gian thực hiện giao dịch ngày  ,2009-01-05 22:00:00,VIC
2434,2437,17227,VIC,VIC: Xin gia hạn thời gian mua CP quỹ,,2009-01-06 13:55:00,VIC
2485,2488,17280,VIC,VINCOM - VINCON: Lại chuyện thương hiệu,theo đó dự án này được xây dựng trên diện tích ha trong đó tổng diện tích xây dựng khoảng  m tổng số vốn đầu tư khoảng triệu usd thông tin này đã khiến dư luận và báo giới hiểu nhầm đây là một dự án của công ty cổ phần vincom có địa chỉ tại bà triệu một doanh nghiệp hàng đầu về đầu tư bđs tại việt nam… tuy nhiên ông lê khắc hiệp chủ tịch hđqt vincom lại cho biết “chúng tôi chưa hề có dự án nào tại chân mây  lăng cô” trước câu hỏi liệu có hay không một doanh nghiệp khác đã nhái thương hiệu vincom ông hiệp cho rằng “có thể đây là dự án của một doanh nghiệp khác có tên na ná vincom riêng với thương hiệu vincom chúng tôi đã tiến hành đăng ký bảo hộ rất chặt chẽ tại cục sở hữu trí tuệ vì vậy nếu có việc này chúng tôi sẽ kiên quyết đấu tranh để bảo vệ quyền lợi hợp pháp về thương hiệu của mình” sau khẳng định của ông lê khắc hiệp chúng tôi đã tìm hiểu về chủ đầu tư của dự án trên thì được biết đây là dự án của công ty cp đầu tư tài chính và bất động sản vincon không phải là vincom công ty này được thành lập theo giấy phép đăng ký kinh doanh số do sở kế hoạch và đầu tư hà nội cấp ngày  và cũng có các lĩnh vực kinh doanh tương tự như của công ty cp vincom nhưng với quy mô nhỏ hơn băn khoăn về việc công ty vincon có cách đặt tên na ná với thương hiệụ lớn là vincom như trên liệu có vi phạm luật sở hữu trí tuệ và luật doanh nghiệp theo một số chuyên gia thương hiệu và luật thương hiệu của bất cứ công ty nào cũng được hiểu và biết một cách ngắn gọn được in lớn trên sản phẩm dịch vụ như nhà bè việt tiến sony samsung hay vincom và không thể có một thương hiệu hợp pháp cùng ngành trùng tên những thương hiệu đó cho dù có thêm chữ phần đầu hay phần sau của thương hiệu hoặc khác loại hình như cơ sở sản xuất tnhh cổ phần tnhh một thành viên với các trường hợp đặt tên để dễ gây nhầm lẫn như vincom  vincon… cũng là không được phép vì vậy nếu có đủ các căn cứ pháp luật như doanh nghiệp được thành lập trước đã đăng ký bảo hộ thương hiệu… thì công ty cp vincom có thể kiện để bảo vệ thương hiệu của mình bởi lẽ vincon với vincom là cách đặt tên gây nhầm lẫn theo ông trần việt hùng cục sở hữu trí tuệ việt nam các sản phẩm đặt tên giống hoặc nhái hầu hết đều nhằm mục đích ăn theo sự nổi tiếng của thương hiệu khác đánh lừa người tiêu dùng gây hại cho thương hiệu nổi tiếng cục sẽ từ chối cấp cấp đăng ký nhãn hiệu cho những công ty có tên giống hoặc ná tên những công ty đã đăng ký bảo hộ trước và những thương hiệu lớn tầm quốc gia quốc tế đơn cử như mới đây cục đã từ chối đơn xin cấp đăng ký bảo hộ kẹo honda của một công ty vì nếu đặt tên trùng sẽ không tránh khỏi gây ra khả năng nhầm lẫn đó là sản phẩm của hãng honda nhật bản “chưa bao giờ tại việt nam tình trạng đặt trùng tên nhái tên na ná tên một cách vô tình hay hữu ý diễn ra nhiều như hiện nay luật sở hữu trí tuệ đã có hiệu lực các cam kết wto đang được thực thi trong đó có nội dung quan trọng là bảo vệ sở hữu trí tuệ” đánh giá trên của đại diện cục sở hữu trí tuệ việt nam chắc sẽ khiến các doanh nghiệp phải… thức tỉnh và có ý thức hơn trong việc chủ động đăng ký tác quyền thương hiệu nhãn hiệu kiểu dáng… đồng thời cũng phải tích cực và kiên quyết đấu tranh chống lại tình trạng cố tình đặt tên giống hoặc nhái để “ăn theo” thương hiệu mà mình đã dày công xây dựng,2009-01-08 10:08:00,VIC
3083,3086,18250,VIC,VIC: Báo cáo tài chính tóm tắt Quý IV/2008,download file  vicbctc tt qxls,2009-02-02 10:25:00,VIC
3634,3637,18864,VIC,VIC: Báo cáo tài chính hợp nhất Quý IV/2008,download file  bao cao tai chinh hop nhat pdf,2009-02-11 11:29:00,VIC
3852,3855,19059,VIC,VIC: Ngày chốt danh sách cổ đông,ngày giao dịch không hưởng quyền  ngày đăng ký cuối cùng  mục đích lấy ý kiến cổ đông bằng văn bản về việc thông qua phương án chào bán để tăng vốn điều lệ từ  vnđ lên  thông qua phương án sử dụng vốn thu được từ việc chào bán cổ phần thông qua việc tăng vốn điều lệ tương ứng với đợt chào bán thông qua việc niêm yết bổ sung và lưu ký số cổ phần mới chào bán tỷ lệ thực hiện quyền  thời gian lấy ý kiến từ ngày  đến  chi nhánh trung tâm lưu ký chứng khoán tại tphcm sẽ tạm ngừng nhận lưu ký chứng khoán vic vào những ngày   ,2009-02-16 15:32:00,VIC
4317,4320,19488,VIC,VIC: Nghị quyết Hội đồng quản trị,nghị quyết  thông qua việc bổ sung ngành nghề kinh doanh đhcđ nhất trí thông qua việc bổ sung các ngành nghề kinh doanh sau “dịch vụ môi giới bđs định giá bđs sàn giao dịch bđs tư vấn bđs đấu giá bđs quảng cáo và quản lý bđs” thời điểm thực hiện thay đổi việc bổ sung ngành nghề kinh doanh của công ty có hiệu lực kể từ ngày hồ sơ đăng ký bổ sung ngành nghề kinh doanh được sở kế hoạch và đầu tư tphà nội chấp nhận và cấp giấy chứng nhận đkkd sửa đổi nghị quyết  thông qua việc thay đổi thành viên bks căn cứ việc ông hoàng văn sơn – thành viên bks có đơn xin từ chức vì lý do công tác xa không thể thu xếp được thời gian tập trung cho nhiệm vụ của bks đhcđ nhất trí thông qua miễn nhiệm ông hoàng văn sơn khỏi vị trí thành viên bks kể từ ngày ban hành nghị quyết này ông hoàng văn sơn có trách nhiệm bàn giao công việc cho ông đinh ngọc lân bầu bổ sung ông đinh ngọc lân làm thành viên bks thay thế ông hoàng văn sơn kể từ ngày ban hành nghị quyết này và có trách nhiệm tiếp nhận và thực hiện các công việc nhận bàn giao nhiệm kỳ của ông đinh ngọc lân theo nhiệm kỳ còn lại của bks công ty nghị quyết  thông qua việc thay đổi thành viên hđqt căn cứ các nghị quyết hđqt về việc miễn nhiệm và bầu bổ sung thành viên hđqt đhcđ nhất trí thông qua các nghị quyết sau nghị quyết số nqhđqtvincomjsc ngày  vv miễn nhiệm bà nguyễn thị hương lan bầu bổ sung bà mai hương nội làm thành viên hđqt thay thế bà nguyễn thị hương lan kể từ ngày  nghị quyết số nqhđqtvincomjsc ngày  vv miễn nhiệm ông trần lê khánh bầu bổ sung bà nguyễn diệu linh làm thành viên hđqt thay thế ông trần lê khánh và miễn nhiệm bà phạm hồng linh bầu bổ sung ông phạm văn khương làm thành viên hđqt thay thế bà phạm hồng linh kể từ ngày ,2009-02-24 17:03:00,VIC
5639,5642,20841,VIC,VIC: Đã mua xong gần 3 triệu cổ phiếu quỹ,số lượng cổ phiếu quỹ đăng ký mua  cổ phiếu số lượng cổ phiếu quỹ nắm giữ trước khi giao dịch  cổ phiếu số lượng cổ phiếu quỹ đã giao dịch mua  cổ phiếu số lượng cổ phiếu quỹ nắm giữ sau khi giao dịch  cổ phiếu thời gian thực hiện giao dịch từ ngày  đến ngày  lý do không mua hết công ty quyết định tập trung nguồn lực để thực hiện các dự án trọng điểm nên tạm thời không tiếp tục thực hiện việc mua cp quỹ như dự kiến và đăng ký ban đầu,2009-03-23 15:30:00,VIC
5684,5687,20883,VIC,VIC đẩy mạnh mở rộng trung tâm thương mại,ngày  công ty cổ phần vincom hose vic  công bố kế hoạch cơ cấu sắp xếp lại hệ thống trung tâm thương mại tttm tại hà nội do công ty đầu tư và quản lý nhằm hình thành một tổ hợp mua sắm  giải trí lớn sang trọng và chuyên nghiệp cùng với việc tái cơ cấu mô hình cho tttm vincom city towers vct đầu tháng  vincom sẽ chính thức mở cửa tttm cao cấp vincom galeries tại tòa nhà vincom park place vpp mai hắc đế với việc mở cửa vincom galleries vincom sẽ bổ sung vào hệ thống tttm của mình hơn m đưa tổng diện tích tổ hợp tttm vincom tại trung tâm thủ đô lên hơn m,2009-03-24 09:53:00,VIC
6383,6386,21577,VIC,VIC: Báo cáo tài chính kiểm toán năm 2008,download file  bao cao tai chinh kiem toan rar,2009-04-03 17:45:00,VIC
6477,6480,21666,VIC,VIC: Giải trình chênh lệch số liệu trên Báo cáo lưu chuyển tiền tệ quý 4 năm 2008,báo cáo tài chính hợp nhất của công ty cổ phần vincom là số liệu hợp nhất từ các công ty công ty cổ phần vincom công ty mẹ công ty cổ phần pfv và công ty cổ phần chứng khoán vincom là các công ty con và các công ty liên kết khác trên báo cáo tài chính năm của công ty cổ phần chứng khoán vincom có ghi khoản tiền nhận từ các nhà đầu tư là tăng khoản tương đương tiền bên tài sản và tăng khoản phải trả nhà đầu tư bên nguồn vốn với tổng số tiền là  đồng việc hạch toán như vậy trên báo cáo tài chính riêng của công ty cổ phần chứng khoán vincom là phù hợp theo quyết định số qđbtc của bộ tài chính ngày  tuy nhiên theo các chuẩn mực kế toán việt nam phần hạch toán nêu trên không nhất quán với chính sách kế toán của công ty mẹ dẫn đến khi trình bày báo cáo hợp nhất của công ty mẹ phải điều chỉnh giảm khoản tương đương tiền và giảm khoản phải trả nhà đầu tư là  đồng và số dư tiền cuối kỳ trên báo cáo lưu chuyển tiền tệ hợp nhất là  đồng do sơ suất nên khi lập và công bố báo cáo tài chính hợp nhất quí chúng tôi chưa thực hiện việc điều chỉnh này dẫn đến số dư tiền cuối kỳ trên báo cáo lưu chuyển tiền tệ hợp nhất là  đồng sau khi điều chỉnh số dư cuối kỳ trên báo cáo lưu chuyển tiền tệ là  đồng đúng theo báo cáo tài chính năm đã gửi cho sở giao dịch chứng khoán tphồ chí minh,2009-04-07 16:29:00,VIC
6492,6495,21681,VIC,VIC: Nghị quyết Đại hội đồng Cổ đông thường niên,download file  vic  nghi quyet dhcd bang vbpdf,2009-04-07 17:28:00,VIC
7620,7623,22829,VIC,VIC: Báo cáo tài chính hợp nhất Quý I/2009,download file  vicbctc hn q pdf,2009-04-22 17:52:00,VIC
8924,8927,24102,VIC,VIC: Báo cáo thường niên năm 2008,download file  vicbctnvincomnampdf,2009-05-11 11:22:00,VIC
